,different,committees,have,what,set,out,in,different,ways,?
there,0.4522744119167328,0.2706003785133362,0.5194604992866516,0.35085538029670715,0.23786096274852753,0.3402305543422699,0.5361666083335876,0.4522744119167328,0.3198884129524231,0.29405656456947327
are,0.5170795917510986,0.280746728181839,0.6577680706977844,0.29724663496017456,0.2029329091310501,0.31390950083732605,0.3841303884983063,0.5170795917510986,0.38641616702079773,0.24591213464736938
different,1.0,0.23932859301567078,0.5267002582550049,0.39262300729751587,0.22290955483913422,0.3205172121524811,0.29409363865852356,1.0,0.5665085911750793,0.24476227164268494
committees,0.23932859301567078,1.0,0.3111313283443451,0.1853698194026947,0.24325835704803467,0.2334214597940445,0.2531541585922241,0.23932859301567078,0.2422792613506317,0.1382787674665451
with,0.3571763038635254,0.19153587520122528,0.48046383261680603,0.2464839518070221,0.19515010714530945,0.3367781639099121,0.4080928862094879,0.3571763038635254,0.28392013907432556,0.2433311939239502
their,0.4540157914161682,0.23840464651584625,0.523270845413208,0.35142919421195984,0.21568769216537476,0.34232497215270996,0.34976133704185486,0.4540157914161682,0.33358827233314514,0.1898253709077835
functions,0.3676885962486267,0.30628663301467896,0.3498230278491974,0.22357098758220673,0.26677948236465454,0.2344604730606079,0.19547589123249054,0.3676885962486267,0.37396344542503357,0.13745930790901184
set,0.22290955483913422,0.24325835704803467,0.24742956459522247,0.28954121470451355,1.0000001192092896,0.16735710203647614,0.2663729190826416,0.22290955483913422,0.1576010137796402,0.1698019951581955
out,0.3205172121524811,0.2334214597940445,0.3612789809703827,0.3633197546005249,0.16735710203647614,1.0,0.3576207756996155,0.3205172121524811,0.3010721206665039,0.22020699083805084
in,0.29409363865852356,0.2531541585922241,0.36843645572662354,0.30808621644973755,0.2663729190826416,0.3576207756996155,1.0,0.29409363865852356,0.1954887956380844,0.20430970191955566
different,1.0,0.23932859301567078,0.5267002582550049,0.39262300729751587,0.22290955483913422,0.3205172121524811,0.29409363865852356,1.0,0.5665085911750793,0.24476227164268494
ways,0.5665085911750793,0.2422792613506317,0.39414840936660767,0.394069641828537,0.1576010137796402,0.3010721206665039,0.1954887956380844,0.5665085911750793,1.0,0.2710120975971222
.,0.31511759757995605,0.22547543048858643,0.41614407300949097,0.3567904531955719,0.2928885817527771,0.34234723448753357,0.5591574311256409,0.31511759757995605,0.24406853318214417,0.4130953550338745
