,how,many,narrow,gauge,rail,lines,were,previously,government,owned,?
two,0.2499001920223236,0.5147606730461121,0.2869985103607178,0.1883232146501541,0.16242606937885284,0.3015294671058655,0.4493520259857178,0.2623600661754608,0.21421611309051514,0.17071114480495453,0.19645625352859497
tourist,0.07090815901756287,0.24473781883716583,0.17687402665615082,0.16106070578098297,0.2548445761203766,0.1265961080789566,0.1417984664440155,0.05741896480321884,0.28461381793022156,0.21432213485240936,0.08379554748535156
railways,0.1569003462791443,0.1919204741716385,0.26716116070747375,0.5104495286941528,0.733599066734314,0.3607795834541321,0.2482975572347641,0.1857289969921112,0.3526480793952942,0.2823602557182312,0.0874929204583168
operate,0.24947915971279144,0.2209223508834839,0.17351122200489044,0.360557496547699,0.3415222465991974,0.330475389957428,0.22733663022518158,0.1946641504764557,0.2652454078197479,0.36558017134666443,0.16664595901966095
over,0.31446483731269836,0.47131630778312683,0.25302180647850037,0.20210953056812286,0.22988522052764893,0.229514479637146,0.30589473247528076,0.3229958713054657,0.24897949397563934,0.24275463819503784,0.25742942094802856
760,0.1505528688430786,0.11054199188947678,0.1674971729516983,-0.008862899616360664,-0.029108427464962006,0.11309977620840073,0.000939782417844981,-0.03322421759366989,-0.09088649600744247,-0.13900144398212433,0.026141434907913208
mm,0.1917833834886551,0.1543445587158203,0.2979716658592224,0.40584900975227356,0.2612350285053253,0.12862876057624817,0.1307191550731659,0.07152064144611359,0.1306474804878235,0.032651137560606,0.16094553470611572
(,0.1676948219537735,0.1455259770154953,0.12368828058242798,0.18529380857944489,0.1335669606924057,0.1778993010520935,0.14743882417678833,0.21485257148742676,0.14655277132987976,0.12338872253894806,0.40561532974243164
2,-0.02554285153746605,-0.06294522434473038,-0.023959718644618988,-0.050839364528656006,-0.025103196501731873,-0.04506615549325943,-0.013789876364171505,-0.0042295982129871845,-0.04555187746882439,-0.008148999884724617,0.001977203879505396
ft,0.17820364236831665,0.11918210983276367,0.2096286118030548,0.33526700735092163,0.24108368158340454,0.09154970198869705,0.1539309024810791,0.1717125028371811,0.10079311579465866,0.04470366984605789,0.17776548862457275
6,0.056429795920848846,0.09481502324342728,0.08024589717388153,0.10600678622722626,0.05118964985013008,0.08854937553405762,0.023150073364377022,0.044926635921001434,0.07665491849184036,0.10422661155462265,0.045001473277807236
in,0.2601168751716614,0.41474202275276184,0.23286917805671692,0.18491436541080475,0.22738659381866455,0.22601547837257385,0.3815755248069763,0.2762584090232849,0.3066793978214264,0.22438469529151917,0.20430970191955566
),0.17939934134483337,0.16602720320224762,0.1298273205757141,0.18045969307422638,0.14663036167621613,0.20047107338905334,0.1566188633441925,0.22510698437690735,0.15263929963111877,0.11753567308187485,0.42300865054130554
narrow,0.15963411331176758,0.25192683935165405,1.0,0.406684935092926,0.2333327978849411,0.26052525639533997,0.18402600288391113,0.10272999852895737,0.23466980457305908,0.08926034718751907,0.1023377925157547
gauge,0.2550436854362488,0.19774922728538513,0.406684935092926,0.9999999403953552,0.48973849415779114,0.29248976707458496,0.17522376775741577,0.18966756761074066,0.18187017738819122,0.13241462409496307,0.2129381000995636
lines,0.20665870606899261,0.20936992764472961,0.26052525639533997,0.29248976707458496,0.3984358310699463,1.0,0.24549591541290283,0.166123166680336,0.08918952196836472,0.15208639204502106,0.18324026465415955
",",0.22659391164779663,0.40610817074775696,0.2165912240743637,0.24010542035102844,0.19919529557228088,0.23323656618595123,0.36755475401878357,0.3206103444099426,0.27344048023223877,0.21168820559978485,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.3670823872089386,0.27578872442245483,0.22425106167793274,0.29714417457580566,0.2807837128639221,0.3930315375328064,0.27266770601272583,0.23229040205478668,0.25814583897590637
are,0.311818927526474,0.5655534863471985,0.2837330996990204,0.2588168680667877,0.14822308719158173,0.25913113355636597,0.6489362716674805,0.23321445286273956,0.20126859843730927,0.17828314006328583,0.24591213464736938
the,0.33890387415885925,0.4335206151008606,0.3104094862937927,0.20929455757141113,0.2306264042854309,0.28391990065574646,0.3906462490558624,0.33854439854621887,0.31798112392425537,0.1999378502368927,0.22068053483963013
remnants,0.11753547191619873,0.1592835783958435,0.1928713023662567,0.25013646483421326,0.19469396770000458,0.18801435828208923,0.3040749430656433,0.168720081448555,0.15322208404541016,0.15176039934158325,0.09044837206602097
of,0.2480744868516922,0.37253960967063904,0.248264878988266,0.17487795650959015,0.18577207624912262,0.1948472559452057,0.34038281440734863,0.2850290536880493,0.3475167155265808,0.17190153896808624,0.1826142966747284
five,0.20553050935268402,0.41084155440330505,0.2169407457113266,0.12092733383178711,0.11412961035966873,0.1941310316324234,0.37460240721702576,0.2411905825138092,0.21891987323760986,0.15139047801494598,0.18342848122119904
formerly,0.04030776023864746,0.1485845446586609,0.1517520248889923,0.20731346309185028,0.20730380713939667,0.08212237060070038,0.21698620915412903,0.3968212902545929,0.201564222574234,0.33539533615112305,0.0843876302242279
government-owned,0.1948074847459793,0.3083043396472931,0.2386864870786667,0.20236848294734955,0.2846697270870209,0.1652108132839203,0.3181025981903076,0.2935371696949005,0.9005831480026245,0.47365063428878784,0.2501196563243866
lines,0.20665870606899261,0.20936992764472961,0.26052525639533997,0.29248976707458496,0.3984358310699463,1.0,0.24549591541290283,0.166123166680336,0.08918952196836472,0.15208639204502106,0.18324026465415955
which,0.4852597713470459,0.5168171525001526,0.3670823872089386,0.27578872442245483,0.22425106167793274,0.29714417457580566,0.2807837128639221,0.3930315375328064,0.27266770601272583,0.23229040205478668,0.25814583897590637
were,0.2082374095916748,0.4804460406303406,0.18402600288391113,0.17522376775741577,0.16069936752319336,0.24549591541290283,1.0000001192092896,0.3580079674720764,0.27806493639945984,0.2597377896308899,0.17890112102031708
built,0.16975881159305573,0.2692042291164398,0.22179588675498962,0.21481791138648987,0.31759679317474365,0.18894468247890472,0.31323960423469543,0.15889351069927216,0.24718230962753296,0.38037076592445374,0.09449632465839386
in,0.2601168751716614,0.41474202275276184,0.23286917805671692,0.18491436541080475,0.22738659381866455,0.22601547837257385,0.3815755248069763,0.2762584090232849,0.3066793978214264,0.22438469529151917,0.20430970191955566
mountainous,0.11092153191566467,0.28614670038223267,0.3562367558479309,0.2865717113018036,0.26127785444259644,0.19792169332504272,0.22790171205997467,0.13407588005065918,0.21893109381198883,0.1989026814699173,0.10372836142778397
areas,0.2255835086107254,0.38976719975471497,0.25649207830429077,0.2284785807132721,0.18328268826007843,0.325621098279953,0.29025816917419434,0.19343461096286774,0.26628413796424866,0.1653665155172348,0.1273590475320816
.,0.3287222981452942,0.3974229395389557,0.19551116228103638,0.20401284098625183,0.1775164008140564,0.24112989008426666,0.3378238379955292,0.3060270845890045,0.2521961033344269,0.23474757373332977,0.4130953550338745
