,what,is,the,only,form,potential,energy,can,change,into,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.47549712657928467,0.3088195323944092,0.32849350571632385,0.21513298153877258,0.3915780484676361,0.3047741651535034,0.3461161255836487,0.23916715383529663
conservative,0.1886831820011139,0.2060939073562622,0.19218477606773376,0.18328846991062164,0.13465163111686707,0.2089184671640396,0.20383718609809875,0.13332009315490723,0.24126611649990082,0.09561266750097275,0.1597563922405243
force,0.16915984451770782,0.22036980092525482,0.2800885736942291,0.24689099192619324,0.20255571603775024,0.21226736903190613,0.29917049407958984,0.18594154715538025,0.21709659695625305,0.1669553965330124,0.1650998443365097
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.6004067063331604,0.31894639134407043,0.3847380578517914,0.2617390751838684,0.4522190988063812,0.3988441526889801,0.3239944875240326,0.32716336846351624
acts,0.24949195981025696,0.253656268119812,0.2568269371986389,0.2362213134765625,0.15096406638622284,0.21084317564964294,0.1823500692844391,0.186599463224411,0.26949453353881836,0.14544856548309326,0.07075770199298859
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.38586410880088806,0.1214052140712738,0.21637758612632751,0.15102268755435944,0.2772369682788849,0.3118341565132141,0.30585673451423645,0.2714994251728058
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.47549712657928467,0.3088195323944092,0.32849350571632385,0.21513298153877258,0.3915780484676361,0.3047741651535034,0.3461161255836487,0.23916715383529663
closed,0.1689339131116867,0.15169702470302582,0.2359541952610016,0.22784385085105896,0.09570435434579849,0.2192150354385376,0.20746156573295593,0.2105410248041153,0.24566787481307983,0.17361348867416382,0.15595348179340363
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.3086473345756531,0.2599324882030487,0.26104965806007385,0.2296154797077179,0.25937724113464355,0.21607841551303864,0.219827339053154,0.15556083619594574
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.4251205623149872,0.19877426326274872,0.31091535091400146,0.21254727244377136,0.4103628396987915,0.2470555454492569,0.29681676626205444,0.15994466841220856
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.28787028789520264,0.1558980643749237,0.28476187586784363,0.22262732684612274,0.23671309649944305,0.3122991919517517,0.2105669528245926,0.19793890416622162
associated,0.15836219489574432,0.2300606518983841,0.2742886245250702,0.18334586918354034,0.24436324834823608,0.2735998332500458,0.26895955204963684,0.23185616731643677,0.17883643507957458,0.1684948205947876,0.1453326791524887
mechanical,0.22318285703659058,0.2110103964805603,0.2918589413166046,0.24969151616096497,0.14665691554546356,0.29337078332901,0.40101107954978943,0.22951143980026245,0.2291664034128189,0.21739894151687622,0.10079140216112137
work,0.3762225806713104,0.22475390136241913,0.2704800069332123,0.2709178626537323,0.1368279904127121,0.25732043385505676,0.23800304532051086,0.28794336318969727,0.32871606945991516,0.17923736572265625,0.2621155381202698
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.6004067063331604,0.31894639134407043,0.3847380578517914,0.2617390751838684,0.4522190988063812,0.3988441526889801,0.3239944875240326,0.32716336846351624
allows,0.1957017332315445,0.2976554334163666,0.2995605766773224,0.3687010109424591,0.2820805013179779,0.3351088762283325,0.2241697907447815,0.5649749636650085,0.32004186511039734,0.27517038583755493,0.16094227135181427
energy,0.190252885222435,0.2171693742275238,0.26756542921066284,0.21738086640834808,0.22681395709514618,0.4737408459186554,1.0000001192092896,0.28262534737586975,0.26996466517448425,0.2190977931022644,0.14860127866268158
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.5096819996833801,0.2772196829319,0.3595958650112152,0.27179354429244995,0.4979398250579834,0.3581787943840027,0.38810545206069946,0.29463258385658264
convert,0.23213930428028107,0.2185739129781723,0.20079432427883148,0.25760847330093384,0.21014007925987244,0.18895016610622406,0.2589336335659027,0.24666906893253326,0.28899821639060974,0.3214605152606964,0.2126215249300003
only,0.41415658593177795,0.44708555936813354,0.5497692227363586,1.0,0.29319658875465393,0.2830633819103241,0.21738086640834808,0.43433451652526855,0.30921539664268494,0.24060678482055664,0.2767370045185089
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.3298133313655853,0.24882446229457855,0.201361283659935,0.19060273468494415,0.23827335238456726,0.2062893956899643,0.30393290519714355,0.12887074053287506
kinetic,0.2226589173078537,0.17168331146240234,0.24169990420341492,0.2181190699338913,0.2894434928894043,0.4389466941356659,0.5468651652336121,0.30103549361228943,0.3196452558040619,0.25199073553085327,0.17710059881210327
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.42634648084640503,0.3818044364452362,0.3195761740207672,0.2628824710845947,0.5614996552467346,0.3169957101345062,0.31663477420806885,0.32389625906944275
potential,0.27308183908462524,0.26865047216415405,0.27955570816993713,0.2830633819103241,0.24537651240825653,1.0,0.4737408459186554,0.39116546511650085,0.265726238489151,0.2369776964187622,0.20122039318084717
forms,0.16334041953086853,0.35419854521751404,0.2950737178325653,0.2838682532310486,0.6824371218681335,0.2505013942718506,0.20608551800251007,0.3238907754421234,0.203101247549057,0.30808964371681213,0.1196754202246666
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.49507418274879456,0.28317511081695557,0.23111921548843384,0.22292809188365936,0.35783761739730835,0.3244723975658417,0.26250120997428894,0.4130953550338745
