,whose,society,portraits,from,the,late,19th,to,early,20th,centuries,does,the,v,&,a,hold,?
the,0.38253846764564514,0.2789285480976105,0.20015093684196472,0.40150508284568787,1.0,0.31481194496154785,0.24964287877082825,0.535392165184021,0.34442198276519775,0.3097512125968933,0.32166481018066406,0.35928019881248474,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.3067915439605713,0.22068053483963013
museum,0.017854614183306694,0.2567172944545746,0.3667297959327698,0.20791949331760406,0.24861779808998108,0.20312373340129852,0.06397612392902374,0.1640389859676361,0.23575761914253235,0.11337249726057053,0.1781580150127411,0.1064787358045578,0.24861779808998108,0.07561434060335159,0.18110838532447815,0.14725451171398163,0.1476082056760788,0.14128351211547852
also,0.3275339901447296,0.2379170060157776,0.2265843003988266,0.33783096075057983,0.6021018624305725,0.296752393245697,0.2357180416584015,0.5348826050758362,0.3118421137332916,0.24755780398845673,0.2518737018108368,0.4118025600910187,0.6021018624305725,0.17328022420406342,0.1553146094083786,0.5149940252304077,0.33512040972709656,0.21848613023757935
holds,0.1410437971353531,0.17241354286670685,0.14285974204540253,0.2390662431716919,0.28190866112709045,0.0578354187309742,0.23612874746322632,0.1390777975320816,0.07469785213470459,0.1872464269399643,0.13041360676288605,0.2685805559158325,0.28190866112709045,0.10173993557691574,0.14777152240276337,0.2758602797985077,0.580230176448822,0.11379207670688629
james,0.14369472861289978,0.2184673547744751,0.17999817430973053,0.1740475445985794,0.22481533885002136,0.18667662143707275,0.23392844200134277,0.22204333543777466,0.20055997371673584,0.23166212439537048,0.18826565146446228,0.1549486517906189,0.22481533885002136,0.17797860503196716,0.15583685040473938,0.19130736589431763,0.13968181610107422,0.12139993160963058
lafayette,0.15533460676670074,0.17047350108623505,0.1957869529724121,0.15563170611858368,0.24246855080127716,0.14038659632205963,0.08177664130926132,0.17745669186115265,0.20398633182048798,0.10662788152694702,0.17942281067371368,0.12364727258682251,0.24246855080127716,0.11857227236032486,0.11915227025747299,0.2817785143852234,0.19353938102722168,0.14811289310455322
's,-0.019954677671194077,-0.027537118643522263,-0.04627674072980881,-0.01936490088701248,-0.01540423184633255,0.013811700977385044,0.09424189478158951,0.03782717138528824,0.03384959325194359,0.1176292821764946,-0.011494642123579979,-0.02895052544772625,-0.01540423184633255,-0.008823617361485958,-0.02038128487765789,0.04866964742541313,0.05379863828420639,-0.023395681753754616
society,0.1009422242641449,0.9999998807907104,0.2546401917934418,0.18421071767807007,0.2789285480976105,0.08862438052892685,0.1275455802679062,0.20199917256832123,0.17839717864990234,0.13185599446296692,0.24110989272594452,0.1520092785358429,0.2789285480976105,0.11053261905908585,0.1958792358636856,0.22652459144592285,0.12088517844676971,0.1373005360364914
portraits,0.2716776728630066,0.2546401917934418,1.0,0.18955032527446747,0.20015093684196472,0.1811489760875702,0.10261847078800201,0.1937841922044754,0.27150431275367737,0.10174969583749771,0.29995623230934143,0.1297183334827423,0.20015093684196472,0.06860103458166122,0.11073436588048935,0.15679192543029785,0.166284441947937,0.10964181274175644
",",0.25601375102996826,0.20629194378852844,0.1909271478652954,0.39760664105415344,0.4933079481124878,0.3051932752132416,0.16815264523029327,0.44245919585227966,0.3022546172142029,0.22451449930667877,0.1864481121301651,0.28617382049560547,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2803111970424652,0.31091248989105225
