,what,book,of,the,bible,discusses,civil,disobedience,?
by,0.2455483376979828,0.27178502082824707,0.3646814823150635,0.4408751428127289,0.19745492935180664,0.25219008326530457,0.15479567646980286,0.2563513219356537,0.17966607213020325
this,0.5489566326141357,0.2779081463813782,0.45148900151252747,0.6274310946464539,0.25184938311576843,0.3178238272666931,0.24196121096611023,0.3574272096157074,0.3155723512172699
definition,0.330344021320343,0.19816076755523682,0.24912455677986145,0.23176956176757812,0.1446676105260849,0.2687890827655792,0.11440393328666687,0.20017720758914948,0.2796523869037628
",",0.3087472915649414,0.23644568026065826,0.4946078956127167,0.4933079481124878,0.18640878796577454,0.2985098958015442,0.24795588850975037,0.2878543734550476,0.31091248989105225
civil,0.15091551840305328,0.18018245697021484,0.24698495864868164,0.2477465271949768,0.17501895129680634,0.19904030859470367,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.3298627436161041,0.2950320243835449,0.31932318210601807,0.30963727831840515,0.3708484470844269,0.30042603611946106,0.5442691445350647,1.0,0.19890835881233215
could,0.4188697934150696,0.2001878321170807,0.29043012857437134,0.35393214225769043,0.2806817293167114,0.14737354218959808,0.16472849249839783,0.2661627531051636,0.3411986827850342
be,0.3929833769798279,0.21336250007152557,0.33904364705085754,0.4248143136501312,0.25201117992401123,0.1842184215784073,0.18061059713363647,0.2944406270980835,0.3324260413646698
traced,0.22912096977233887,0.24503162503242493,0.325751930475235,0.34548765420913696,0.22479739785194397,0.2815079391002655,0.12797248363494873,0.16463902592658997,0.10152046382427216
back,0.2965294420719147,0.13070915639400482,0.23051875829696655,0.3612101674079895,0.11968722939491272,0.18846742808818817,0.14106428623199463,0.13250015676021576,0.2397768795490265
to,0.455847829580307,0.20275522768497467,0.41548454761505127,0.535392165184021,0.22778454422950745,0.2404901087284088,0.2019355595111847,0.30665844678878784,0.29463258385658264
the,0.42745697498321533,0.2652374505996704,0.733189046382904,1.0,0.27647915482521057,0.28063467144966125,0.2477465271949768,0.30963727831840515,0.22068053483963013
book,0.2872225046157837,1.0,0.22602593898773193,0.2652374505996704,0.4712551534175873,0.36627766489982605,0.18018245697021484,0.2950320243835449,0.20572158694267273
of,0.33290785551071167,0.22602593898773193,1.0,0.733189046382904,0.25664499402046204,0.2630542814731598,0.24698495864868164,0.31932318210601807,0.1826142966747284
exodus,0.25344720482826233,0.25467589497566223,0.19406749308109283,0.21896156668663025,0.39181527495384216,0.2081429362297058,0.14244838058948517,0.33255431056022644,0.14324861764907837
",",0.3087472915649414,0.23644568026065826,0.4946078956127167,0.4933079481124878,0.18640878796577454,0.2985098958015442,0.24795588850975037,0.2878543734550476,0.31091248989105225
where,0.4457937180995941,0.16606031358242035,0.38066378235816956,0.5003893971443176,0.22658833861351013,0.190497487783432,0.13912323117256165,0.20790143311023712,0.24793872237205505
shiphrah,0.23642927408218384,0.24273988604545593,0.25155171751976013,0.3053118884563446,0.38210156559944153,0.19636334478855133,0.19437800347805023,0.2974085211753845,0.23365181684494019
and,0.31309178471565247,0.28024056553840637,0.5116966962814331,0.5171257257461548,0.1976928561925888,0.2804204523563385,0.25259146094322205,0.3041999638080597,0.20544172823429108
puah,0.22840669751167297,0.2138647437095642,0.23883818089962006,0.2934013605117798,0.34228551387786865,0.09405999630689621,0.16864220798015594,0.15997879207134247,0.1579752117395401
refused,0.19773393869400024,0.13681043684482574,0.21729640662670135,0.2606237530708313,0.15408773720264435,0.2229824662208557,0.23475630581378937,0.43099918961524963,0.14580921828746796
a,0.3320399522781372,0.19186489284038544,0.5052502155303955,0.5829201340675354,0.15878930687904358,0.1581478714942932,0.21693918108940125,0.25352153182029724,0.23916715383529663
direct,0.26271191239356995,0.1833449900150299,0.2533726394176483,0.3262479901313782,0.16849391162395477,0.2300676852464676,0.09565252810716629,0.209270641207695,0.18476411700248718
order,0.16634008288383484,0.18374742567539215,0.31287699937820435,0.3284194767475128,0.1544996201992035,0.18044902384281158,0.16059473156929016,0.29717501997947693,0.13725648820400238
of,0.33290785551071167,0.22602593898773193,1.0,0.733189046382904,0.25664499402046204,0.2630542814731598,0.24698495864868164,0.31932318210601807,0.1826142966747284
pharaoh,0.23098188638687134,0.20782910287380219,0.15238142013549805,0.206037238240242,0.2509409785270691,0.19094882905483246,0.12106432020664215,0.25788208842277527,0.18421317636966705
but,0.5029441118240356,0.23550857603549957,0.39942997694015503,0.4859698414802551,0.255994975566864,0.2740028202533722,0.22084347903728485,0.2850637137889862,0.27921953797340393
misrepresented,0.3218365013599396,0.17082354426383972,0.34781232476234436,0.29758942127227783,0.16626544296741486,0.2996998727321625,0.20785307884216309,0.3068811893463135,0.32171550393104553
how,0.6468034982681274,0.2598314583301544,0.2480744868516922,0.33890387415885925,0.21888574957847595,0.3127574622631073,0.10494508594274521,0.27056485414505005,0.4024120569229126
they,0.4431931674480438,0.1637771725654602,0.3426007330417633,0.49925389885902405,0.24129162728786469,0.17395466566085815,0.14507707953453064,0.3148254156112671,0.2753053903579712
did,0.4259131848812103,0.17269964516162872,0.2513895630836487,0.34736719727516174,0.24923516809940338,0.24176523089408875,0.17288750410079956,0.32217419147491455,0.3023456633090973
it,0.45803478360176086,0.25369152426719666,0.38761502504348755,0.6251175999641418,0.25538355112075806,0.16976343095302582,0.17707513272762299,0.2648297846317291,0.25732165575027466
.,0.3567904531955719,0.21435262262821198,0.5352458953857422,0.5934505462646484,0.22401820123195648,0.2198036164045334,0.2541380822658539,0.2603943943977356,0.4130953550338745
