,when,was,a,third,visit,to,mnafeld,scheduled,?
luther,0.14516782760620117,0.19185513257980347,0.17967689037322998,0.11620480567216873,0.11508796364068985,0.18029534816741943,0.30497226119041443,0.1933002918958664,0.1732746809720993
journeyed,0.22248795628547668,0.3218499422073364,0.19841602444648743,0.22451746463775635,0.3600819408893585,0.3017386794090271,0.2963041067123413,0.2624783515930176,0.043394725769758224
to,0.5423505902290344,0.3636345863342285,0.45503583550453186,0.2795414924621582,0.3528536260128021,1.0,0.2256673276424408,0.25710105895996094,0.29463258385658264
mansfeld,0.19568145275115967,0.25422683358192444,0.23208288848400116,0.1643482744693756,0.1793564409017563,0.22356681525707245,0.7372167706489563,0.15592901408672333,0.17363522946834564
twice,0.37843289971351624,0.32907354831695557,0.3332133889198303,0.2854821979999542,0.13741561770439148,0.28163591027259827,0.1691395342350006,0.165791317820549,0.16248004138469696
in,0.4431333839893341,0.45514053106307983,0.539380669593811,0.3309578001499176,0.2627917230129242,0.45010748505592346,0.30046921968460083,0.23272886872291565,0.20430970191955566
late,0.29498016834259033,0.4393066465854645,0.22989967465400696,0.2241581380367279,0.18129774928092957,0.25809016823768616,0.25551584362983704,0.25731438398361206,0.11339222639799118
1545,-0.008832449093461037,-0.02688269503414631,-0.08936532586812973,-0.01255490817129612,-0.08757530152797699,-0.05818259343504906,-0.10236690938472748,-0.027536457404494286,0.07005058974027634
to,0.5423505902290344,0.3636345863342285,0.45503583550453186,0.2795414924621582,0.3528536260128021,1.0,0.2256673276424408,0.25710105895996094,0.29463258385658264
participate,0.19980613887310028,0.15034474432468414,0.17005322873592377,0.1955760419368744,0.2882765531539917,0.319547563791275,0.2370038777589798,0.2391507774591446,0.2079276293516159
in,0.4431333839893341,0.45514053106307983,0.539380669593811,0.3309578001499176,0.2627917230129242,0.45010748505592346,0.30046921968460083,0.23272886872291565,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.5829201340675354,0.4229298532009125,0.28665876388549805,0.535392165184021,0.27418285608291626,0.23960356414318085,0.22068053483963013
negotiations,0.20567582547664642,0.24871394038200378,0.20987188816070557,0.1501592993736267,0.2358022928237915,0.2914547026157379,0.28640758991241455,0.25501549243927,0.12190581113100052
for,0.43402108550071716,0.3863949179649353,0.44038116931915283,0.2187870591878891,0.22724522650241852,0.4451248347759247,0.20423945784568787,0.18816711008548737,0.264628142118454
a,0.44397395849227905,0.4508470594882965,1.0,0.35260438919067383,0.18409983813762665,0.45503583550453186,0.1966758817434311,0.19639261066913605,0.23916715383529663
settlement,0.20788389444351196,0.2632548213005066,0.24842394888401031,0.1258544921875,0.2634779214859009,0.2762512266635895,0.25262486934661865,0.18975293636322021,0.12535437941551208
",",0.36674630641937256,0.45456063747406006,0.427140474319458,0.283071368932724,0.2669648230075836,0.44245919585227966,0.39685115218162537,0.2531873285770416,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.3739250600337982,0.26207348704338074,0.25392410159111023,0.48971283435821533,0.3438418209552765,0.2042222023010254,0.20544172823429108
a,0.44397395849227905,0.4508470594882965,1.0,0.35260438919067383,0.18409983813762665,0.45503583550453186,0.1966758817434311,0.19639261066913605,0.23916715383529663
third,0.23858320713043213,0.3460187017917633,0.35260438919067383,1.0,0.1399066299200058,0.2795414924621582,0.22760330140590668,0.2266312688589096,0.15394791960716248
visit,0.27095118165016174,0.1841222643852234,0.18409983813762665,0.1399066299200058,1.0000001192092896,0.3528536260128021,0.1874583661556244,0.237912118434906,0.1747637540102005
was,0.37326499819755554,1.0000001192092896,0.4508470594882965,0.3460187017917633,0.1841222643852234,0.3636345863342285,0.32002803683280945,0.28737300634384155,0.18412111699581146
needed,0.3670521080493927,0.227164626121521,0.2915569543838501,0.15915991365909576,0.1270749270915985,0.45002421736717224,0.14231684803962708,0.19230405986309052,0.2863257825374603
in,0.4431333839893341,0.45514053106307983,0.539380669593811,0.3309578001499176,0.2627917230129242,0.45010748505592346,0.30046921968460083,0.23272886872291565,0.20430970191955566
early,0.32107013463974,0.4148794412612915,0.2710886299610138,0.21419157087802887,0.15734249353408813,0.24557004868984222,0.20669686794281006,0.14715664088726044,0.15272949635982513
1546,0.01270752027630806,0.15838901698589325,0.05756157636642456,0.017184609547257423,0.07618406414985657,0.04448734596371651,0.20832543075084686,0.07135462760925293,-0.004786801990121603
for,0.43402108550071716,0.3863949179649353,0.44038116931915283,0.2187870591878891,0.22724522650241852,0.4451248347759247,0.20423945784568787,0.18816711008548737,0.264628142118454
their,0.3682888448238373,0.2396296262741089,0.29698723554611206,0.2286214977502823,0.16851873695850372,0.44619059562683105,0.15287068486213684,0.21145591139793396,0.1898253709077835
completion,0.22595025599002838,0.280563622713089,0.29346901178359985,0.24028295278549194,0.16187737882137299,0.3465783894062042,0.2648831903934479,0.3503488600254059,0.08032544702291489
.,0.475719153881073,0.40146201848983765,0.50484299659729,0.3039522171020508,0.2957981824874878,0.4645031690597534,0.3347994089126587,0.19395571947097778,0.4130953550338745
