,what,is,an,example,of,a,steam-powered,automobile,?
there,0.35085538029670715,0.3904260993003845,0.22476400434970856,0.346343457698822,0.44397735595703125,0.4214206337928772,0.24852925539016724,0.12474314868450165,0.29405656456947327
have,0.39808809757232666,0.3613572418689728,0.22897054255008698,0.39606785774230957,0.3802283704280853,0.338716596364975,0.2491338849067688,0.11401055008172989,0.32991164922714233
at,0.2838611304759979,0.25906258821487427,0.2446778565645218,0.21853865683078766,0.42558613419532776,0.3095070421695709,0.2539540231227875,0.1521131545305252,0.21978627145290375
one,0.376489520072937,0.4544198513031006,0.2829729914665222,0.41499486565589905,0.4999135136604309,0.4910551905632019,0.30105942487716675,0.1835208237171173,0.2673267424106598
time,0.36319252848625183,0.25187405943870544,0.17594800889492035,0.31812599301338196,0.35127586126327515,0.3292340338230133,0.24845844507217407,0.11056603491306305,0.27391523122787476
or,0.33867141604423523,0.41870999336242676,0.3096676766872406,0.5192843675613403,0.3792596757411957,0.48853766918182373,0.29628652334213257,0.1309618055820465,0.32389625906944275
another,0.4190070629119873,0.41278526186943054,0.47266486287117004,0.43798014521598816,0.38147079944610596,0.6191956996917725,0.24970099329948425,0.12428072094917297,0.295511931180954
been,0.2567804455757141,0.39566612243652344,0.24947525560855865,0.22095714509487152,0.31685134768486023,0.3315402865409851,0.23391513526439667,0.15882788598537445,0.24354910850524902
steam-powered,0.17279094457626343,0.12360534816980362,0.1649216115474701,0.21377773582935333,0.22288812696933746,0.28048446774482727,0.9999998807907104,0.4538287818431854,0.1711118370294571
farm,0.2069452404975891,0.19923728704452515,0.14151887595653534,0.16209161281585693,0.20883309841156006,0.23873946070671082,0.2716177999973297,0.1597519963979721,0.1406853348016739
tractors,0.18873023986816406,0.16267476975917816,0.20081205666065216,0.1822316199541092,0.254069983959198,0.2259523868560791,0.4847101867198944,0.3526703417301178,0.10107389837503433
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.26768529415130615,0.20926658809185028,0.31091248989105225
motorcycles,0.1797896772623062,0.12903960049152374,0.1208283007144928,0.18002066016197205,0.18522591888904572,0.20319126546382904,0.4539954662322998,0.563711941242218,0.16258148849010468
(,0.2411840260028839,0.35393038392066956,0.286407470703125,0.23614145815372467,0.35032153129577637,0.3206180930137634,0.167658269405365,0.20752565562725067,0.40561532974243164
without,0.3181614279747009,0.22869740426540375,0.20276303589344025,0.36860889196395874,0.3081340193748474,0.2797018885612488,0.245579794049263,0.10880226641893387,0.2928665280342102
much,0.45316147804260254,0.3156087100505829,0.2866077721118927,0.332793265581131,0.2671096920967102,0.2958075702190399,0.2939770817756653,0.14029893279075623,0.23442231118679047
success,0.22873179614543915,0.1775658279657364,0.14948700368404388,0.12754255533218384,0.20485365390777588,0.2934626638889313,0.2577105760574341,0.1897025853395462,0.1216118186712265
),0.26259949803352356,0.37732169032096863,0.2873353958129883,0.26101627945899963,0.3680361211299896,0.3640355169773102,0.16679511964321136,0.22049151360988617,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.3739250600337982,0.27766600251197815,0.15544651448726654,0.20544172823429108
even,0.40872135758399963,0.28202980756759644,0.2349194884300232,0.4638634920120239,0.34735506772994995,0.3278432786464691,0.29524359107017517,0.13256537914276123,0.30082517862319946
automobiles,0.18129289150238037,0.17314104735851288,0.12862229347229004,0.19363579154014587,0.1845320612192154,0.19935551285743713,0.4772208333015442,0.9192824959754944,0.1570184975862503
as,0.31749409437179565,0.43216490745544434,0.37218472361564636,0.35903409123420715,0.3886612355709076,0.39550232887268066,0.2707318067550659,0.1450600028038025,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.2755395174026489,0.19456493854522705,0.22068053483963013
stanley,0.11021901667118073,0.0982796773314476,0.14521726965904236,0.1187179684638977,0.1884305775165558,0.135273277759552,0.3178744614124298,0.17519620060920715,0.11196144670248032
steamer,0.07291951030492783,0.12267796695232391,0.12417960166931152,0.12202563881874084,0.23172417283058167,0.23021842539310455,0.6883021593093872,0.34793874621391296,0.05115045607089996
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.50484299659729,0.275895357131958,0.24395056068897247,0.4130953550338745
