,how,much,of,the,earth,'s,atmosphere,is,diatomic,oxygen,?
diatomic,0.29307615756988525,0.2469215989112854,0.3097217381000519,0.2946808338165283,0.31545621156692505,-0.0335940383374691,0.3898460268974304,0.2860228419303894,0.9999998807907104,0.48179152607917786,0.18782663345336914
oxygen,0.21928748488426208,0.2913925051689148,0.16848602890968323,0.20428593456745148,0.3065866231918335,-0.011648092418909073,0.48839667439460754,0.21825239062309265,0.48179152607917786,0.9999999403953552,0.16786395013332367
gas,0.2305871844291687,0.23716126382350922,0.21246914565563202,0.2339978665113449,0.2002556324005127,-0.01457519456744194,0.43605828285217285,0.1897863894701004,0.3491629362106323,0.45564013719558716,0.1582372784614563
constitutes,0.23594099283218384,0.24788236618041992,0.42213600873947144,0.35016530752182007,0.14650224149227142,-0.011207361705601215,0.16527017951011658,0.3203865885734558,0.22907939553260803,0.16383196413516998,0.2611486315727234
20.8,-0.07302789390087128,-0.0290119256824255,0.006427067331969738,-0.03830062970519066,0.033230990171432495,0.04580145701766014,0.03259020671248436,-0.0025490031111985445,-0.05269563943147659,0.02005334198474884,0.10411375015974045
%,0.1237400695681572,0.26866111159324646,0.19953428208827972,0.21490740776062012,0.16834478080272675,0.031266406178474426,0.2000538408756256,0.18672586977481842,0.10975872725248337,0.25139331817626953,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.2329314798116684,-0.03817026689648628,0.1981431096792221,0.4854315221309662,0.3097217381000519,0.16848602890968323,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.2801888585090637,-0.01540423184633255,0.24429655075073242,0.5823672413825989,0.2946808338165283,0.20428593456745148,0.22068053483963013
earth,0.2756480276584625,0.23964592814445496,0.2329314798116684,0.2801888585090637,1.0,0.0661235973238945,0.5628719925880432,0.26888176798820496,0.31545621156692505,0.3065866231918335,0.17717236280441284
's,-0.026164190843701363,0.06731651723384857,-0.03817026689648628,-0.01540423184633255,0.0661235973238945,0.9999999403953552,0.0077118780463933945,0.02396530658006668,-0.0335940383374691,-0.011648092418909073,-0.023395681753754616
atmosphere,0.2488957792520523,0.3395298421382904,0.1981431096792221,0.24429655075073242,0.5628719925880432,0.0077118780463933945,1.0,0.1850086748600006,0.3898460268974304,0.48839667439460754,0.15636961162090302
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.2542925775051117,-0.003708066651597619,0.202870711684227,0.4569662809371948,0.27935701608657837,0.2554275095462799,0.4130953550338745
