,which,district,in,fresno,is,known,as,the,center,for,the,heavy,metal,community,?
;,-0.01244901679456234,0.04168683663010597,0.092739537358284,0.05566907674074173,0.05324986204504967,0.06441469490528107,0.05586666986346245,0.09152708947658539,0.09528230875730515,0.0293948445469141,0.09152708947658539,0.060628000646829605,0.06689663976430893,0.08150949329137802,0.10349778085947037
additionally,0.4309332072734833,0.09250964224338531,0.3179662823677063,0.20345062017440796,0.31744685769081116,0.25457140803337097,0.4701622426509857,0.34359288215637207,0.13104623556137085,0.40722236037254333,0.34359288215637207,0.19615429639816284,0.12776826322078705,0.19742317497730255,0.24129506945610046
",",0.3658004403114319,0.25852543115615845,0.5201468467712402,0.2561432421207428,0.4691906273365021,0.3604377806186676,0.48816442489624023,0.4933079481124878,0.1905742734670639,0.4464869201183319,0.4933079481124878,0.2612200081348419,0.22670342028141022,0.2761111557483673,0.31091248989105225
tower,0.2040041834115982,0.20217934250831604,0.22630389034748077,0.13243645429611206,0.1400395631790161,0.15409867465496063,0.149769127368927,0.2398453801870346,0.2799876630306244,0.13139645755290985,0.2398453801870346,0.10436661541461945,0.1320713460445404,0.16154634952545166,0.10395228117704391
district,0.2036324292421341,1.0,0.30883273482322693,0.16571244597434998,0.2656395733356476,0.1463240683078766,0.17043891549110413,0.2690705955028534,0.19152459502220154,0.16689854860305786,0.2690705955028534,0.10013987123966217,0.10498857498168945,0.230899378657341,0.06725285202264786
is,0.4457404911518097,0.2656395733356476,0.5394441485404968,0.2127077877521515,1.0,0.41921812295913696,0.43216490745544434,0.5823672413825989,0.24782158434391022,0.43268078565597534,0.5823672413825989,0.23454418778419495,0.2802240252494812,0.26023760437965393,0.22961433231830597
also,0.6566565632820129,0.23743490874767303,0.5073733329772949,0.2253323197364807,0.5012649297714233,0.4766203761100769,0.5774298906326294,0.6021018624305725,0.2188228815793991,0.5373267531394958,0.6021018624305725,0.25514042377471924,0.22504600882530212,0.24745750427246094,0.21848613023757935
known,0.30223485827445984,0.1463240683078766,0.32641831040382385,0.18501479923725128,0.41921812295913696,1.0,0.4815765619277954,0.3624623417854309,0.17107921838760376,0.363901823759079,0.3624623417854309,0.16933612525463104,0.18937690556049347,0.12171687185764313,0.18314571678638458
as,0.41006597876548767,0.17043891549110413,0.3887844979763031,0.13437435030937195,0.43216490745544434,0.4815765619277954,1.0,0.48381632566452026,0.20052886009216309,0.44774648547172546,0.48381632566452026,0.18885937333106995,0.16926591098308563,0.22733435034751892,0.27043893933296204
the,0.6521818041801453,0.2690705955028534,0.6662389636039734,0.22571885585784912,0.5823672413825989,0.3624623417854309,0.48381632566452026,1.0,0.29064592719078064,0.4739971458911896,1.0,0.2532151937484741,0.22397266328334808,0.2601400911808014,0.22068053483963013
center,0.22164148092269897,0.19152459502220154,0.27253323793411255,0.26067841053009033,0.24782158434391022,0.17107921838760376,0.20052886009216309,0.29064592719078064,0.9999999403953552,0.1980270892381668,0.29064592719078064,0.12499344348907471,0.1486932784318924,0.191753089427948,0.12538520991802216
of,0.5011631846427917,0.2673880457878113,0.5696388483047485,0.1875009983778,0.4854315221309662,0.35814476013183594,0.3886612355709076,0.733189046382904,0.24526838958263397,0.4185989499092102,0.733189046382904,0.24240271747112274,0.20934239029884338,0.2367410808801651,0.1826142966747284
fresno,0.14756552875041962,0.16571244597434998,0.26126348972320557,1.0000001192092896,0.2127077877521515,0.18501479923725128,0.13437435030937195,0.22571885585784912,0.26067841053009033,0.17504577338695526,0.22571885585784912,0.14936012029647827,0.19040513038635254,0.2422681599855423,0.13224096596240997
's,0.03856118768453598,0.02946428395807743,-0.037580832839012146,0.032067470252513885,0.02396530658006668,0.008368984796106815,-0.05775856226682663,-0.01540423184633255,-0.006294060964137316,-0.07241261005401611,-0.01540423184633255,0.04729229211807251,0.09405311942100525,0.020855724811553955,-0.023395681753754616
local,0.24027122557163239,0.23669587075710297,0.2223825752735138,0.2892987132072449,0.13173899054527283,0.138745978474617,0.21087346971035004,0.2130540907382965,0.15287010371685028,0.23619583249092102,0.2130540907382965,0.07939102500677109,0.07972076535224915,0.2630566358566284,0.15022775530815125
punk/goth/deathrock,0.43852725625038147,0.25071999430656433,0.37157440185546875,0.30105331540107727,0.32548052072525024,0.23365619778633118,0.3228979706764221,0.41209742426872253,0.27036818861961365,0.36626094579696655,0.41209742426872253,0.37162864208221436,0.4737672805786133,0.2845498025417328,0.3767121732234955
and,0.506277859210968,0.23884956538677216,0.4954058527946472,0.21513071656227112,0.3859752118587494,0.3468935489654541,0.49487000703811646,0.5171257257461548,0.28670641779899597,0.5064792633056641,0.5171257257461548,0.3313291370868683,0.26332223415374756,0.2756517827510834,0.20544172823429108
heavy,0.2966303825378418,0.10013987123966217,0.2047721892595291,0.14936012029647827,0.23454418778419495,0.16933612525463104,0.18885937333106995,0.2532151937484741,0.12499344348907471,0.22900916635990143,0.2532151937484741,0.9999998807907104,0.568176805973053,0.09788365662097931,0.16717074811458588
metal,0.2715717554092407,0.10498857498168945,0.21532365679740906,0.19040513038635254,0.2802240252494812,0.18937690556049347,0.16926591098308563,0.22397266328334808,0.1486932784318924,0.25645938515663147,0.22397266328334808,0.568176805973053,1.0,0.1425098329782486,0.19767305254936218
community,0.2314024716615677,0.230899378657341,0.21838891506195068,0.2422681599855423,0.26023760437965393,0.12171687185764313,0.22733435034751892,0.2601400911808014,0.191753089427948,0.24596118927001953,0.2601400911808014,0.09788365662097931,0.1425098329782486,0.9999998807907104,0.2380419820547104
.,0.45942068099975586,0.23195737600326538,0.5591574311256409,0.2480216920375824,0.4569662809371948,0.283290296792984,0.515582263469696,0.5934505462646484,0.29649654030799866,0.4726039469242096,0.5934505462646484,0.23141726851463318,0.24715308845043182,0.2594514787197113,0.4130953550338745
