,what,does,the,name,fresno,mean,in,spanish,?
the,0.42745697498321533,0.35928019881248474,1.0,0.3171212375164032,0.22571885585784912,0.25977957248687744,0.6662389636039734,0.23213517665863037,0.22068053483963013
name,0.18623162806034088,0.21063627302646637,0.3171212375164032,1.0,0.17195947468280792,0.22177204489707947,0.2459065467119217,0.14661148190498352,0.15381577610969543
fresno,0.159109428524971,0.08895698189735413,0.22571885585784912,0.17195947468280792,1.0000001192092896,0.14015576243400574,0.26126348972320557,0.21408884227275848,0.13224096596240997
means,0.2553325295448303,0.3901011645793915,0.32225894927978516,0.32115650177001953,0.07483646273612976,0.576000988483429,0.1979396492242813,0.1846877485513687,0.21233566105365753
``,0.008517155423760414,0.06539655476808548,0.029072100296616554,0.1001104861497879,0.05810604989528656,0.06393398344516754,0.04765888676047325,0.05383434146642685,0.0685480609536171
ash,0.1386452615261078,0.10496561229228973,0.18908189237117767,0.0935661569237709,0.05263657495379448,0.1113397553563118,0.1435057371854782,0.10256435722112656,0.1842072457075119
tree,0.17175592482089996,0.15706555545330048,0.2565799951553345,0.1967555731534958,0.117909736931324,0.16473619639873505,0.15590032935142517,0.15239538252353668,0.10740261524915695
'',0.08143015950918198,-0.004023602232336998,0.041273195296525955,0.003883055876940489,0.00738918874412775,0.08347149938344955,0.07432962208986282,0.014310797676444054,0.018684765323996544
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.2459065467119217,0.26126348972320557,0.2099098116159439,1.0,0.15696977078914642,0.20430970191955566
spanish,0.13950122892856598,0.17319999635219574,0.23213517665863037,0.14661148190498352,0.21408884227275848,0.15113528072834015,0.15696977078914642,1.0000001192092896,0.14750491082668304
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.28145334124565125,0.2561432421207428,0.27540135383605957,0.5201468467712402,0.2153884321451187,0.31091248989105225
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.21235932409763336,0.21513071656227112,0.22596950829029083,0.4954058527946472,0.27494850754737854,0.20544172823429108
an,0.2821882665157318,0.29477936029434204,0.4207492768764496,0.22033736109733582,0.15491461753845215,0.2529090940952301,0.2605783939361572,0.12465652078390121,0.19793890416622162
ash,0.1386452615261078,0.10496561229228973,0.18908189237117767,0.0935661569237709,0.05263657495379448,0.1113397553563118,0.1435057371854782,0.10256435722112656,0.1842072457075119
leaf,0.10962338000535965,0.13845908641815186,0.23417067527770996,0.09479780495166779,0.1586124449968338,0.07356268167495728,0.2227327525615692,0.14222481846809387,0.13678376376628876
is,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.3359788954257965,0.2127077877521515,0.3152560591697693,0.5394441485404968,0.14942079782485962,0.22961433231830597
featured,0.20330384373664856,0.20240908861160278,0.28660184144973755,0.14104698598384857,0.16344837844371796,0.16707895696163177,0.2658694386482239,0.16750550270080566,0.2944096624851227
on,0.34226128458976746,0.2568802833557129,0.5107308030128479,0.17627742886543274,0.25826847553253174,0.20877303183078766,0.46853652596473694,0.13294139504432678,0.2714994251728058
the,0.42745697498321533,0.35928019881248474,1.0,0.3171212375164032,0.22571885585784912,0.25977957248687744,0.6662389636039734,0.23213517665863037,0.22068053483963013
city,0.17493832111358643,0.10004369169473648,0.35769423842430115,0.22892655432224274,0.2780216634273529,0.14380130171775818,0.3911624252796173,0.20723602175712585,0.13423943519592285
's,0.02692362666130066,-0.02895052544772625,-0.01540423184633255,0.08507627248764038,0.032067470252513885,0.023306747898459435,-0.037580832839012146,0.03341219201683998,-0.023395681753754616
flag,0.22701291739940643,0.15800698101520538,0.27358174324035645,0.22896766662597656,0.11700502038002014,0.1316378265619278,0.2019302099943161,0.15932641923427582,0.1615789383649826
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.24737101793289185,0.2480216920375824,0.21881133317947388,0.5591574311256409,0.18907511234283447,0.4130953550338745
