,who,asserted,russia,'s,right,to,``,self-determination,?,''
bolshevik,0.25671499967575073,0.2000596821308136,0.5401116609573364,0.07532323151826859,0.16708727180957794,0.23694610595703125,0.10775039345026016,0.3055947422981262,0.15163575112819672,-0.031803667545318604
leaders,0.31705352663993835,0.19387437403202057,0.1900557279586792,0.010155499912798405,0.1548815816640854,0.25293630361557007,0.05010681226849556,0.2240365743637085,0.13927052915096283,0.03726577013731003
had,0.36173108220100403,0.29573363065719604,0.19054880738258362,-0.004401352722197771,0.20452749729156494,0.37984350323677063,0.0518546998500824,0.2067738175392151,0.20728366076946259,0.024004416540265083
effectively,0.2969565689563751,0.295564740896225,0.24848248064517975,0.032049354165792465,0.2347695529460907,0.3721640110015869,0.20897196233272552,0.28752484917640686,0.21523159742355347,0.011500705033540726
reestablished,0.24814192950725555,0.3884778916835785,0.19188536703586578,-0.033768147230148315,0.14244459569454193,0.17694348096847534,0.08664942532777786,0.32399460673332214,0.10556036978960037,-0.008849820122122765
a,0.36608949303627014,0.2529497444629669,0.18307989835739136,0.04866964742541313,0.2849915027618408,0.45503583550453186,0.07272057235240936,0.3621244430541992,0.23916715383529663,0.04890415817499161
polity,0.2101958692073822,0.3142165243625641,0.19160154461860657,0.02154114656150341,0.178412064909935,0.1843252331018448,0.07038494944572449,0.2909975051879883,0.23169586062431335,-0.007843783125281334
with,0.3282766342163086,0.18317529559135437,0.22580650448799133,-0.04624466598033905,0.19092322885990143,0.4239959120750427,0.08974023163318634,0.2878100872039795,0.2433311939239502,0.07907696813344955
roughly,0.22008536756038666,0.17552582919597626,0.12591107189655304,0.024296239018440247,0.15281343460083008,0.2705877423286438,0.10475781559944153,0.2250179797410965,0.09299357235431671,-0.019647616893053055
the,0.3733934462070465,0.27135229110717773,0.2746676802635193,-0.01540423184633255,0.33901116251945496,0.535392165184021,0.029072100296616554,0.39717426896095276,0.22068053483963013,0.041273195296525955
same,0.26448050141334534,0.24286969006061554,0.16022518277168274,0.0036877936217933893,0.27434879541397095,0.3205692768096924,0.15075379610061646,0.30948716402053833,0.22649677097797394,0.09593407064676285
