,who,was,the,creator,of,the,theme,for,the,50th,anniversary,special,?
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.24955110251903534,0.5052502155303955,0.5829201340675354,0.2278088480234146,0.44038116931915283,0.5829201340675354,0.12353889644145966,0.1787421703338623,0.31333932280540466,0.23916715383529663
revised,0.06605859845876694,0.25717079639434814,0.2513941526412964,0.08780546486377716,0.2270628809928894,0.2513941526412964,0.1534898728132248,0.17281793057918549,0.2513941526412964,0.06230999901890755,0.2306670993566513,0.14292976260185242,0.1835426688194275
version,0.17217524349689484,0.297456830739975,0.27268242835998535,0.2423044890165329,0.14166875183582306,0.27268242835998535,0.3038923144340515,0.19780562818050385,0.27268242835998535,0.097201406955719,0.19815655052661896,0.13404907286167145,0.2573966085910797
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.1888532191514969,1.0,0.733189046382904,0.17537155747413635,0.4185989499092102,0.733189046382904,0.11716882884502411,0.2393128126859665,0.27998968958854675,0.1826142966747284
gold,0.11612684279680252,0.24345459043979645,0.27136439085006714,0.06670747697353363,0.2101457566022873,0.27136439085006714,0.1178743913769722,0.2409525066614151,0.27136439085006714,0.12334956228733063,0.23148110508918762,0.1575116068124771,0.11542754620313644
's,0.05599616840481758,0.008974763564765453,-0.01540423184633255,0.05154954269528389,-0.03817026689648628,-0.01540423184633255,0.010491529479622841,-0.07241261005401611,-0.01540423184633255,0.13025708496570587,-0.008144883438944817,-0.03405539691448212,-0.023395681753754616
2010,0.30279624462127686,0.23825319111347198,0.31722962856292725,0.10620241612195969,0.26419875025749207,0.31722962856292725,0.0982886254787445,0.15196888148784637,0.31722962856292725,0.04091661795973778,0.1056802049279213,0.13148009777069092,0.21232788264751434
arrangement,0.12936225533485413,0.1925918459892273,0.290839284658432,0.14795108139514923,0.2767132818698883,0.290839284658432,0.30165839195251465,0.2337760627269745,0.290839284658432,0.04568452388048172,0.11108291894197464,0.23235660791397095,0.11038770526647568
had,0.36173108220100403,0.5927209258079529,0.3875846862792969,0.17228633165359497,0.37755560874938965,0.3875846862792969,0.2012919783592224,0.3270139992237091,0.3875846862792969,0.04797004535794258,0.25495320558547974,0.20414842665195465,0.20728366076946259
its,0.1326070874929428,0.3518870174884796,0.559237003326416,0.20602476596832275,0.48690423369407654,0.559237003326416,0.21176408231258392,0.2992613911628723,0.559237003326416,0.13157585263252258,0.22839702665805817,0.20760555565357208,0.15103481709957123
debut,0.09844397008419037,0.2954440414905548,0.2226441204547882,0.11114798486232758,0.12960465252399445,0.2226441204547882,0.2216336727142334,0.2246619164943695,0.2226441204547882,0.1642865091562271,0.28497228026390076,0.14761006832122803,0.10726679861545563
over,0.316001296043396,0.24486446380615234,0.39856547117233276,0.11126835644245148,0.36136594414711,0.39856547117233276,0.17115360498428345,0.3419422209262848,0.39856547117233276,0.06570059806108475,0.1746116429567337,0.2174544781446457,0.25742942094802856
the,0.3733934462070465,0.48711544275283813,1.0,0.20919115841388702,0.733189046382904,1.0,0.2470158040523529,0.4739971458911896,1.0,0.19595111906528473,0.29318708181381226,0.3027077615261078,0.22068053483963013
opening,0.12329958379268646,0.20817555487155914,0.37298497557640076,0.12608684599399567,0.2651100158691406,0.37298497557640076,0.32970982789993286,0.2649282217025757,0.37298497557640076,0.1346764713525772,0.29866328835487366,0.1736089289188385,0.16502447426319122
titles,0.19958418607711792,0.22242140769958496,0.28764477372169495,0.16508661210536957,0.24191442131996155,0.28764477372169495,0.19404102861881256,0.27974432706832886,0.28764477372169495,0.04686509817838669,0.1722879260778427,0.14560382068157196,0.19587254524230957
