,when,was,luther,'s,writings,about,the,jews,ignored,",",according,to,johannes,wallmann,?
johannes,0.1503874659538269,0.23570336401462555,0.31875139474868774,0.04966715723276138,0.23341257870197296,0.16970589756965637,0.14987294375896454,0.17724618315696716,0.09857840090990067,0.23842287063598633,0.11989939212799072,0.16922815144062042,1.0000001192092896,0.41415002942085266,0.11330793052911758
wallmann,0.18166562914848328,0.2539112865924835,0.3359564244747162,0.04636653885245323,0.21956664323806763,0.12336607277393341,0.26425957679748535,0.18279138207435608,0.14693161845207214,0.30287009477615356,0.19673965871334076,0.1790628284215927,0.41415002942085266,0.9999998807907104,0.15832190215587616
argues,0.1820296049118042,0.1418202519416809,0.16112452745437622,0.013028706423938274,0.36663976311683655,0.30154821276664734,0.22893615067005157,0.15441469848155975,0.3168239891529083,0.23710490763187408,0.33238518238067627,0.2515730559825897,0.09403704106807709,0.10602091252803802,0.20733967423439026
that,0.5860282182693481,0.33670201897621155,0.21746599674224854,0.04397977516055107,0.29084065556526184,0.4500710964202881,0.5473989248275757,0.27395346760749817,0.3943108320236206,0.4137537479400635,0.29146862030029297,0.5436353087425232,0.1908387690782547,0.163743793964386,0.32716336846351624
luther,0.14516782760620117,0.19185513257980347,1.0,-0.009990512393414974,0.32714858651161194,0.203048437833786,0.1759674996137619,0.24326977133750916,0.14001686871051788,0.23255878686904907,0.1085624098777771,0.18029534816741943,0.31875139474868774,0.3359564244747162,0.1732746809720993
's,-0.03368149697780609,0.008974763564765453,-0.009990512393414974,0.9999999403953552,0.029720310121774673,-0.020936643704771996,-0.01540423184633255,0.017030835151672363,-0.016741860657930374,-0.0016132977325469255,-0.0037221983075141907,0.03782717138528824,0.04966715723276138,0.04636653885245323,-0.023395681753754616
writings,0.18043038249015808,0.21465790271759033,0.32714858651161194,0.029720310121774673,1.0000001192092896,0.34160128235816956,0.21431727707386017,0.2706543505191803,0.20429456233978271,0.21987015008926392,0.2407778650522232,0.18383939564228058,0.23341257870197296,0.21956664323806763,0.1770159751176834
against,0.32684949040412903,0.22972732782363892,0.18804924190044403,-0.0006242102244868875,0.197017639875412,0.1949513703584671,0.3090755045413971,0.28023698925971985,0.20301075279712677,0.31168749928474426,0.16972097754478455,0.310872346162796,0.10484538227319717,0.11403200030326843,0.18095137178897858
the,0.5091903209686279,0.48711544275283813,0.1759674996137619,-0.01540423184633255,0.21431727707386017,0.37995871901512146,1.0,0.24901628494262695,0.23415721952915192,0.4933079481124878,0.3202974498271942,0.535392165184021,0.14987294375896454,0.26425957679748535,0.22068053483963013
jews,0.2035551369190216,0.1935933530330658,0.24326977133750916,0.017030835151672363,0.2706543505191803,0.20877037942409515,0.24901628494262695,1.0000001192092896,0.19055090844631195,0.27184903621673584,0.22571232914924622,0.22399327158927917,0.17724618315696716,0.18279138207435608,0.16730794310569763
were,0.29649975895881653,0.590133786201477,0.18652333319187164,0.007088581565767527,0.2879638373851776,0.29814305901527405,0.3906462490558624,0.30761516094207764,0.2938956320285797,0.36755475401878357,0.25184938311576843,0.31913647055625916,0.18914669752120972,0.1890724003314972,0.17890112102031708
largely,0.2664821743965149,0.307300329208374,0.08875765651464462,0.09165722876787186,0.2697322964668274,0.2221067249774933,0.34641584753990173,0.12574446201324463,0.2999553382396698,0.24212822318077087,0.24957482516765594,0.24348199367523193,0.12962979078292847,0.166309654712677,0.08185246586799622
ignored,0.38263678550720215,0.22753238677978516,0.14001686871051788,-0.016741860657930374,0.20429456233978271,0.20864732563495636,0.23415721952915192,0.19055090844631195,1.0,0.28713542222976685,0.2715584933757782,0.317067950963974,0.09857840090990067,0.14693161845207214,0.2698345482349396
in,0.4431333839893341,0.45514053106307983,0.20523880422115326,-0.037580832839012146,0.2301568239927292,0.39797019958496094,0.6662389636039734,0.2334136962890625,0.19315843284130096,0.5201468467712402,0.29259276390075684,0.45010748505592346,0.1588989645242691,0.21026714146137238,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.1759674996137619,-0.01540423184633255,0.21431727707386017,0.37995871901512146,1.0,0.24901628494262695,0.23415721952915192,0.4933079481124878,0.3202974498271942,0.535392165184021,0.14987294375896454,0.26425957679748535,0.22068053483963013
18th,0.1745137721300125,0.2556672692298889,0.15307140350341797,0.12255296856164932,0.1520087718963623,0.17058376967906952,0.2844390869140625,0.13043296337127686,0.08635194599628448,0.20852045714855194,0.182211771607399,0.19349952042102814,0.14551764726638794,0.16377641260623932,0.11879357695579529
and,0.4716290831565857,0.3740963041782379,0.20796556770801544,0.06895173341035843,0.2566024661064148,0.3875081241130829,0.5171257257461548,0.2555774748325348,0.28926509618759155,0.6633074283599854,0.30645591020584106,0.48971283435821533,0.17735277116298676,0.2987581193447113,0.20544172823429108
