,who,is,in,control,of,legislative,power,?
legislative,0.17747299373149872,0.19055356085300446,0.24765221774578094,0.18911632895469666,0.34083476662635803,1.0,0.29454687237739563,0.1654243916273117
power,0.25855374336242676,0.15234114229679108,0.16666220128536224,0.41215890645980835,0.25273123383522034,0.29454687237739563,1.0000001192092896,0.15304024517536163
is,0.24293622374534607,1.0,0.5394441485404968,0.17722277343273163,0.4854315221309662,0.19055356085300446,0.15234114229679108,0.22961433231830597
vested,0.25360822677612305,0.1674545407295227,0.18508097529411316,0.21395184099674225,0.32697826623916626,0.3834543824195862,0.2980123460292816,0.1897280216217041
in,0.2792111933231354,0.5394441485404968,1.0,0.24831421673297882,0.5696388483047485,0.24765221774578094,0.16666220128536224,0.20430970191955566
both,0.31663915514945984,0.31409940123558044,0.3960166871547699,0.24921482801437378,0.3565710783004761,0.20014657080173492,0.18986308574676514,0.19455738365650177
the,0.3733934462070465,0.5823672413825989,0.6662389636039734,0.32841500639915466,0.733189046382904,0.27501925826072693,0.2647338807582855,0.22068053483963013
government,0.27194860577583313,0.20343491435050964,0.3066793978214264,0.32472148537635803,0.3475167155265808,0.5228409767150879,0.3452511131763458,0.18851417303085327
and,0.41279885172843933,0.3859752118587494,0.4954058527946472,0.29790008068084717,0.5116966962814331,0.2681875228881836,0.27496716380119324,0.20544172823429108
the,0.3733934462070465,0.5823672413825989,0.6662389636039734,0.32841500639915466,0.733189046382904,0.27501925826072693,0.2647338807582855,0.22068053483963013
national,0.18105065822601318,0.23413582146167755,0.28915393352508545,0.15268485248088837,0.3314673602581024,0.27245646715164185,0.15710105001926422,0.15643028914928436
assembly,0.14239798486232758,0.20304200053215027,0.2425609529018402,0.15746919810771942,0.2946469783782959,0.6298572421073914,0.2767336368560791,0.1488889455795288
and,0.41279885172843933,0.3859752118587494,0.4954058527946472,0.29790008068084717,0.5116966962814331,0.2681875228881836,0.27496716380119324,0.20544172823429108
the,0.3733934462070465,0.5823672413825989,0.6662389636039734,0.32841500639915466,0.733189046382904,0.27501925826072693,0.2647338807582855,0.22068053483963013
senate,0.17230087518692017,0.11308292299509048,0.1815723329782486,0.15296830236911774,0.2684692442417145,0.5133209228515625,0.22076262533664703,0.18454359471797943
.,0.3541337847709656,0.4569662809371948,0.5591574311256409,0.24319837987422943,0.5352458953857422,0.25327762961387634,0.2141435295343399,0.4130953550338745
