,in,march,2007,",",the,mission,council,of,the,south,central,jurisdiction,approved,a,99-year,lease,on,how,many,acres,?
one,0.4129433035850525,0.21415314078330994,-0.20855121314525604,0.3696635365486145,0.5514441132545471,0.12490365654230118,0.16541215777397156,0.4999135136604309,0.5514441132545471,0.2376968264579773,0.18192924559116364,0.19110499322414398,0.23086148500442505,0.4910551905632019,0.19060012698173523,0.1958790421485901,0.3601475656032562,0.3213292360305786,0.4223630726337433,0.17714782059192657,0.2673267424106598
of,0.5696388483047485,0.20692677795886993,-0.21244128048419952,0.4946078956127167,0.733189046382904,0.20170781016349792,0.2972237169742584,1.0,0.733189046382904,0.33382371068000793,0.3415789008140564,0.2942456901073456,0.3106788992881775,0.5052502155303955,0.2155478298664093,0.22332684695720673,0.3966929316520691,0.2480744868516922,0.37253960967063904,0.17438827455043793,0.1826142966747284
the,0.6662389636039734,0.2680487632751465,-0.23657195270061493,0.4933079481124878,1.0,0.22673439979553223,0.2829204201698303,0.733189046382904,1.0,0.3129390776157379,0.3417201042175293,0.27412351965904236,0.30207422375679016,0.5829201340675354,0.25664210319519043,0.303044855594635,0.5107308030128479,0.33890387415885925,0.4335206151008606,0.1636062115430832,0.22068053483963013
most,0.41416558623313904,0.1339138001203537,-0.13878364861011505,0.3636029064655304,0.47635307908058167,0.1085030734539032,0.12559174001216888,0.4178851246833801,0.47635307908058167,0.24453285336494446,0.24005284905433655,0.1907547265291214,0.1987150013446808,0.3508910834789276,0.1646232157945633,0.1841123402118683,0.28303956985473633,0.311336874961853,0.6236066222190857,0.12938857078552246,0.2107497900724411
high,0.2652597725391388,0.12058673799037933,-0.08016102015972137,0.27938312292099,0.28034812211990356,0.19311608374118805,0.12757444381713867,0.2803038954734802,0.28034812211990356,0.1922948807477951,0.2748779356479645,0.15608319640159607,0.13252303004264832,0.22865821421146393,0.19799767434597015,0.11633118987083435,0.20843200385570526,0.16700881719589233,0.27441489696502686,0.14710994064807892,0.11137914657592773
profile,0.15021219849586487,0.16878385841846466,-0.15144972503185272,0.16374589502811432,0.18867962062358856,0.23011216521263123,0.12928858399391174,0.19411040842533112,0.18867962062358856,0.16089993715286255,0.0884421095252037,0.0987251028418541,0.136458620429039,0.17175793647766113,0.167374387383461,0.1125585064291954,0.16148532927036285,0.1650431603193283,0.16272293031215668,0.032893020659685135,0.13535112142562866
decisions,0.20928196609020233,0.1652459353208542,-0.21121938526630402,0.28079578280448914,0.30538004636764526,0.18078838288784027,0.3334622085094452,0.2881335914134979,0.30538004636764526,0.1101047471165657,0.13927334547042847,0.430793434381485,0.3768634796142578,0.221125528216362,0.18993671238422394,0.2508224546909332,0.2803441882133484,0.3485013246536255,0.2836754024028778,0.12342940270900726,0.29068708419799805
in,1.0,0.29730337858200073,-0.2201838344335556,0.5201468467712402,0.6662389636039734,0.2224319875240326,0.2689173221588135,0.5696388483047485,0.6662389636039734,0.33642083406448364,0.30844059586524963,0.2260914146900177,0.23346227407455444,0.539380669593811,0.26810845732688904,0.2501741349697113,0.46853652596473694,0.2601168751716614,0.41474202275276184,0.1980547159910202,0.20430970191955566
recent,0.2857761085033417,0.1580265611410141,-0.0966491848230362,0.26883119344711304,0.31046223640441895,0.1002102643251419,0.14223945140838623,0.2896444797515869,0.31046223640441895,0.1576940417289734,0.09093041718006134,0.16969579458236694,0.2597556710243225,0.2685950994491577,0.2574128210544586,0.20682293176651,0.26223310828208923,0.2783147990703583,0.38218390941619873,0.2026785910129547,0.2544887959957123
years,0.33554986119270325,0.2208782285451889,-0.2884511947631836,0.2589467465877533,0.2912273406982422,0.17443466186523438,0.11311693489551544,0.2904134690761566,0.2912273406982422,0.24083536863327026,0.15787138044834137,0.148119255900383,0.1987781822681427,0.23773819208145142,0.4125388264656067,0.2497626543045044,0.2152649462223053,0.21949264407157898,0.2731519937515259,0.2678851783275604,0.1914375126361847
by,0.370934396982193,0.20701591670513153,-0.14437821507453918,0.3680937886238098,0.4408751428127289,0.18301942944526672,0.18552932143211365,0.3646814823150635,0.4408751428127289,0.23838843405246735,0.14742699265480042,0.1644914448261261,0.297686904668808,0.32094135880470276,0.1593778133392334,0.23124344646930695,0.33887791633605957,0.34370526671409607,0.3409687578678131,0.1931656002998352,0.17966607213020325
one,0.4129433035850525,0.21415314078330994,-0.20855121314525604,0.3696635365486145,0.5514441132545471,0.12490365654230118,0.16541215777397156,0.4999135136604309,0.5514441132545471,0.2376968264579773,0.18192924559116364,0.19110499322414398,0.23086148500442505,0.4910551905632019,0.19060012698173523,0.1958790421485901,0.3601475656032562,0.3213292360305786,0.4223630726337433,0.17714782059192657,0.2673267424106598
of,0.5696388483047485,0.20692677795886993,-0.21244128048419952,0.4946078956127167,0.733189046382904,0.20170781016349792,0.2972237169742584,1.0,0.733189046382904,0.33382371068000793,0.3415789008140564,0.2942456901073456,0.3106788992881775,0.5052502155303955,0.2155478298664093,0.22332684695720673,0.3966929316520691,0.2480744868516922,0.37253960967063904,0.17438827455043793,0.1826142966747284
the,0.6662389636039734,0.2680487632751465,-0.23657195270061493,0.4933079481124878,1.0,0.22673439979553223,0.2829204201698303,0.733189046382904,1.0,0.3129390776157379,0.3417201042175293,0.27412351965904236,0.30207422375679016,0.5829201340675354,0.25664210319519043,0.303044855594635,0.5107308030128479,0.33890387415885925,0.4335206151008606,0.1636062115430832,0.22068053483963013
councils,0.23797710239887238,0.1378077119588852,-0.2156568467617035,0.26660585403442383,0.26719751954078674,0.21161113679409027,0.8176809549331665,0.2780994474887848,0.26719751954078674,0.2414751648902893,0.23159527778625488,0.3734058737754822,0.29593729972839355,0.17560912668704987,0.19290557503700256,0.2606477439403534,0.15347908437252045,0.15738171339035034,0.18754670023918152,0.17513000965118408,0.11664968729019165
