,what,sports,are,kenyans,active,in,?
kenya,0.18398970365524292,0.08091920614242554,0.1597108691930771,0.8028901815414429,0.1866055428981781,0.23621977865695953,0.17197901010513306
is,0.28837618231773376,0.2082153707742691,0.5330929756164551,0.1736961156129837,0.2193424552679062,0.5394441485404968,0.22961433231830597
active,0.2610722482204437,0.17395266890525818,0.3039647042751312,0.17880767583847046,0.9999998807907104,0.2698204517364502,0.20374006032943726
in,0.30808621644973755,0.27591386437416077,0.3841303884983063,0.23596632480621338,0.2698204517364502,1.0,0.20430970191955566
several,0.22446060180664062,0.16384446620941162,0.4241659343242645,0.17921312153339386,0.1999094933271408,0.39405709505081177,0.15595775842666626
sports,0.13245077431201935,0.9999999403953552,0.18766270577907562,0.09970150887966156,0.17395266890525818,0.27591386437416077,0.04557104781270027
",",0.3087472915649414,0.2693314254283905,0.4062570035457611,0.28845730423927307,0.2681531608104706,0.5201468467712402,0.31091248989105225
among,0.21154822409152985,0.1309451460838318,0.3811550438404083,0.22446942329406738,0.18716847896575928,0.3211768567562103,0.14343059062957764
them,0.4994642734527588,0.09451773017644882,0.5206625461578369,0.26907554268836975,0.2439812421798706,0.29119014739990234,0.35435691475868225
cricket,0.16916127502918243,0.2994207739830017,0.16455109417438507,0.1873672604560852,0.09634050726890564,0.18341192603111267,0.1368326097726822
",",0.3087472915649414,0.2693314254283905,0.4062570035457611,0.28845730423927307,0.2681531608104706,0.5201468467712402,0.31091248989105225
rallying,0.309919148683548,0.1973089873790741,0.2300179898738861,0.33215925097465515,0.281039297580719,0.25875717401504517,0.2258070707321167
",",0.3087472915649414,0.2693314254283905,0.4062570035457611,0.28845730423927307,0.2681531608104706,0.5201468467712402,0.31091248989105225
football,0.21136903762817383,0.4357759952545166,0.1503470242023468,0.13330288231372833,0.11143417656421661,0.2378888875246048,0.14957410097122192
",",0.3087472915649414,0.2693314254283905,0.4062570035457611,0.28845730423927307,0.2681531608104706,0.5201468467712402,0.31091248989105225
rugby,0.0819927230477333,0.29973718523979187,0.18278923630714417,0.18794098496437073,0.09399091452360153,0.15478554368019104,0.026534482836723328
union,0.1396910548210144,0.15316596627235413,0.15829040110111237,0.20029808580875397,0.09065748751163483,0.22726479172706604,0.07797172665596008
and,0.31309178471565247,0.2629663348197937,0.48576638102531433,0.27143463492393494,0.264642596244812,0.4954058527946472,0.20544172823429108
boxing,0.16478796303272247,0.3690527677536011,0.09506909549236298,0.1380448043346405,0.07269176840782166,0.20283207297325134,0.17429301142692566
.,0.3567904531955719,0.25474128127098083,0.3452940285205841,0.26101213693618774,0.2863844931125641,0.5591574311256409,0.4130953550338745
