,what,famous,musician,starred,in,stormy,monday,?
the,0.42745697498321533,0.28616565465927124,0.17450299859046936,0.23408472537994385,0.6662389636039734,0.312603622674942,0.2114151269197464,0.22068053483963013
city,0.17493832111358643,0.3016880750656128,0.17774777114391327,0.24058760702610016,0.3911624252796173,0.15520928800106049,0.15446831285953522,0.13423943519592285
was,0.22111038863658905,0.31606587767601013,0.26291027665138245,0.3234192728996277,0.45514053106307983,0.21961896121501923,0.20968683063983917,0.18412111699581146
also,0.42747777700424194,0.3400462567806244,0.2441941797733307,0.3222194015979767,0.5073733329772949,0.2629443407058716,0.2212068736553192,0.21848613023757935
backdrop,0.19565092027187347,0.28179535269737244,0.16234564781188965,0.3253364861011505,0.24516348540782928,0.2603505551815033,0.23701772093772888,0.0841207504272461
to,0.455847829580307,0.12665097415447235,0.13177159428596497,0.13719552755355835,0.45010748505592346,0.21572521328926086,0.2069530338048935,0.29463258385658264
another,0.4190070629119873,0.27599069476127625,0.16142138838768005,0.19359725713729858,0.3397690951824188,0.22782738506793976,0.1591777354478836,0.295511931180954
gangster,0.13458718359470367,0.23172785341739655,0.3646519184112549,0.4080323278903961,0.1788535863161087,0.21825067698955536,0.22597083449363708,0.1425585150718689
film,0.17437689006328583,0.12620267271995544,0.23346593976020813,0.4236467778682709,0.22183799743652344,0.19821640849113464,0.13312475383281708,0.16369038820266724
",",0.3087472915649414,0.2816491723060608,0.293464332818985,0.276096373796463,0.5201468467712402,0.2702588140964508,0.28260287642478943,0.31091248989105225
the,0.42745697498321533,0.28616565465927124,0.17450299859046936,0.23408472537994385,0.6662389636039734,0.312603622674942,0.2114151269197464,0.22068053483963013
1988,-0.09063374996185303,0.09449855238199234,0.23614156246185303,0.19686342775821686,0.004595467355102301,0.1088523417711258,0.05604281276464462,0.08449683338403702
film,0.17437689006328583,0.12620267271995544,0.23346593976020813,0.4236467778682709,0.22183799743652344,0.19821640849113464,0.13312475383281708,0.16369038820266724
noir,0.17230917513370514,0.2575206160545349,0.16152647137641907,0.34663599729537964,0.20762361586093903,0.21300354599952698,0.15173426270484924,0.15349328517913818
thriller,0.217681884765625,0.17511290311813354,0.24877196550369263,0.4786846339702606,0.23443497717380524,0.24364140629768372,0.19836242496967316,0.1622210144996643
stormy,0.22828085720539093,0.20916491746902466,0.2066587507724762,0.23725754022598267,0.2631542682647705,1.0,0.2241491675376892,0.1676838994026184
monday,0.2309933304786682,0.09859345108270645,0.12323091179132462,0.18537627160549164,0.20201818645000458,0.2241491675376892,1.0000001192092896,0.21348176896572113
",",0.3087472915649414,0.2816491723060608,0.293464332818985,0.276096373796463,0.5201468467712402,0.2702588140964508,0.28260287642478943,0.31091248989105225
directed,0.1783117949962616,0.1805388480424881,0.22678068280220032,0.5469212532043457,0.1949853003025055,0.16630785167217255,0.12019403278827667,0.1359327733516693
by,0.2455483376979828,0.24140264093875885,0.20768949389457703,0.16251704096794128,0.370934396982193,0.1943470984697342,0.11682796478271484,0.17966607213020325
mike,0.16820542514324188,0.16754314303398132,0.2757582664489746,0.20309147238731384,0.19172821938991547,0.10406611114740372,0.21239380538463593,0.1076895147562027
figgis,0.2725130021572113,0.24014690518379211,0.27236056327819824,0.34132859110832214,0.2867640554904938,0.2505757212638855,0.2642878592014313,0.34345677495002747
and,0.31309178471565247,0.2970265746116638,0.27702537178993225,0.2516911029815674,0.4954058527946472,0.3291032612323761,0.16313517093658447,0.20544172823429108
starring,0.1384143829345703,0.2353324145078659,0.2981855273246765,0.7629638910293579,0.213377445936203,0.2601346969604492,0.18813900649547577,0.13022364675998688
tommy,0.1221800372004509,0.1589435338973999,0.31510475277900696,0.30030718445777893,0.15381811559200287,0.17634637653827667,0.17784470319747925,0.12281157821416855
lee,0.19203267991542816,0.13709989190101624,0.2136409431695938,0.26900893449783325,0.19202838838100433,0.18772201240062714,0.10281479358673096,0.19113655388355255
jones,0.18502666056156158,0.19563491642475128,0.3433620035648346,0.2356472909450531,0.1750783771276474,0.1772482842206955,0.14487262070178986,0.1838836669921875
",",0.3087472915649414,0.2816491723060608,0.293464332818985,0.276096373796463,0.5201468467712402,0.2702588140964508,0.28260287642478943,0.31091248989105225
melanie,0.18410784006118774,0.12302426248788834,0.24797429144382477,0.2867586314678192,0.14927969872951508,0.1652866005897522,0.12279610335826874,0.11776889860630035
griffith,0.21665585041046143,0.1913275420665741,0.12570378184318542,0.340223491191864,0.2510964274406433,0.22208185493946075,0.20274557173252106,0.1313040554523468
",",0.3087472915649414,0.2816491723060608,0.293464332818985,0.276096373796463,0.5201468467712402,0.2702588140964508,0.28260287642478943,0.31091248989105225
sting,0.16967664659023285,0.17452920973300934,0.1799832284450531,0.20745877921581268,0.22779987752437592,0.2084907591342926,0.1403024047613144,0.17791864275932312
and,0.31309178471565247,0.2970265746116638,0.27702537178993225,0.2516911029815674,0.4954058527946472,0.3291032612323761,0.16313517093658447,0.20544172823429108
sean,0.17065782845020294,0.17378674447536469,0.32040250301361084,0.33166858553886414,0.10033636540174484,0.2260948270559311,0.19021393358707428,0.22225424647331238
bean,0.15427419543266296,0.15422996878623962,0.12215935438871384,0.23243838548660278,0.23846127092838287,0.17349117994308472,0.1803172379732132,0.2199403941631317
.,0.3567904531955719,0.2322506159543991,0.19476072490215302,0.21305470168590546,0.5591574311256409,0.28233709931373596,0.2392650842666626,0.4130953550338745
