,where,did,itv,tyne,tees,move,in,2005,?
in,0.5344807505607605,0.2593238651752472,0.2177819013595581,0.20370638370513916,0.22200043499469757,0.23030683398246765,1.0,0.009931974112987518,0.20430970191955566
2005,-0.02718956209719181,0.11135691404342651,0.00458567775785923,0.03612365946173668,-0.108798086643219,-0.07329394668340683,0.009931974112987518,1.0,0.10709824413061142
it,0.36972272396087646,0.2993364930152893,0.2016269713640213,0.18661470711231232,0.17544788122177124,0.26024189591407776,0.5130809545516968,-0.006699956487864256,0.25732165575027466
moved,0.39481642842292786,0.27509647607803345,0.16340507566928864,0.16059541702270508,0.15519829094409943,0.5574866533279419,0.3323737680912018,-0.011071179993450642,0.15112607181072235
to,0.47735077142715454,0.4452643394470215,0.17307810485363007,0.20691312849521637,0.18752332031726837,0.37858664989471436,0.45010748505592346,0.018235651776194572,0.29463258385658264
a,0.40997210144996643,0.2552328109741211,0.1814703792333603,0.14687809348106384,0.18888698518276215,0.2925316393375397,0.539380669593811,-0.044396962970495224,0.23916715383529663
new,0.26026442646980286,0.227974995970726,0.19902579486370087,0.23567329347133636,0.16683194041252136,0.16426461935043335,0.3758552670478821,0.06185975298285484,0.14782847464084625
facility,0.25094524025917053,0.12269388139247894,0.13495489954948425,0.17543572187423706,0.13473311066627502,0.21228726208209991,0.23319417238235474,-0.23910948634147644,0.12783357501029968
on,0.37630224227905273,0.2670976221561432,0.2597438395023346,0.2182735949754715,0.227995365858078,0.2874688506126404,0.46853652596473694,0.018048860132694244,0.2714994251728058
the,0.5003893971443176,0.34736719727516174,0.2226376235485077,0.23053501546382904,0.261704683303833,0.29817628860473633,0.6662389636039734,0.037273142486810684,0.22068053483963013
watermark,0.1754075288772583,0.11801294982433319,0.2648346424102783,0.28082534670829773,0.2508925795555115,0.13821753859519958,0.22434957325458527,-0.02120976336300373,0.21647995710372925
business,0.21156923472881317,0.24531014263629913,0.14105723798274994,0.14805293083190918,0.23408545553684235,0.1423470377922058,0.2298729121685028,-0.05434638634324074,0.1545659303665161
park,0.1767059862613678,0.12431816756725311,0.17653466761112213,0.17274925112724304,0.24194692075252533,0.11718694120645523,0.22758090496063232,-0.09533267468214035,0.13508929312229156
next,0.2822587192058563,0.22386232018470764,0.1960916817188263,0.05886863172054291,0.15539532899856567,0.18942520022392273,0.29307645559310913,0.07834798097610474,0.167460098862648
to,0.47735077142715454,0.4452643394470215,0.17307810485363007,0.20691312849521637,0.18752332031726837,0.37858664989471436,0.45010748505592346,0.018235651776194572,0.29463258385658264
the,0.5003893971443176,0.34736719727516174,0.2226376235485077,0.23053501546382904,0.261704683303833,0.29817628860473633,0.6662389636039734,0.037273142486810684,0.22068053483963013
metrocentre,0.32397523522377014,0.2171502262353897,0.25689855217933655,0.3166283667087555,0.24737638235092163,0.19825896620750427,0.3235016167163849,-0.028927944600582123,0.13450856506824493
in,0.5344807505607605,0.2593238651752472,0.2177819013595581,0.20370638370513916,0.22200043499469757,0.23030683398246765,1.0,0.009931974112987518,0.20430970191955566
gateshead,0.2095002382993698,0.12910497188568115,0.3065757155418396,0.597513735294342,0.4479970932006836,0.15794533491134644,0.26779675483703613,-0.009750950150191784,0.14773961901664734
.,0.41390106081962585,0.35288307070732117,0.2164604514837265,0.1918487399816513,0.2059207260608673,0.31650546193122864,0.5591574311256409,0.0678042471408844,0.4130953550338745
