,which,german,architect,was,asked,to,produce,a,design,for,the,museum,?
in,0.4840516746044159,0.21098364889621735,0.18696801364421844,0.45514053106307983,0.1718822419643402,0.45010748505592346,0.21160131692886353,0.539380669593811,0.21856798231601715,0.4322226941585541,0.6662389636039734,0.2407650351524353,0.20430970191955566
1855,0.19657523930072784,-0.0188582930713892,0.03677740693092346,0.02403612621128559,0.136939138174057,0.20724280178546906,0.10461056977510452,0.17964771389961243,0.10331019014120102,0.24718323349952698,0.09084628522396088,0.01163580734282732,0.34596240520477295
the,0.6521818041801453,0.256483793258667,0.13209693133831024,0.48711544275283813,0.25750473141670227,0.535392165184021,0.23457570374011993,0.5829201340675354,0.27913451194763184,0.4739971458911896,1.0,0.24861779808998108,0.22068053483963013
german,0.1845671534538269,1.0000001192092896,0.23919159173965454,0.26016926765441895,0.1436222940683365,0.15143753588199615,0.11506449431180954,0.23789440095424652,0.159176766872406,0.17564234137535095,0.256483793258667,0.08296483010053635,0.13978645205497742
architect,0.08868785202503204,0.23919159173965454,1.0000001192092896,0.27215251326560974,0.24497948586940765,0.16537004709243774,0.044430721551179886,0.15499725937843323,0.5258270502090454,0.13989229500293732,0.13209693133831024,0.2561790645122528,0.11996878683567047
gottfried,0.14269302785396576,0.48381760716438293,0.3411354720592499,0.32095226645469666,0.23070622980594635,0.13473376631736755,0.14516040682792664,0.14142021536827087,0.2252194732427597,0.12030496448278427,0.1801842749118805,0.20552365481853485,0.19522234797477722
semper,0.19683372974395752,0.25362908840179443,0.2715566158294678,0.20843909680843353,0.14695173501968384,0.10243219882249832,0.12928971648216248,0.2512495219707489,0.23225177824497223,0.1327465921640396,0.1777588129043579,0.1882084459066391,0.15722209215164185
",",0.3658004403114319,0.2478695809841156,0.21737651526927948,0.45456063747406006,0.2717181444168091,0.44245919585227966,0.19927625358104706,0.427140474319458,0.19350415468215942,0.4464869201183319,0.4933079481124878,0.20741747319698334,0.31091248989105225
at,0.3286694884300232,0.13090145587921143,0.15766645967960358,0.36707764863967896,0.2646079957485199,0.36524343490600586,0.15442807972431183,0.3095070421695709,0.24967995285987854,0.34237727522850037,0.457212895154953,0.23034606873989105,0.21978627145290375
the,0.6521818041801453,0.256483793258667,0.13209693133831024,0.48711544275283813,0.25750473141670227,0.535392165184021,0.23457570374011993,0.5829201340675354,0.27913451194763184,0.4739971458911896,1.0,0.24861779808998108,0.22068053483963013
request,0.24509967863559723,0.11598038673400879,0.173070028424263,0.2152252346277237,0.32807499170303345,0.3584270775318146,0.15264084935188293,0.2487754076719284,0.1338418424129486,0.24378444254398346,0.18777982890605927,0.14251112937927246,0.3439766466617584
