,what,does,private,ownership,create,a,situation,of,?
socialists,0.27393391728401184,0.1896321326494217,0.24979530274868011,0.2803434133529663,0.21766896545886993,0.16789919137954712,0.26243120431900024,0.22956755757331848,0.1783614307641983
attribute,0.32497695088386536,0.2748742401599884,0.10924523323774338,0.1999049335718155,0.3246401846408844,0.20865508913993835,0.2695491909980774,0.23041263222694397,0.3005339205265045
the,0.42745697498321533,0.35928019881248474,0.18291357159614563,0.261578768491745,0.25265660881996155,0.5829201340675354,0.29657405614852905,0.733189046382904,0.22068053483963013
vast,0.23471814393997192,0.21743057668209076,0.1527802050113678,0.3213624060153961,0.14075927436351776,0.1758710741996765,0.24044698476791382,0.28792089223861694,0.12112510949373245
disparities,0.36671045422554016,0.3125707507133484,0.30137893557548523,0.32026398181915283,0.2841476500034332,0.25679895281791687,0.4039310812950134,0.31611835956573486,0.24453845620155334
in,0.30808621644973755,0.214483380317688,0.21135757863521576,0.22562521696090698,0.21287982165813446,0.539380669593811,0.2606582045555115,0.5696388483047485,0.20430970191955566
wealth,0.2415573000907898,0.17655763030052185,0.3056280016899109,0.3493177592754364,0.16613920032978058,0.20101723074913025,0.25188302993774414,0.27235376834869385,0.1624586433172226
to,0.455847829580307,0.4391997456550598,0.18892748653888702,0.2847251296043396,0.41124165058135986,0.45503583550453186,0.3826505243778229,0.41548454761505127,0.29463258385658264
the,0.42745697498321533,0.35928019881248474,0.18291357159614563,0.261578768491745,0.25265660881996155,0.5829201340675354,0.29657405614852905,0.733189046382904,0.22068053483963013
private,0.16778090596199036,0.1316513568162918,1.0,0.3591911792755127,0.14424921572208405,0.20346391201019287,0.2612810432910919,0.18706899881362915,0.14389030635356903
ownership,0.2581227421760559,0.2074834108352661,0.3591911792755127,1.0,0.2137862741947174,0.2549401819705963,0.31863313913345337,0.2084505259990692,0.19719240069389343
of,0.33290785551071167,0.3119818866252899,0.18706899881362915,0.2084505259990692,0.23675619065761566,0.5052502155303955,0.22593308985233307,1.0,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.18291357159614563,0.261578768491745,0.25265660881996155,0.5829201340675354,0.29657405614852905,0.733189046382904,0.22068053483963013
means,0.2553325295448303,0.3901011645793915,0.12448137998580933,0.23323307931423187,0.2608790099620819,0.34418490529060364,0.2642885446548462,0.29942914843559265,0.21233566105365753
of,0.33290785551071167,0.3119818866252899,0.18706899881362915,0.2084505259990692,0.23675619065761566,0.5052502155303955,0.22593308985233307,1.0,0.1826142966747284
production,0.16636081039905548,0.17332269251346588,0.1140625923871994,0.26412808895111084,0.2676176130771637,0.19671310484409332,0.18369950354099274,0.1928233802318573,0.19318072497844696
by,0.2455483376979828,0.143477201461792,0.18554414808750153,0.2687806189060211,0.23152023553848267,0.32094135880470276,0.20389829576015472,0.3646814823150635,0.17966607213020325
a,0.3320399522781372,0.38201746344566345,0.20346391201019287,0.2549401819705963,0.3041161596775055,1.0,0.2909733057022095,0.5052502155303955,0.23916715383529663
class,0.16880196332931519,0.11460405588150024,0.30408456921577454,0.2389664351940155,0.1593581736087799,0.23462694883346558,0.13163354992866516,0.19740594923496246,0.12778934836387634
of,0.33290785551071167,0.3119818866252899,0.18706899881362915,0.2084505259990692,0.23675619065761566,0.5052502155303955,0.22593308985233307,1.0,0.1826142966747284
owners,0.20311963558197021,0.17235660552978516,0.32341912388801575,0.7164179682731628,0.20017683506011963,0.2256283015012741,0.22399167716503143,0.18325543403625488,0.15586642920970917
",",0.3087472915649414,0.28617382049560547,0.1899166703224182,0.21889959275722504,0.2240353375673294,0.427140474319458,0.20005939900875092,0.4946078956127167,0.31091248989105225
creating,0.28780505061149597,0.2985861301422119,0.10299403965473175,0.23403407633304596,0.6927985548973083,0.3242962658405304,0.2805812954902649,0.29262492060661316,0.2842518985271454
a,0.3320399522781372,0.38201746344566345,0.20346391201019287,0.2549401819705963,0.3041161596775055,1.0,0.2909733057022095,0.5052502155303955,0.23916715383529663
situation,0.4481324255466461,0.3203280568122864,0.2612810432910919,0.31863313913345337,0.29379069805145264,0.2909733057022095,1.0000001192092896,0.22593308985233307,0.2714049518108368
where,0.4457937180995941,0.2965966761112213,0.2538891136646271,0.1602199226617813,0.3168865144252777,0.40997210144996643,0.3441911041736603,0.38066378235816956,0.24793872237205505
a,0.3320399522781372,0.38201746344566345,0.20346391201019287,0.2549401819705963,0.3041161596775055,1.0,0.2909733057022095,0.5052502155303955,0.23916715383529663
small,0.2504110634326935,0.21227838099002838,0.21875159442424774,0.17964094877243042,0.19999709725379944,0.41262131929397583,0.15926013886928558,0.353353351354599,0.13914890587329865
portion,0.287394255399704,0.251403272151947,0.15773147344589233,0.227743998169899,0.2145262360572815,0.3207106590270996,0.23797890543937683,0.31845465302467346,0.11719609797000885
of,0.33290785551071167,0.3119818866252899,0.18706899881362915,0.2084505259990692,0.23675619065761566,0.5052502155303955,0.22593308985233307,1.0,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.18291357159614563,0.261578768491745,0.25265660881996155,0.5829201340675354,0.29657405614852905,0.733189046382904,0.22068053483963013
population,0.2000674307346344,0.14702445268630981,0.1066690981388092,0.158341184258461,0.03700750693678856,0.2345738559961319,0.2241002768278122,0.3060894012451172,0.14449454843997955
lives,0.19772474467754364,0.23464679718017578,0.21873115003108978,0.13209879398345947,0.13159656524658203,0.19424182176589966,0.29223722219467163,0.28370368480682373,0.15810374915599823
off,0.2350364625453949,0.18683460354804993,0.17452308535575867,0.2647548317909241,0.2102634608745575,0.2788178026676178,0.20136860013008118,0.20023372769355774,0.12937544286251068
unearned,0.2546524405479431,0.22308777272701263,0.26601335406303406,0.25463658571243286,0.11566293239593506,0.27164095640182495,0.24727372825145721,0.3047594726085663,0.2534394860267639
property,0.24978817999362946,0.20449848473072052,0.3199664056301117,0.502207338809967,0.20354071259498596,0.237611323595047,0.20713724195957184,0.2299845814704895,0.16865147650241852
income,0.21837803721427917,0.18851257860660553,0.26246440410614014,0.2958047688007355,0.1441674530506134,0.2084353119134903,0.21289508044719696,0.2581324577331543,0.14935168623924255
by,0.2455483376979828,0.143477201461792,0.18554414808750153,0.2687806189060211,0.23152023553848267,0.32094135880470276,0.20389829576015472,0.3646814823150635,0.17966607213020325
virtue,0.21740642189979553,0.17784014344215393,0.20627941191196442,0.22908537089824677,0.13352486491203308,0.21222446858882904,0.2748192548751831,0.24391582608222961,0.1632612943649292
of,0.33290785551071167,0.3119818866252899,0.18706899881362915,0.2084505259990692,0.23675619065761566,0.5052502155303955,0.22593308985233307,1.0,0.1826142966747284
ownership,0.2581227421760559,0.2074834108352661,0.3591911792755127,1.0,0.2137862741947174,0.2549401819705963,0.31863313913345337,0.2084505259990692,0.19719240069389343
titles,0.1285797506570816,0.17797034978866577,0.08387719094753265,0.263846755027771,0.21824680268764496,0.2029639631509781,0.13554005324840546,0.24191442131996155,0.19587254524230957
in,0.30808621644973755,0.214483380317688,0.21135757863521576,0.22562521696090698,0.21287982165813446,0.539380669593811,0.2606582045555115,0.5696388483047485,0.20430970191955566
capital,0.17967931926250458,0.08225840330123901,0.1774829477071762,0.13992585241794586,0.09668494015932083,0.16007359325885773,0.18896488845348358,0.30823585391044617,0.0907452180981636
equipment,0.21531300246715546,0.18076495826244354,0.22228574752807617,0.243477001786232,0.18780024349689484,0.23026658594608307,0.20489026606082916,0.18924570083618164,0.0920877456665039
",",0.3087472915649414,0.28617382049560547,0.1899166703224182,0.21889959275722504,0.2240353375673294,0.427140474319458,0.20005939900875092,0.4946078956127167,0.31091248989105225
financial,0.1900392472743988,0.18370962142944336,0.26591238379478455,0.33049747347831726,0.16775886714458466,0.2513774335384369,0.3561498522758484,0.30178552865982056,0.06444920599460602
assets,0.2038845717906952,0.22454270720481873,0.3529162108898163,0.4902898073196411,0.19225281476974487,0.1838044673204422,0.2878393530845642,0.19511719048023224,0.1990663707256317
and,0.31309178471565247,0.3461615741252899,0.2557651102542877,0.246654212474823,0.290901243686676,0.3739250600337982,0.25539255142211914,0.5116966962814331,0.20544172823429108
corporate,0.17591306567192078,0.1716531366109848,0.33032503724098206,0.3413216769695282,0.20906254649162292,0.20887060463428497,0.17236201465129852,0.19015520811080933,0.17430047690868378
stock,0.13911938667297363,0.17197497189044952,0.23317651450634003,0.2927570343017578,0.1406530886888504,0.25261884927749634,0.09748611599206924,0.20828957855701447,0.14784406125545502
.,0.3567904531955719,0.3022993505001068,0.2534593939781189,0.20808322727680206,0.2916513681411743,0.50484299659729,0.23848983645439148,0.5352458953857422,0.4130953550338745
