,what,are,the,two,processing,facilities,in,the,neighborhood,?
there,0.35085538029670715,0.5433560013771057,0.47025805711746216,0.40416133403778076,0.2545122802257538,0.24918781220912933,0.5361666083335876,0.47025805711746216,0.15984123945236206,0.29405656456947327
have,0.39808809757232666,0.6577680706977844,0.40389683842658997,0.4498785734176636,0.2162257730960846,0.24476678669452667,0.36843645572662354,0.40389683842658997,0.1954881250858307,0.32991164922714233
been,0.2567804455757141,0.4703826308250427,0.3563927710056305,0.3638966381549835,0.24965155124664307,0.23436816036701202,0.3515113592147827,0.3563927710056305,0.13811126351356506,0.24354910850524902
numerous,0.1867249608039856,0.4010654389858246,0.3353725075721741,0.4120796024799347,0.18284013867378235,0.2421405017375946,0.30740252137184143,0.3353725075721741,0.14891894161701202,0.0875130444765091
attempts,0.192328080534935,0.11473678797483444,0.27231332659721375,0.19133532047271729,0.23237022757530212,0.19174546003341675,0.17033050954341888,0.27231332659721375,0.0662217065691948,0.09428907185792923
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.3343428373336792,0.2700663208961487,0.25067898631095886,0.45010748505592346,0.535392165184021,0.20300643146038055,0.29463258385658264
revitalize,0.19532962143421173,0.1323157697916031,0.24224510788917542,0.1897839903831482,0.15978986024856567,0.16393627226352692,0.25973957777023315,0.24224510788917542,0.28558483719825745,0.20856554806232452
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.246895894408226,0.19172798097133636,0.6662389636039734,1.0,0.20152483880519867,0.22068053483963013
neighborhood,0.12062139064073563,0.14939361810684204,0.20152483880519867,0.14280834794044495,0.06494145095348358,0.30338630080223083,0.20924240350723267,0.20152483880519867,1.0000001192092896,0.048473283648490906
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.35859420895576477,0.26799485087394714,0.21444764733314514,0.5201468467712402,0.4933079481124878,0.21194669604301453,0.31091248989105225
including,0.18328791856765747,0.45025435090065,0.3738902807235718,0.402707040309906,0.2563909590244293,0.3064457178115845,0.35857823491096497,0.3738902807235718,0.12002871930599213,0.1633303165435791
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.246895894408226,0.19172798097133636,0.6662389636039734,1.0,0.20152483880519867,0.22068053483963013
construction,0.20329850912094116,0.18089833855628967,0.2671978175640106,0.1669423133134842,0.3825308382511139,0.34640803933143616,0.3031303882598877,0.2671978175640106,0.20735934376716614,0.13494056463241577
