,who,other,than,tesla,did,westinghouse,consider,for,the,patents,?
westinghouse,0.23585543036460876,0.22306272387504578,0.14949895441532135,0.35764777660369873,0.1608617752790451,0.9999999403953552,0.1392083317041397,0.25690075755119324,0.3101098835468292,0.39605584740638733,0.17307911813259125
looked,0.3255060017108917,0.3313503563404083,0.2798416018486023,0.12454923242330551,0.42145395278930664,0.11653554439544678,0.2720125913619995,0.2522982060909271,0.2986898124217987,0.16921119391918182,0.2506680488586426
into,0.16956904530525208,0.25933539867401123,0.19508914649486542,0.13143925368785858,0.14888085424900055,0.15075145661830902,0.2315177172422409,0.231735959649086,0.39493247866630554,0.16815081238746643,0.15662476420402527
getting,0.3006364703178406,0.3525523841381073,0.39287373423576355,0.10189776867628098,0.2899051010608673,0.12488067150115967,0.256619930267334,0.34310558438301086,0.2930673360824585,0.1248350739479065,0.28468504548072815
a,0.36608949303627014,0.2806335389614105,0.3126874566078186,0.2211925983428955,0.2552328109741211,0.25513118505477905,0.308129221200943,0.44038116931915283,0.5829201340675354,0.2283138483762741,0.23916715383529663
patent,0.21797259151935577,0.17152690887451172,0.11344396322965622,0.3651154637336731,0.17086273431777954,0.3248586356639862,0.12205617129802704,0.23913012444972992,0.1728275567293167,0.8816136121749878,0.13298413157463074
on,0.2340552806854248,0.3410046398639679,0.2864885926246643,0.16159376502037048,0.2670976221561432,0.23386307060718536,0.23537926375865936,0.36199691891670227,0.5107308030128479,0.20074613392353058,0.2714994251728058
a,0.36608949303627014,0.2806335389614105,0.3126874566078186,0.2211925983428955,0.2552328109741211,0.25513118505477905,0.308129221200943,0.44038116931915283,0.5829201340675354,0.2283138483762741,0.23916715383529663
similar,0.20777717232704163,0.45383909344673157,0.3455866575241089,0.14830854535102844,0.29411372542381287,0.2018531709909439,0.28073650598526,0.2594558596611023,0.2963123023509979,0.1948135942220688,0.23309361934661865
commutator-less,0.2460746020078659,0.2739221453666687,0.29427656531333923,0.2506052553653717,0.15268979966640472,0.21751172840595245,0.26683932542800903,0.22626841068267822,0.2400650829076767,0.17970627546310425,0.1853102594614029
",",0.3365725874900818,0.4446498453617096,0.3371901512145996,0.20599327981472015,0.3015086054801941,0.277236670255661,0.30831751227378845,0.4464869201183319,0.4933079481124878,0.22191748023033142,0.31091248989105225
rotating,0.143266960978508,0.2149585336446762,0.2335779219865799,0.27317681908607483,0.12492615729570389,0.21519841253757477,0.15634146332740784,0.21533049643039703,0.2603665590286255,0.3138304054737091,0.08289054036140442
magnetic,0.0936945229768753,0.19205711781978607,0.17344272136688232,0.3901122510433197,0.14488396048545837,0.2930092215538025,0.1947774738073349,0.21505120396614075,0.18611927330493927,0.2620852291584015,0.10858146101236343
