,where,did,the,panthers,practice,for,the,super,bowl,?
the,0.5003893971443176,0.34736719727516174,1.0,0.2602776288986206,0.27333036065101624,0.4739971458911896,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
panthers,0.1572883576154709,0.189295694231987,0.2602776288986206,0.9999999403953552,0.18023143708705902,0.25358447432518005,0.2602776288986206,0.27118441462516785,0.34713199734687805,0.16608978807926178
used,0.31140151619911194,0.30443844199180603,0.3718377649784088,0.11825588345527649,0.32384344935417175,0.4236139953136444,0.3718377649784088,0.18133796751499176,0.19533489644527435,0.22430120408535004
the,0.5003893971443176,0.34736719727516174,1.0,0.2602776288986206,0.27333036065101624,0.4739971458911896,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
san,0.23934276401996613,0.1785750538110733,0.2858080565929413,0.2766169309616089,0.0973610207438469,0.21004900336265564,0.2858080565929413,0.15279507637023926,0.18508543074131012,0.10952327400445938
jose,0.1550377458333969,0.15362997353076935,0.19788163900375366,0.3475921154022217,0.07145044952630997,0.17781013250350952,0.19788163900375366,0.14319683611392975,0.1370301991701126,0.06250977516174316
state,0.2583591639995575,0.152080237865448,0.3097178041934967,0.21158847212791443,0.1713540256023407,0.19460363686084747,0.3097178041934967,0.1193372905254364,0.16763876378536224,0.1160883978009224
practice,0.25136226415634155,0.256716251373291,0.27333036065101624,0.18023143708705902,1.0000001192092896,0.3276185989379883,0.27333036065101624,0.168790802359581,0.10187067836523056,0.21386858820915222
facility,0.25094524025917053,0.12269388139247894,0.19252020120620728,0.1516900211572647,0.2047412395477295,0.2808893620967865,0.19252020120620728,0.13864848017692566,0.09059255570173264,0.12783357501029968
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.2230100929737091,0.2791718542575836,0.5064792633056641,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.20544172823429108
stayed,0.3112199306488037,0.42530572414398193,0.3768083155155182,0.17210689187049866,0.16857481002807617,0.28956151008605957,0.3768083155155182,0.11240817606449127,0.09769733995199203,0.06590735167264938
at,0.4402937591075897,0.28390252590179443,0.457212895154953,0.21283596754074097,0.17058232426643372,0.34237727522850037,0.457212895154953,0.11449114978313446,0.2709662914276123,0.21978627145290375
the,0.5003893971443176,0.34736719727516174,1.0,0.2602776288986206,0.27333036065101624,0.4739971458911896,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
san,0.23934276401996613,0.1785750538110733,0.2858080565929413,0.2766169309616089,0.0973610207438469,0.21004900336265564,0.2858080565929413,0.15279507637023926,0.18508543074131012,0.10952327400445938
jose,0.1550377458333969,0.15362997353076935,0.19788163900375366,0.3475921154022217,0.07145044952630997,0.17781013250350952,0.19788163900375366,0.14319683611392975,0.1370301991701126,0.06250977516174316
marriott,0.17189815640449524,0.17210820317268372,0.2137458175420761,0.2338441163301468,0.18456484377384186,0.14851361513137817,0.2137458175420761,0.14434106647968292,0.15091544389724731,0.16338540613651276
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.23446570336818695,0.2513175904750824,0.4726039469242096,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.4130953550338745
