,what,does,oxidative,phosphorylation,do,?
this,0.5489566326141357,0.4166489243507385,0.2565288245677948,0.3101246953010559,0.34963881969451904,0.3155723512172699
is,0.28837618231773376,0.4403602182865143,0.22666925191879272,0.3029656410217285,0.30895981192588806,0.22961433231830597
not,0.5449194312095642,0.6355478763580322,0.2041783630847931,0.3536793291568756,0.6619802713394165,0.41942933201789856
a,0.3320399522781372,0.38201746344566345,0.18754437565803528,0.2962454855442047,0.26237669587135315,0.23916715383529663
valid,0.30313223600387573,0.31341153383255005,0.22250942885875702,0.2247011661529541,0.3101885914802551,0.27800852060317993
comparison—the,0.31380191445350647,0.2331729382276535,0.24239124357700348,0.34414738416671753,0.2462131232023239,0.2583230435848236
inner,0.226011261343956,0.15658505260944366,0.15120898187160492,0.2876773178577423,0.16323940455913544,0.10395674407482147
mitochondria,0.26347023248672485,0.26638317108154297,0.3596901297569275,0.5508406758308411,0.3216342031955719,0.20248937606811523
membrane,0.1647152304649353,0.23522153496742249,0.42451122403144836,0.5507186651229858,0.2031068652868271,0.18908235430717468
is,0.28837618231773376,0.4403602182865143,0.22666925191879272,0.3029656410217285,0.30895981192588806,0.22961433231830597
used,0.27546408772468567,0.3498048484325409,0.28699791431427,0.339406818151474,0.3054939806461334,0.22430120408535004
to,0.455847829580307,0.4391997456550598,0.1776769459247589,0.25234678387641907,0.38876664638519287,0.29463258385658264
run,0.2294815480709076,0.22891679406166077,0.10544832050800323,0.15023693442344666,0.3095013499259949,0.17904110252857208
proton,0.16833613812923431,0.21461854875087738,0.4940608739852905,0.4756785035133362,0.15797756612300873,0.09540460258722305
pumps,0.1776767075061798,0.2576867640018463,0.3187944293022156,0.4502943754196167,0.23086240887641907,0.17318885028362274
and,0.31309178471565247,0.3461615741252899,0.12383092939853668,0.2755458652973175,0.276123583316803,0.20544172823429108
carry,0.22239743173122406,0.17188382148742676,0.16684795916080475,0.26717236638069153,0.3395760953426361,0.17171701788902283
out,0.3633197546005249,0.24808503687381744,0.16096892952919006,0.26754412055015564,0.30558764934539795,0.22020699083805084
oxidative,0.21494156122207642,0.23882338404655457,1.0,0.6766431331634521,0.24154722690582275,0.1729019284248352
phosphorylation,0.25527045130729675,0.3249119222164154,0.6766431331634521,1.0,0.30491316318511963,0.21997706592082977
across,0.24809791147708893,0.17146113514900208,0.11397464573383331,0.17340093851089478,0.10507063567638397,0.17034576833248138
to,0.455847829580307,0.4391997456550598,0.1776769459247589,0.25234678387641907,0.38876664638519287,0.29463258385658264
generate,0.26186254620552063,0.281585693359375,0.30511000752449036,0.4112263321876526,0.31660905480384827,0.28300654888153076
atp,0.1845729500055313,0.14583121240139008,0.3960166871547699,0.49696996808052063,0.18263812363147736,0.17643076181411743
energy,0.190252885222435,0.23927782475948334,0.3447185456752777,0.5047279000282288,0.21968168020248413,0.14860127866268158
.,0.3567904531955719,0.3022993505001068,0.19549500942230225,0.30983564257621765,0.3613996207714081,0.4130953550338745
