,oxygen,exists,in,the,atmosphere,by,way,of,what,?
oxygen,0.9999999403953552,0.1889321208000183,0.1672476977109909,0.20428593456745148,0.48839667439460754,0.1292176991701126,0.2563358545303345,0.16848602890968323,0.16781960427761078,0.16786395013332367
is,0.21825239062309265,0.37246593832969666,0.5394441485404968,0.5823672413825989,0.1850086748600006,0.3899846076965332,0.31685471534729004,0.4854315221309662,0.28837618231773376,0.22961433231830597
present,0.1954377293586731,0.23072952032089233,0.23905439674854279,0.2829846143722534,0.11919814348220825,0.15190309286117554,0.16936086118221283,0.3116828501224518,0.30940163135528564,0.21759982407093048
in,0.1672476977109909,0.2509026825428009,1.0,0.6662389636039734,0.20898397266864777,0.370934396982193,0.30444321036338806,0.5696388483047485,0.30808621644973755,0.20430970191955566
the,0.20428593456745148,0.29877129197120667,0.6662389636039734,1.0,0.24429655075073242,0.4408751428127289,0.36217406392097473,0.733189046382904,0.42745697498321533,0.22068053483963013
atmosphere,0.48839667439460754,0.18359316885471344,0.20898397266864777,0.24429655075073242,1.0,0.1558297872543335,0.2523486018180847,0.1981431096792221,0.2530241310596466,0.15636961162090302
in,0.1672476977109909,0.2509026825428009,1.0,0.6662389636039734,0.20898397266864777,0.370934396982193,0.30444321036338806,0.5696388483047485,0.30808621644973755,0.20430970191955566
trace,0.2631644606590271,0.2715400755405426,0.16592667996883392,0.2563123106956482,0.21405887603759766,0.21550589799880981,0.23286172747612,0.2614986300468445,0.2132062166929245,0.15792298316955566
quantities,0.30358952283859253,0.24488988518714905,0.22513185441493988,0.2321729063987732,0.34473535418510437,0.26429417729377747,0.32421422004699707,0.29088422656059265,0.22645783424377441,0.18230070173740387
in,0.1672476977109909,0.2509026825428009,1.0,0.6662389636039734,0.20898397266864777,0.370934396982193,0.30444321036338806,0.5696388483047485,0.30808621644973755,0.20430970191955566
the,0.20428593456745148,0.29877129197120667,0.6662389636039734,1.0,0.24429655075073242,0.4408751428127289,0.36217406392097473,0.733189046382904,0.42745697498321533,0.22068053483963013
form,0.22106200456619263,0.33591893315315247,0.2815987169742584,0.29286009073257446,0.1448398381471634,0.20338405668735504,0.31502199172973633,0.29600051045417786,0.15868011116981506,0.1463010311126709
of,0.16848602890968323,0.2298482358455658,0.5696388483047485,0.733189046382904,0.1981431096792221,0.3646814823150635,0.266871839761734,1.0,0.33290785551071167,0.1826142966747284
carbon,0.6396464109420776,0.1834973692893982,0.1857566386461258,0.23183570802211761,0.47969678044319153,0.14195193350315094,0.2938517928123474,0.22596238553524017,0.22238978743553162,0.19040444493293762
dioxide,0.6974000334739685,0.1808173507452011,0.16380831599235535,0.21460992097854614,0.533619225025177,0.1844359040260315,0.2464081048965454,0.19224253296852112,0.2206297367811203,0.19322559237480164
(,0.189798504114151,0.2644696831703186,0.3087427020072937,0.33289089798927307,0.15048934519290924,0.20696312189102173,0.19188208878040314,0.35032153129577637,0.2411840260028839,0.40561532974243164
co,0.18465393781661987,0.10436943173408508,0.14873084425926208,0.19341111183166504,0.2381647378206253,0.2048637568950653,0.12318665534257889,0.1610306054353714,0.1456490308046341,0.1823645681142807
2,0.04063820466399193,0.008748921565711498,0.01447046548128128,-0.019434669986367226,-0.024640195071697235,-0.038811419159173965,-0.0650026723742485,-0.013777675107121468,-0.049862053245306015,0.001977203879505396
),0.19541971385478973,0.2695259153842926,0.3326910734176636,0.3456730246543884,0.14808179438114166,0.2151763141155243,0.21187807619571686,0.3680361211299896,0.26259949803352356,0.42300865054130554
.,0.2554275095462799,0.29429712891578674,0.5591574311256409,0.5934505462646484,0.202870711684227,0.3936232924461365,0.33520638942718506,0.5352458953857422,0.3567904531955719,0.4130953550338745
