,what,type,of,jihad,does,ht,avoid,engaging,in,?
ht,0.15722720324993134,0.18251042068004608,0.13599449396133423,0.16715680062770844,0.17249701917171478,1.0,0.11551661044359207,0.08487571775913239,0.11868356168270111,0.28602924942970276
does,0.38564667105674744,0.20720529556274414,0.3119818866252899,0.16942839324474335,1.0,0.17249701917171478,0.274709552526474,0.29697185754776,0.214483380317688,0.338003009557724
not,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.2315247654914856,0.6355478763580322,0.17373675107955933,0.41114541888237,0.32695451378822327,0.3403114080429077,0.41942933201789856
engage,0.22919274866580963,0.13878434896469116,0.16617678105831146,0.2159804105758667,0.23212680220603943,0.044067274779081345,0.2946586310863495,0.7710135579109192,0.1813567876815796,0.1593245565891266
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.15748675167560577,0.214483380317688,0.11868356168270111,0.2092532515525818,0.19000180065631866,1.0,0.20430970191955566
armed,0.15827620029449463,0.10748858749866486,0.24764959514141083,0.3822735846042633,0.10074612498283386,0.16515161097049713,0.21044953167438507,0.3054683208465576,0.2077496349811554,0.18816959857940674
jihad,0.24871385097503662,0.13891297578811646,0.193709596991539,1.0,0.16942839324474335,0.16715680062770844,0.2427591234445572,0.30525052547454834,0.15748675167560577,0.21031080186367035
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.2503271698951721,0.4248845875263214,0.23737215995788574,0.39708808064460754,0.31218019127845764,0.3586423695087433,0.32389625906944275
work,0.3762225806713104,0.2277381420135498,0.23473061621189117,0.12101888656616211,0.2975199520587921,0.10437973588705063,0.17866848409175873,0.2978304326534271,0.2753349542617798,0.2621155381202698
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.16139443218708038,0.35159170627593994,0.16985204815864563,0.3205823600292206,0.3060130774974823,0.4322226941585541,0.264628142118454
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.24443314969539642,0.38201746344566345,0.16875308752059937,0.2583659291267395,0.25711414217948914,0.539380669593811,0.23916715383529663
democratic,0.1858556717634201,0.0537315309047699,0.2273487150669098,0.2534146010875702,0.1422075480222702,0.17458109557628632,0.11250194907188416,0.14497010409832,0.206755131483078,0.1668088138103485
system,0.23557309806346893,0.24706636369228363,0.25597915053367615,0.16430239379405975,0.2021704614162445,0.17576271295547485,0.2245924472808838,0.15868541598320007,0.21978288888931274,0.15556083619594574
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.168894961476326,0.28617382049560547,0.17012560367584229,0.22226782143115997,0.22989511489868164,0.5201468467712402,0.31091248989105225
but,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.19660267233848572,0.4353378415107727,0.09189574420452118,0.3428083658218384,0.34849658608436584,0.48674455285072327,0.27921953797340393
works,0.2418437898159027,0.18025314807891846,0.1964656114578247,0.07111331820487976,0.3256840407848358,0.07164978981018066,0.10178074240684509,0.24458524584770203,0.2656683027744293,0.19597402215003967
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.17378291487693787,0.4391997456550598,0.1455899029970169,0.33193957805633545,0.27312755584716797,0.45010748505592346,0.29463258385658264
take,0.3275112509727478,0.1395569145679474,0.29282352328300476,0.186211958527565,0.2695361375808716,0.11344964057207108,0.30624255537986755,0.250654011964798,0.21975718438625336,0.21897350251674652
power,0.22216427326202393,0.09106644988059998,0.25273123383522034,0.2497658133506775,0.18690091371536255,0.07793659716844559,0.12197798490524292,0.14258570969104767,0.16666220128536224,0.15304024517536163
through,0.23167094588279724,0.1296497881412506,0.3647414743900299,0.13907919824123383,0.21495459973812103,0.18459828197956085,0.22691476345062256,0.19100818037986755,0.38533157110214233,0.16913433372974396
