,how,much,of,the,gdp,was,agriculture,in,2005,?
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.6662389636039734,0.17962713539600372,0.45514053106307983,0.28221622109413147,1.0,0.009931974112987518,0.20430970191955566
2005,0.03437461704015732,0.023484734818339348,0.017815761268138885,0.037273142486810684,0.04792717844247818,0.11356307566165924,-0.008946171030402184,0.009931974112987518,1.0,0.10709824413061142
agriculture,0.17973393201828003,0.2095850557088852,0.3250654935836792,0.29133129119873047,0.36818188428878784,0.23834943771362305,1.0,0.28221622109413147,-0.008946171030402184,0.11401621997356415
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.17147020995616913,0.45456063747406006,0.30305367708206177,0.5201468467712402,0.11050146818161011,0.31091248989105225
including,0.20270724594593048,0.25625187158584595,0.44195112586021423,0.3738902807235718,0.12774409353733063,0.21884717047214508,0.15944842994213104,0.35857823491096497,0.0554877407848835,0.1633303165435791
forestry,0.1525481939315796,0.22764407098293304,0.31932854652404785,0.29642462730407715,0.2614052891731262,0.2006504088640213,0.5698967576026917,0.2883717119693756,-0.0026614097878336906,0.11025214195251465
and,0.33647966384887695,0.38395699858665466,0.5116966962814331,0.5171257257461548,0.16981810331344604,0.3740963041782379,0.2700258493423462,0.4954058527946472,0.05766887590289116,0.20544172823429108
fishing,0.18446440994739532,0.1848384290933609,0.20283712446689606,0.2495911717414856,0.14814519882202148,0.15803994238376617,0.4097566604614258,0.2376651167869568,-0.04398837685585022,0.12288600206375122
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.17147020995616913,0.45456063747406006,0.30305367708206177,0.5201468467712402,0.11050146818161011,0.31091248989105225
accounted,0.23285771906375885,0.2663438022136688,0.2735593020915985,0.2786780297756195,0.32481709122657776,0.2608852982521057,0.27323275804519653,0.22296495735645294,0.03616788983345032,0.2127840369939804
