,did,the,plague,spread,in,scandinavia,or,germany,first,?
the,0.34736719727516174,1.0,0.2537761330604553,0.28994160890579224,0.6662389636039734,0.24652571976184845,0.4174870550632477,0.3181285262107849,0.49448907375335693,0.22068053483963013
name,0.17557460069656372,0.3171212375164032,0.13671042025089264,0.11420926451683044,0.2459065467119217,0.1821848452091217,0.19621294736862183,0.15115536749362946,0.3163818418979645,0.15381577610969543
spread,0.1917719841003418,0.28994160890579224,0.3459134101867676,1.0,0.24312569200992584,0.2764713168144226,0.28550469875335693,0.17294779419898987,0.12194301933050156,0.16482828557491302
through,0.14190755784511566,0.44071322679519653,0.17900392413139343,0.30272552371025085,0.38533157110214233,0.15809369087219238,0.26928719878196716,0.17170296609401703,0.25530800223350525,0.16913433372974396
scandinavia,0.18483243882656097,0.24652571976184845,0.23715855181217194,0.2764713168144226,0.2452246993780136,0.9999999403953552,0.2326512634754181,0.3388582468032837,0.24204111099243164,0.13888707756996155
and,0.34479495882987976,0.5171257257461548,0.2229994833469391,0.2815358638763428,0.4954058527946472,0.2822973132133484,0.4713204801082611,0.29381805658340454,0.3167642652988434,0.20544172823429108
then,0.303744375705719,0.4297412931919098,0.1958640068769455,0.18980704247951508,0.36253848671913147,0.133754163980484,0.3243606984615326,0.1967308223247528,0.38077428936958313,0.2884598970413208
germany,0.2132834792137146,0.3181285262107849,0.16714857518672943,0.17294779419898987,0.3642844259738922,0.3388582468032837,0.21803024411201477,1.0,0.22186243534088135,0.1388660967350006
",",0.3015086054801941,0.4933079481124878,0.2630122900009155,0.24950742721557617,0.5201468467712402,0.27338874340057373,0.3769497275352478,0.2898865044116974,0.34503069519996643,0.31091248989105225
gradually,0.2431744784116745,0.3209700584411621,0.2377651482820511,0.3528447449207306,0.2659119665622711,0.2308245748281479,0.313414603471756,0.1804802268743515,0.25828248262405396,0.09310194849967957
becoming,0.26583778858184814,0.333665668964386,0.11286512762308121,0.2162507325410843,0.2425609976053238,0.2007160186767578,0.2458544820547104,0.16859836876392365,0.3537147641181946,0.17354105412960052
attached,0.107432059943676,0.30016979575157166,0.028682833537459373,0.18633876740932465,0.19534023106098175,0.10906842350959778,0.34890416264533997,0.12197151780128479,0.20181740820407867,0.10888541489839554
to,0.4452643394470215,0.535392165184021,0.21845681965351105,0.2748686373233795,0.45010748505592346,0.21763697266578674,0.38921234011650085,0.24172882735729218,0.3792489171028137,0.29463258385658264
the,0.34736719727516174,1.0,0.2537761330604553,0.28994160890579224,0.6662389636039734,0.24652571976184845,0.4174870550632477,0.3181285262107849,0.49448907375335693,0.22068053483963013
mid,0.18854407966136932,0.28870436549186707,0.13235121965408325,0.22788113355636597,0.3212345242500305,0.27783358097076416,0.1391085833311081,0.2128421664237976,0.2851056456565857,0.1353752315044403
14th-century,0.23600688576698303,0.3126668930053711,0.3371194005012512,0.26854407787323,0.3013746738433838,0.2872496247291565,0.18362662196159363,0.18607893586158752,0.3082759976387024,0.09547005593776703
epidemic,0.20773723721504211,0.23666009306907654,0.5931054353713989,0.4151947498321533,0.28030508756637573,0.26016050577163696,0.2182409167289734,0.20354978740215302,0.22691811621189117,0.1562352478504181
as,0.3596470057964325,0.48381632566452026,0.1501513570547104,0.19766707718372345,0.3887844979763031,0.16560256481170654,0.4400654137134552,0.17682115733623505,0.33842000365257263,0.27043893933296204
a,0.2552328109741211,0.5829201340675354,0.22077761590480804,0.17979469895362854,0.539380669593811,0.20558004081249237,0.48853766918182373,0.2606942057609558,0.4287874400615692,0.23916715383529663
proper,0.2417638748884201,0.3680674135684967,0.1710229218006134,0.14686332643032074,0.23365779221057892,0.1918950080871582,0.36486709117889404,0.11297193169593811,0.2584863007068634,0.2291053831577301
name,0.17557460069656372,0.3171212375164032,0.13671042025089264,0.11420926451683044,0.2459065467119217,0.1821848452091217,0.19621294736862183,0.15115536749362946,0.3163818418979645,0.15381577610969543
.,0.35288307070732117,0.5934505462646484,0.2547653317451477,0.2690257728099823,0.5591574311256409,0.24940432608127594,0.36683785915374756,0.28498756885528564,0.4345304071903229,0.4130953550338745
