,what,did,all,three,cathedrals,in,newcastle,begin,their,existence,as,?
all,0.41981086134910583,0.33943864703178406,1.0000001192092896,0.3989922106266022,0.2496519237756729,0.3335905969142914,0.17023631930351257,0.2640043795108795,0.47224584221839905,0.3387589752674103,0.33195313811302185,0.29575422406196594
three,0.24888746440410614,0.2043166607618332,0.3989922106266022,1.0,0.21350960433483124,0.34828072786331177,0.16302451491355896,0.18035070598125458,0.3209680914878845,0.160240039229393,0.23234014213085175,0.20928427577018738
cathedrals,0.17476411163806915,0.1646936684846878,0.2496519237756729,0.21350960433483124,1.0000001192092896,0.28899404406547546,0.2466694712638855,0.09922772645950317,0.17938150465488434,0.16503074765205383,0.2536161243915558,0.15824170410633087
began,0.1665823757648468,0.4415510594844818,0.16335256397724152,0.1517004817724228,0.14043879508972168,0.34154343605041504,0.14919160306453705,0.49711355566978455,0.29290321469306946,0.12345846742391586,0.25156188011169434,0.1370266228914261
their,0.35142919421195984,0.38078752160072327,0.47224584221839905,0.3209680914878845,0.17938150465488434,0.34976133704185486,0.21171362698078156,0.33574771881103516,1.0,0.2828621566295624,0.29218852519989014,0.1898253709077835
lives,0.19772474467754364,0.12370656430721283,0.24293525516986847,0.20823116600513458,0.10845813155174255,0.3182811737060547,0.12478718161582947,0.15542155504226685,0.2536628246307373,0.156541109085083,0.17050504684448242,0.15810374915599823
as,0.31749409437179565,0.3596470057964325,0.33195313811302185,0.23234014213085175,0.2536161243915558,0.3887844979763031,0.21526619791984558,0.20308734476566315,0.29218852519989014,0.18183830380439758,1.0,0.27043893933296204
parish,0.13296297192573547,0.16178643703460693,0.16119274497032166,0.130462646484375,0.3697584867477417,0.21548442542552948,0.2248457819223404,0.06547296047210693,0.1506398618221283,0.157216414809227,0.17889010906219482,0.099716417491436
churches,0.17877253890037537,0.21651899814605713,0.2465171217918396,0.18177539110183716,0.6267074942588806,0.2825169265270233,0.20720750093460083,0.15295112133026123,0.2444210797548294,0.181923046708107,0.24591930210590363,0.19824735820293427
.,0.3567904531955719,0.35288307070732117,0.43406882882118225,0.34968629479408264,0.32917287945747375,0.5591574311256409,0.2714749276638031,0.24827922880649567,0.34427863359451294,0.2164178043603897,0.515582263469696,0.4130953550338745
