,who,does,the,presiding,officer,submit,the,final,bill,to,?
royal,0.16729144752025604,0.12133024632930756,0.2997032403945923,0.2200133353471756,0.28083136677742004,0.07192923128604889,0.2997032403945923,0.10511216521263123,0.10023695230484009,0.20404569804668427,0.11453001946210861
assent,0.31270602345466614,0.2948771119117737,0.2975829243659973,0.3960595428943634,0.30335167050361633,0.24946777522563934,0.2975829243659973,0.2091907411813736,0.24362613260746002,0.3058730363845825,0.21738570928573608
:,-0.0025186005514115095,-0.11934193223714828,-0.03403344005346298,0.06117783859372139,-0.022091006860136986,-0.03183819353580475,-0.03403344005346298,0.12430374324321747,-0.05502665415406227,-0.09243495017290115,-0.07156077772378922
after,0.32549580931663513,0.18596531450748444,0.4565047025680542,0.23886920511722565,0.2823500633239746,0.17927545309066772,0.4565047025680542,0.31874704360961914,0.11141306161880493,0.37890323996543884,0.16608688235282898
the,0.3733934462070465,0.35928019881248474,1.0,0.3267684876918793,0.25777485966682434,0.19348543882369995,1.0,0.3543182611465454,0.24155211448669434,0.535392165184021,0.22068053483963013
bill,0.19545355439186096,0.17194031178951263,0.24155211448669434,0.1997653990983963,0.15432092547416687,0.2126195728778839,0.24155211448669434,0.18517553806304932,0.9999999403953552,0.17981381714344025,0.12855131924152374
has,0.2558172643184662,0.42885294556617737,0.4177538752555847,0.15113116800785065,0.13986901938915253,0.11971282958984375,0.4177538752555847,0.15146847069263458,0.09722086787223816,0.3619994819164276,0.15994466841220856
been,0.3295723795890808,0.22925697267055511,0.3563927710056305,0.17362256348133087,0.14511413872241974,0.170423224568367,0.3563927710056305,0.14671653509140015,0.16608448326587677,0.34945759177207947,0.24354910850524902
passed,0.18397395312786102,0.17548538744449615,0.3173406720161438,0.2701106369495392,0.13981586694717407,0.13923922181129456,0.3173406720161438,0.2133021503686905,0.29634007811546326,0.26747700572013855,0.12064517289400101
",",0.3365725874900818,0.28617382049560547,0.4933079481124878,0.2921140789985657,0.2703348398208618,0.22773320972919464,0.4933079481124878,0.24864837527275085,0.2472437173128128,0.44245919585227966,0.31091248989105225
