,how,is,the,judicial,branch,of,the,eu,an,important,factor,in,the,development,of,eu,law,?
the,0.33890387415885925,0.5823672413825989,1.0,0.27282875776290894,0.2630956768989563,0.733189046382904,1.0,0.14126400649547577,0.4207492768764496,0.39348116517066956,0.2859867215156555,0.6662389636039734,1.0,0.3362044394016266,0.733189046382904,0.14126400649547577,0.24548950791358948,0.22068053483963013
judicial,0.1639363020658493,0.18901214003562927,0.27282875776290894,1.0000001192092896,0.33991870284080505,0.2965162694454193,0.27282875776290894,0.21058975160121918,0.19821026921272278,0.2459564208984375,0.19545461237430573,0.231208935379982,0.27282875776290894,0.27412986755371094,0.2965162694454193,0.21058975160121918,0.43910738825798035,0.1770997941493988
branch,0.18322335183620453,0.17662303149700165,0.2630956768989563,0.33991870284080505,1.0,0.23972897231578827,0.2630956768989563,0.1294633448123932,0.14347505569458008,0.2873744070529938,0.12224762886762619,0.21656033396720886,0.2630956768989563,0.23434492945671082,0.23972897231578827,0.1294633448123932,0.21223905682563782,0.10474635660648346
of,0.2480744868516922,0.4854315221309662,0.733189046382904,0.2965162694454193,0.23972897231578827,1.0,0.733189046382904,0.1579294353723526,0.32280945777893066,0.43301743268966675,0.2744791805744171,0.5696388483047485,0.733189046382904,0.28700894117355347,1.0,0.1579294353723526,0.2816956341266632,0.1826142966747284
the,0.33890387415885925,0.5823672413825989,1.0,0.27282875776290894,0.2630956768989563,0.733189046382904,1.0,0.14126400649547577,0.4207492768764496,0.39348116517066956,0.2859867215156555,0.6662389636039734,1.0,0.3362044394016266,0.733189046382904,0.14126400649547577,0.24548950791358948,0.22068053483963013
eu,0.12200486660003662,0.12234814465045929,0.14126400649547577,0.21058975160121918,0.1294633448123932,0.1579294353723526,0.14126400649547577,0.9999998807907104,0.10770508646965027,0.08478491753339767,0.1851983219385147,0.12919096648693085,0.14126400649547577,0.176733136177063,0.1579294353723526,0.9999998807907104,0.20359504222869873,0.21586786210536957
has,0.26820555329322815,0.5668748617172241,0.4177538752555847,0.14285066723823547,0.13503094017505646,0.3909035325050354,0.4177538752555847,0.13703566789627075,0.2991473078727722,0.2858242392539978,0.20708835124969482,0.4173259735107422,0.4177538752555847,0.26726067066192627,0.3909035325050354,0.13703566789627075,0.15925909578800201,0.15994466841220856
played,0.11035697907209396,0.2258751392364502,0.2603478729724884,0.13473770022392273,0.10761702805757523,0.21120788156986237,0.2603478729724884,0.043606001883745193,0.16061121225357056,0.17778156697750092,0.09338369220495224,0.27605336904525757,0.2603478729724884,0.14197582006454468,0.21120788156986237,0.043606001883745193,0.12856265902519226,0.14096300303936005
an,0.2520636022090912,0.4654068350791931,0.4207492768764496,0.19821026921272278,0.14347505569458008,0.32280945777893066,0.4207492768764496,0.10770508646965027,1.0,0.2662794589996338,0.1383458375930786,0.2605783939361572,0.4207492768764496,0.199787899851799,0.32280945777893066,0.10770508646965027,0.17270056903362274,0.19793890416622162
important,0.3054346442222595,0.350485235452652,0.39348116517066956,0.2459564208984375,0.2873744070529938,0.43301743268966675,0.39348116517066956,0.08478491753339767,0.2662794589996338,1.0000001192092896,0.2850533723831177,0.3796374499797821,0.39348116517066956,0.28208521008491516,0.43301743268966675,0.08478491753339767,0.13215887546539307,0.17812499403953552
role,0.19391292333602905,0.20847192406654358,0.26607486605644226,0.19892197847366333,0.16636894643306732,0.1797693818807602,0.26607486605644226,0.09016813337802887,0.23719340562820435,0.3086093068122864,0.2639065086841583,0.243671715259552,0.26607486605644226,0.2680355906486511,0.1797693818807602,0.09016813337802887,0.15175500512123108,0.18676944077014923
