,_____,helps,the,biospher,from,uv,.
another,0.3179679214954376,0.26446211338043213,0.5019711852073669,0.1641806662082672,0.31349602341651917,0.1675230860710144,0.3817248046398163
form,0.25950413942337036,0.1851116567850113,0.29286009073257446,0.0904793068766594,0.2607075572013855,0.14757631719112396,0.28317511081695557
(,0.2712259590625763,0.24624165892601013,0.33289089798927307,0.20731963217258453,0.25806233286857605,0.21723279356956482,0.5072786808013916
allotrope,0.1797034740447998,0.28005164861679077,0.24387703835964203,0.343999445438385,0.22628536820411682,0.39534348249435425,0.2889516353607178
),0.2781384289264679,0.24820271134376526,0.3456730246543884,0.20341584086418152,0.2672361731529236,0.18222613632678986,0.5363735556602478
of,0.28392356634140015,0.22412827610969543,0.733189046382904,0.22006186842918396,0.4249346852302551,0.1472974270582199,0.5352458953857422
oxygen,0.13589812815189362,0.268240362405777,0.20428593456745148,0.34600454568862915,0.23457925021648407,0.3885289132595062,0.2554275095462799
",",0.28135162591934204,0.2342686951160431,0.4933079481124878,0.18064579367637634,0.39760664105415344,0.1708429604768753,0.6812511086463928
ozone,0.16414517164230347,0.23291660845279694,0.23899611830711365,0.4568948745727539,0.16024237871170044,0.4645193815231323,0.2529839873313904
(,0.2712259590625763,0.24624165892601013,0.33289089798927307,0.20731963217258453,0.25806233286857605,0.21723279356956482,0.5072786808013916
o,0.1781824827194214,0.10772106796503067,0.19071193039417267,0.16137439012527466,0.13131019473075867,0.17664989829063416,0.26146236062049866
3,0.1360262632369995,0.12047439813613892,0.06283142417669296,0.10635368525981903,0.055809080600738525,0.062385451048612595,0.043593376874923706
),0.2781384289264679,0.24820271134376526,0.3456730246543884,0.20341584086418152,0.2672361731529236,0.18222613632678986,0.5363735556602478
",",0.28135162591934204,0.2342686951160431,0.4933079481124878,0.18064579367637634,0.39760664105415344,0.1708429604768753,0.6812511086463928
strongly,0.20930592715740204,0.2154349684715271,0.2760447859764099,0.15318258106708527,0.1431577503681183,0.19413761794567108,0.3010447323322296
absorbs,0.12113668769598007,0.3371211588382721,0.27842673659324646,0.2716819643974304,0.2633095383644104,0.49224570393562317,0.23318761587142944
uvb,0.20440000295639038,0.1570480316877365,0.26936766505241394,0.3240693509578705,0.2068595588207245,0.5570448637008667,0.3296804428100586
radiation,0.16283409297466278,0.1686520129442215,0.2525659203529358,0.33339300751686096,0.2247200310230255,0.5656593441963196,0.22878317534923553
and,0.3042243421077728,0.32972991466522217,0.5171257257461548,0.19428551197052002,0.3601827025413513,0.14898817241191864,0.588965117931366
consequently,0.28681430220603943,0.170502170920372,0.2966291010379791,0.16992677748203278,0.24540434777736664,0.1263093650341034,0.18984119594097137
the,0.22620578110218048,0.28157877922058105,1.0,0.19876247644424438,0.40150508284568787,0.14861778914928436,0.5934505462646484
high-altitude,0.15098780393600464,0.2047649621963501,0.3245519697666168,0.3421911895275116,0.17838695645332336,0.3291120231151581,0.27589744329452515
ozone,0.16414517164230347,0.23291660845279694,0.23899611830711365,0.4568948745727539,0.16024237871170044,0.4645193815231323,0.2529839873313904
layer,0.17566664516925812,0.2674364745616913,0.22831332683563232,0.36157089471817017,0.22642992436885834,0.367680162191391,0.18235068023204803
helps,0.23535853624343872,1.0,0.28157877922058105,0.19906727969646454,0.24099208414554596,0.21039985120296478,0.24475505948066711
protect,0.24263913929462433,0.35204124450683594,0.2559677064418793,0.18935339152812958,0.20659200847148895,0.27206024527549744,0.2567919194698334
the,0.22620578110218048,0.28157877922058105,1.0,0.19876247644424438,0.40150508284568787,0.14861778914928436,0.5934505462646484
biosphere,0.23170074820518494,0.17227236926555634,0.23578676581382751,0.9266771078109741,0.08902446925640106,0.3725382387638092,0.1506943255662918
from,0.21272814273834229,0.24099208414554596,0.40150508284568787,0.07482856512069702,1.0,0.1749291568994522,0.41536515951156616
ultraviolet,0.1530940681695938,0.2790673077106476,0.23828156292438507,0.2899450957775116,0.2654716670513153,0.6672105193138123,0.2106117159128189
radiation,0.16283409297466278,0.1686520129442215,0.2525659203529358,0.33339300751686096,0.2247200310230255,0.5656593441963196,0.22878317534923553
