,what,enables,the,scottish,parliament,to,scrutinize,the,government,?
several,0.22446060180664062,0.2027042955160141,0.40559855103492737,0.1291372925043106,0.1706840544939041,0.36196985840797424,0.29409268498420715,0.40559855103492737,0.24943384528160095,0.15595775842666626
procedures,0.33542415499687195,0.25485295057296753,0.23226140439510345,0.16357864439487457,0.2772231996059418,0.270240843296051,0.48628002405166626,0.23226140439510345,0.22761031985282898,0.2716922461986542
enable,0.29289326071739197,0.8358203768730164,0.284074991941452,0.08234735578298569,0.14867520332336426,0.41969531774520874,0.39742082357406616,0.284074991941452,0.12659870088100433,0.2741726338863373
the,0.42745697498321533,0.3079366385936737,1.0,0.21724988520145416,0.26521381735801697,0.535392165184021,0.3393668532371521,1.0,0.31798112392425537,0.22068053483963013
scottish,0.13777151703834534,0.1261015683412552,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.1268421709537506,0.19183090329170227,0.21724988520145416,0.17260609567165375,0.06442669779062271
parliament,0.21650300920009613,0.0850638672709465,0.26521381735801697,0.3418616056442261,1.0,0.20290622115135193,0.31238651275634766,0.26521381735801697,0.5386218428611755,0.1586504578590393
to,0.455847829580307,0.38551828265190125,0.535392165184021,0.1268421709537506,0.20290622115135193,1.0,0.5078926682472229,0.535392165184021,0.28343796730041504,0.29463258385658264
scrutinise,0.4496873617172241,0.2550922930240631,0.3245667517185211,0.21299448609352112,0.3537663519382477,0.4390365183353424,0.8543514013290405,0.3245667517185211,0.3630587160587311,0.4245428442955017
the,0.42745697498321533,0.3079366385936737,1.0,0.21724988520145416,0.26521381735801697,0.535392165184021,0.3393668532371521,1.0,0.31798112392425537,0.22068053483963013
government,0.28074538707733154,0.07436815649271011,0.31798112392425537,0.17260609567165375,0.5386218428611755,0.28343796730041504,0.3758695721626282,0.31798112392425537,1.0000001192092896,0.18851417303085327
.,0.3567904531955719,0.24624744057655334,0.5934505462646484,0.20125295221805573,0.23747818171977997,0.4645031690597534,0.338634729385376,0.5934505462646484,0.2521961033344269,0.4130953550338745
