,what,was,the,population,density,in,2000,?
the,0.42745697498321533,0.48711544275283813,1.0,0.32044094800949097,0.2451544851064682,0.6662389636039734,-0.015081177465617657,0.22068053483963013
population,0.2000674307346344,0.1935066133737564,0.32044094800949097,1.0,0.5703029632568359,0.3268454372882843,-0.2196277678012848,0.14449454843997955
density,0.1728270947933197,0.14533059298992157,0.2451544851064682,0.5703029632568359,1.0,0.24213694036006927,-0.17883072793483734,0.1457761973142624
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.1935066133737564,0.14533059298992157,0.45514053106307983,0.06843073666095734,0.18412111699581146
"4,097.9",0.0066154878586530685,0.24747975170612335,0.14471980929374695,0.09131767600774765,0.06604394316673279,0.13400617241859436,0.08218008279800415,-0.0942329689860344
people,0.32444337010383606,0.2518421411514282,0.36838498711586,0.3562411963939667,0.2700650691986084,0.39605680108070374,-0.15824614465236664,0.23739641904830933
per,0.21384303271770477,0.12717042863368988,0.21691934764385223,0.2134084403514862,0.3189907968044281,0.1975519210100174,-0.11655692011117935,0.22323818504810333
square,0.12660330533981323,0.17827357351779938,0.2809545397758484,0.36520883440971375,0.3507445752620697,0.2193731665611267,-0.1823805421590805,0.1201515942811966
mile,0.21258710324764252,0.2049332857131958,0.20835919678211212,0.32942718267440796,0.36710676550865173,0.1795995831489563,-0.16093990206718445,0.11426067352294922
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.14130665361881256,0.18440818786621094,0.3087427020072937,-0.01192599069327116,0.40561532974243164
"1,582.2/km²",0.18994835019111633,0.2107691764831543,0.23136210441589355,0.6296360492706299,0.6564785242080688,0.2805294394493103,-0.11335008591413498,0.21302835643291473
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.1573704034090042,0.19731371104717255,0.3326910734176636,-0.001137865474447608,0.42300865054130554
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26950228214263916,0.2338748723268509,0.5591574311256409,-0.03837863355875015,0.4130953550338745
