,what,country,is,the,most,industrially,developed,country,in,the,african,great,lakes,region,?
although,0.24844598770141602,0.19152677059173584,0.301360160112381,0.3265823423862457,0.35402846336364746,0.2668749690055847,0.20253875851631165,0.19152677059173584,0.28763338923454285,0.3265823423862457,0.1323401927947998,0.2166963368654251,0.17256799340248108,0.1751248687505722,0.15541206300258636
kenya,0.18398970365524292,0.2935680150985718,0.17591087520122528,0.21657514572143555,0.13890406489372253,0.1542349010705948,0.14772754907608032,0.2935680150985718,0.23621977865695953,0.21657514572143555,0.3880566954612732,0.13158999383449554,0.22732360661029816,0.21596790850162506,0.17197901010513306
is,0.28837618231773376,0.24409033358097076,1.0,0.5823672413825989,0.41165053844451904,0.2853032350540161,0.21550270915031433,0.24409033358097076,0.5394441485404968,0.5823672413825989,0.17217126488685608,0.1345067322254181,0.23885010182857513,0.3317503035068512,0.22961433231830597
the,0.42745697498321533,0.30432501435279846,0.5823672413825989,1.0,0.47635307908058167,0.311806857585907,0.24490751326084137,0.30432501435279846,0.6662389636039734,1.0,0.23305515944957733,0.2822027802467346,0.26104623079299927,0.35020557045936584,0.22068053483963013
most,0.3219912350177765,0.2174985557794571,0.41165053844451904,0.47635307908058167,1.0,0.3649241030216217,0.28766918182373047,0.2174985557794571,0.41416558623313904,0.47635307908058167,0.18497362732887268,0.21389809250831604,0.20977313816547394,0.19658514857292175,0.2107497900724411
industrially,0.17770075798034668,0.2754004895687103,0.2853032350540161,0.311806857585907,0.3649241030216217,1.0,0.36031728982925415,0.2754004895687103,0.3086210787296295,0.311806857585907,0.16705287992954254,0.13864940404891968,0.23805966973304749,0.25224214792251587,0.07898832112550735
developed,0.15555569529533386,0.16025623679161072,0.21550270915031433,0.24490751326084137,0.28766918182373047,0.36031728982925415,1.0000001192092896,0.16025623679161072,0.2498214840888977,0.24490751326084137,0.1813724935054779,0.14611504971981049,0.08225177228450775,0.15238289535045624,0.10763012617826462
country,0.22705033421516418,1.0000001192092896,0.24409033358097076,0.30432501435279846,0.2174985557794571,0.2754004895687103,0.16025623679161072,1.0000001192092896,0.3040012717247009,0.30432501435279846,0.26082590222358704,0.1370573192834854,0.24983373284339905,0.3093109428882599,0.12647280097007751
in,0.30808621644973755,0.3040012717247009,0.5394441485404968,0.6662389636039734,0.41416558623313904,0.3086210787296295,0.2498214840888977,0.3040012717247009,1.0,0.6662389636039734,0.2008972465991974,0.23348836600780487,0.28098371624946594,0.3524819314479828,0.20430970191955566
the,0.42745697498321533,0.30432501435279846,0.5823672413825989,1.0,0.47635307908058167,0.311806857585907,0.24490751326084137,0.30432501435279846,0.6662389636039734,1.0,0.23305515944957733,0.2822027802467346,0.26104623079299927,0.35020557045936584,0.22068053483963013
african,0.11136822402477264,0.26082590222358704,0.17217126488685608,0.23305515944957733,0.18497362732887268,0.16705287992954254,0.1813724935054779,0.26082590222358704,0.2008972465991974,0.23305515944957733,1.0000001192092896,0.22924786806106567,0.15007930994033813,0.12290450930595398,0.11862778663635254
great,0.2562883198261261,0.1370573192834854,0.1345067322254181,0.2822027802467346,0.21389809250831604,0.13864940404891968,0.14611504971981049,0.1370573192834854,0.23348836600780487,0.2822027802467346,0.22924786806106567,1.0,0.3739132583141327,0.1109301894903183,0.13135133683681488
