,how,common,of,a,type,was,corporal,punishment,in,schools,?
throughout,0.2546801269054413,0.29555049538612366,0.35374847054481506,0.2578590512275696,0.14910730719566345,0.2373686283826828,0.17230194807052612,0.17425307631492615,0.46596065163612366,0.23897893726825714,0.12665234506130219
the,0.33890387415885925,0.2705984115600586,0.733189046382904,0.5829201340675354,0.21819381415843964,0.48711544275283813,0.22063873708248138,0.2503047287464142,0.6662389636039734,0.22905772924423218,0.22068053483963013
history,0.28613850474357605,0.11104641854763031,0.31014925241470337,0.2123815417289734,0.129188671708107,0.25589004158973694,0.11095863580703735,0.17424483597278595,0.29215577244758606,0.21111539006233215,0.2501974403858185
of,0.2480744868516922,0.2949881851673126,1.0,0.5052502155303955,0.18112817406654358,0.4069072902202606,0.18547691404819489,0.2056395560503006,0.5696388483047485,0.265506386756897,0.1826142966747284
education,0.12444977462291718,0.15163783729076385,0.3015166223049164,0.21779850125312805,0.07525362819433212,0.23187610507011414,0.2332981377840042,0.23030872642993927,0.2654339671134949,0.6035618185997009,0.18067774176597595
the,0.33890387415885925,0.2705984115600586,0.733189046382904,0.5829201340675354,0.21819381415843964,0.48711544275283813,0.22063873708248138,0.2503047287464142,0.6662389636039734,0.22905772924423218,0.22068053483963013
most,0.311336874961853,0.42714235186576843,0.4178851246833801,0.3508910834789276,0.24228660762310028,0.29933857917785645,0.11076462268829346,0.17340581119060516,0.41416558623313904,0.19526082277297974,0.2107497900724411
common,0.17140580713748932,0.9999998807907104,0.2949881851673126,0.29638534784317017,0.3472718596458435,0.0880795493721962,0.09633602201938629,0.15432219207286835,0.23149342834949493,0.19749347865581512,0.20434872806072235
form,0.1948026418685913,0.3049631416797638,0.29600051045417786,0.3088195323944092,0.3017115294933319,0.15690121054649353,0.09778188169002533,0.16059692203998566,0.2815987169742584,0.1430789679288864,0.1463010311126709
of,0.2480744868516922,0.2949881851673126,1.0,0.5052502155303955,0.18112817406654358,0.4069072902202606,0.18547691404819489,0.2056395560503006,0.5696388483047485,0.265506386756897,0.1826142966747284
school,0.11585085093975067,0.13768410682678223,0.2391800880432129,0.2245093584060669,0.11896730959415436,0.25740107893943787,0.19004926085472107,0.17317719757556915,0.26157811284065247,0.7602541446685791,0.15091250836849213
discipline,0.2309175431728363,0.10198914259672165,0.2260950356721878,0.21818003058433533,0.1828993856906891,0.19787335395812988,0.22956888377666473,0.3168984055519104,0.19738538563251495,0.30685627460479736,0.06836310029029846
was,0.16678167879581451,0.0880795493721962,0.4069072902202606,0.4508470594882965,0.14348182082176208,1.0000001192092896,0.19440697133541107,0.2287234514951706,0.45514053106307983,0.19736053049564362,0.18412111699581146
corporal,0.1337403804063797,0.09633602201938629,0.18547691404819489,0.1676696091890335,0.12086012214422226,0.19440697133541107,1.0,0.34936437010765076,0.15530824661254883,0.21419920027256012,0.1554132103919983
punishment,0.2668728828430176,0.15432219207286835,0.2056395560503006,0.1934642344713211,0.11259355396032333,0.2287234514951706,0.34936437010765076,1.0000001192092896,0.19258901476860046,0.18592701852321625,0.23842233419418335
.,0.3287222981452942,0.21817955374717712,0.5352458953857422,0.50484299659729,0.23195341229438782,0.40146201848983765,0.23281329870224,0.24320337176322937,0.5591574311256409,0.2752705216407776,0.4130953550338745
