,what,was,the,resolution,of,the,cameras,used,in,the,eyevision,360,system,?
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.21263813972473145,0.35032153129577637,0.33289089798927307,0.19616983830928802,0.19005385041236877,0.3087427020072937,0.33289089798927307,0.35227537155151367,0.12096202373504639,0.15626809000968933,0.40561532974243164
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.23431707918643951,0.32280945777893066,0.4207492768764496,0.18013033270835876,0.25728896260261536,0.2605783939361572,0.4207492768764496,0.26846006512641907,0.04072210565209389,0.17536801099777222,0.19793890416622162
earlier,0.22624605894088745,0.3443564474582672,0.26843780279159546,0.1679677516222,0.27635854482650757,0.26843780279159546,0.17595472931861877,0.18177171051502228,0.24141792953014374,0.26843780279159546,0.2795308828353882,0.12362008541822433,0.17798295617103577,0.13306351006031036
version,0.20755547285079956,0.297456830739975,0.27268242835998535,0.17215505242347717,0.14166875183582306,0.27268242835998535,0.21975301206111908,0.21223314106464386,0.19599339365959167,0.27268242835998535,0.41923800110816956,0.051696885377168655,0.19879038631916046,0.2573966085910797
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24433627724647522,1.0,0.733189046382904,0.16742980480194092,0.3075267970561981,0.5696388483047485,0.733189046382904,0.28018367290496826,0.1987888365983963,0.25597915053367615,0.1826142966747284
eyevision,0.31643226742744446,0.32288506627082825,0.2950143814086914,0.35879144072532654,0.28018367290496826,0.2950143814086914,0.39013251662254333,0.24234066903591156,0.23252016305923462,0.2950143814086914,1.0,0.08677451312541962,0.2755250930786133,0.30570414662361145
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.17136116325855255,0.4069072902202606,0.48711544275283813,0.1963709145784378,0.23679393529891968,0.45514053106307983,0.48711544275283813,0.32288506627082825,0.06605584174394608,0.2147521674633026,0.18412111699581146
last,0.23175878822803497,0.32424551248550415,0.3698786795139313,0.11161695420742035,0.3052992522716522,0.3698786795139313,0.12780575454235077,0.18826596438884735,0.30714505910873413,0.3698786795139313,0.2441343367099762,0.05023210495710373,0.14964330196380615,0.22371746599674225
used,0.27546408772468567,0.23679393529891968,0.3718377649784088,0.19095972180366516,0.3075267970561981,0.3718377649784088,0.3231108784675598,0.9999998807907104,0.3090210556983948,0.3718377649784088,0.24234066903591156,0.11088816076517105,0.27983206510543823,0.22430120408535004
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.1619282215833664,0.5696388483047485,0.6662389636039734,0.180817648768425,0.3090210556983948,1.0,0.6662389636039734,0.23252016305923462,0.30095338821411133,0.21978288888931274,0.20430970191955566
