,which,super,bowl,",",after,the,50th,one,",",will,begin,have,roman,numerals,in,the,title,again,?
on,0.4245251417160034,0.1569211632013321,0.1334993690252304,0.49057599902153015,0.39330315589904785,0.5107308030128479,0.15247806906700134,0.3601475656032562,0.49057599902153015,0.3240351676940918,0.2630721628665924,0.36494916677474976,0.15509356558322906,0.1492345631122589,0.46853652596473694,0.5107308030128479,0.16559039056301117,0.31394922733306885,0.2714994251728058
june,0.13273821771144867,0.12735934555530548,0.15820787847042084,0.45453834533691406,0.3102433979511261,0.24568822979927063,0.047234244644641876,0.19165287911891937,0.45453834533691406,0.15481974184513092,0.13521459698677063,0.13467824459075928,0.11824105679988861,0.1070602759718895,0.29047903418540955,0.24568822979927063,0.18483544886112213,0.2855871319770813,0.31416764855384827
4,0.00023283218615688384,0.046946682035923004,0.020155208185315132,0.15652385354042053,0.12316353619098663,0.15499350428581238,-0.04766840860247612,0.036213137209415436,0.15652385354042053,-0.03192241117358208,0.011117866262793541,-0.049480583518743515,0.16189806163311005,0.03203694894909859,0.08310048282146454,0.15499350428581238,0.20794124901294708,0.11201589554548264,0.010515431873500347
",",0.3658004403114319,0.22322475910186768,0.1810409277677536,1.0000001192092896,0.38860568404197693,0.4933079481124878,0.1069522351026535,0.3696635365486145,1.0000001192092896,0.29706671833992004,0.27304404973983765,0.3541618287563324,0.26863154768943787,0.23818567395210266,0.5201468467712402,0.4933079481124878,0.2202284336090088,0.36606305837631226,0.31091248989105225
2014,-0.052017729729413986,0.0236821286380291,0.07104186713695526,0.19350162148475647,0.12464991956949234,0.059490643441677094,0.09885226935148239,0.07360579073429108,0.19350162148475647,0.0248110294342041,0.010990053415298462,-0.018927626311779022,0.10688325762748718,0.050574127584695816,0.13996225595474243,0.059490643441677094,0.019293051213026047,0.14707235991954803,0.058127544820308685
",",0.3658004403114319,0.22322475910186768,0.1810409277677536,1.0000001192092896,0.38860568404197693,0.4933079481124878,0.1069522351026535,0.3696635365486145,1.0000001192092896,0.29706671833992004,0.27304404973983765,0.3541618287563324,0.26863154768943787,0.23818567395210266,0.5201468467712402,0.4933079481124878,0.2202284336090088,0.36606305837631226,0.31091248989105225
the,0.6521818041801453,0.21959073841571808,0.21576224267482758,0.4933079481124878,0.4565047025680542,1.0,0.19595111906528473,0.5514441132545471,0.4933079481124878,0.3635469079017639,0.34293439984321594,0.40389683842658997,0.2862859070301056,0.25819507241249084,0.6662389636039734,1.0,0.27465343475341797,0.4104243218898773,0.22068053483963013
nfl,0.1353975087404251,0.319060355424881,0.48354101181030273,0.18939071893692017,0.14244197309017181,0.15305201709270477,0.1160515546798706,0.19273783266544342,0.18939071893692017,0.18084147572517395,0.08994635194540024,0.18029768764972687,0.12639591097831726,0.2016570121049881,0.12599408626556396,0.15305201709270477,0.11530899256467819,0.07141061127185822,0.10610254108905792
announced,0.14883647859096527,0.1638530194759369,0.11583950370550156,0.23036719858646393,0.346540629863739,0.2277132272720337,0.13245141506195068,0.1753031313419342,0.23036719858646393,0.32643622159957886,0.26043885946273804,0.18306851387023926,0.13161100447177887,0.118888258934021,0.2528248429298401,0.2277132272720337,0.12647011876106262,0.1592705398797989,0.17416009306907654
that,0.6894589066505432,0.18258553743362427,0.10987387597560883,0.4137537479400635,0.373811811208725,0.5473989248275757,0.11724865436553955,0.5133185982704163,0.4137537479400635,0.4857470989227295,0.27644142508506775,0.6182622313499451,0.20374512672424316,0.2481309473514557,0.435920387506485,0.5473989248275757,0.18916001915931702,0.3886644244194031,0.32716336846351624
