,when,is,the,funfair,held,in,newcastle,?
the,0.5091903209686279,0.5823672413825989,1.0,0.2574729919433594,0.32185450196266174,0.6662389636039734,0.2253497689962387,0.22068053483963013
hoppings,0.22199970483779907,0.21562011539936066,0.21224600076675415,0.2507553696632385,0.13032940030097961,0.16391269862651825,0.2050478607416153,0.2839316129684448
funfair,0.2778034210205078,0.26320594549179077,0.2574729919433594,1.0000001192092896,0.2552511692047119,0.26131799817085266,0.25165560841560364,0.2486325353384018
",",0.36674630641937256,0.4691906273365021,0.4933079481124878,0.377482146024704,0.2880980372428894,0.5201468467712402,0.251589834690094,0.31091248989105225
said,0.34706082940101624,0.2595660388469696,0.3024602234363556,0.3904123902320862,0.21667034924030304,0.23461468517780304,0.19401268661022186,0.28991883993148804
to,0.5423505902290344,0.42745086550712585,0.535392165184021,0.3144512474536896,0.22177374362945557,0.45010748505592346,0.23559264838695526,0.29463258385658264
be,0.4451393485069275,0.4819129705429077,0.4248143136501312,0.33709660172462463,0.18061767518520355,0.3481820821762085,0.15002311766147614,0.3324260413646698
the,0.5091903209686279,0.5823672413825989,1.0,0.2574729919433594,0.32185450196266174,0.6662389636039734,0.2253497689962387,0.22068053483963013
largest,0.1331232339143753,0.3413417339324951,0.3757036626338959,0.15248613059520721,0.24320951104164124,0.3017216920852661,0.17620566487312317,0.12401245534420013
travelling,0.31646251678466797,0.18501920998096466,0.2908712327480316,0.152546226978302,0.19329127669334412,0.22477178275585175,0.2704737186431885,0.10423967242240906
funfair,0.2778034210205078,0.26320594549179077,0.2574729919433594,1.0000001192092896,0.2552511692047119,0.26131799817085266,0.25165560841560364,0.2486325353384018
in,0.4431333839893341,0.5394441485404968,0.6662389636039734,0.26131799817085266,0.3127288818359375,1.0,0.19270820915699005,0.20430970191955566
europe,0.18744638562202454,0.20961034297943115,0.34463706612586975,0.20928023755550385,0.1864083707332611,0.33061710000038147,0.2158113569021225,0.18278923630714417
",",0.36674630641937256,0.4691906273365021,0.4933079481124878,0.377482146024704,0.2880980372428894,0.5201468467712402,0.251589834690094,0.31091248989105225
is,0.3471449911594391,1.0,0.5823672413825989,0.26320594549179077,0.19884860515594482,0.5394441485404968,0.1841045320034027,0.22961433231830597
held,0.1848648637533188,0.19884860515594482,0.32185450196266174,0.2552511692047119,1.0,0.3127288818359375,0.16754475235939026,0.14103956520557404
here,0.3346782326698303,0.3368209898471832,0.37885698676109314,0.29911425709724426,0.19449588656425476,0.3649226427078247,0.1668540984392166,0.5686008334159851
annually,0.18466481566429138,0.23383666574954987,0.30625078082084656,0.22648432850837708,0.4431407153606415,0.29646036028862,0.2594393789768219,0.1364409476518631
in,0.4431333839893341,0.5394441485404968,0.6662389636039734,0.26131799817085266,0.3127288818359375,1.0,0.19270820915699005,0.20430970191955566
june,0.2469879388809204,0.2469720095396042,0.24568822979927063,0.19858813285827637,0.2284766286611557,0.29047903418540955,0.25722774863243103,0.31416764855384827
.,0.475719153881073,0.4569662809371948,0.5934505462646484,0.33300134539604187,0.2628571093082428,0.5591574311256409,0.2714749276638031,0.4130953550338745
