,who,is,the,new,companion,for,the,10th,series,of,the,revival,?
the,0.3733934462070465,0.5823672413825989,1.0,0.3845241069793701,0.2540271282196045,0.4739971458911896,1.0,0.3098960816860199,0.31376904249191284,0.733189046382904,1.0,0.30452626943588257,0.22068053483963013
tenth,0.17883233726024628,0.25683972239494324,0.3562787175178528,0.2171998769044876,0.2689635753631592,0.19100718200206757,0.3562787175178528,0.5567778944969177,0.22845880687236786,0.2729830741882324,0.3562787175178528,0.1985497623682022,0.07833222299814224
series,0.21484537422657013,0.20355552434921265,0.31376904249191284,0.19748656451702118,0.2318148910999298,0.2715710699558258,0.31376904249191284,0.2567838728427887,1.0000001192092896,0.22268271446228027,0.31376904249191284,0.22159305214881897,0.1709602326154709
will,0.24651563167572021,0.3723262846469879,0.3635469079017639,0.2898024320602417,0.18123763799667358,0.3647450804710388,0.3635469079017639,0.30981937050819397,0.21185438334941864,0.2473582625389099,0.3635469079017639,0.12459969520568848,0.35046905279159546
introduce,0.2289908230304718,0.14672130346298218,0.22310380637645721,0.2873581051826477,0.20868858695030212,0.27405846118927,0.22310380637645721,0.13594719767570496,0.1801529973745346,0.2043139487504959,0.22310380637645721,0.19314903020858765,0.22698114812374115
pearl,0.14960716664791107,0.23317678272724152,0.2638548016548157,0.18166565895080566,0.09781645238399506,0.17888152599334717,0.2638548016548157,0.22378703951835632,0.1707819402217865,0.1909915655851364,0.2638548016548157,0.13812044262886047,0.1341327428817749
mackie,0.24978820979595184,0.125383660197258,0.22376243770122528,0.22321632504463196,0.12526847422122955,0.16477756202220917,0.22376243770122528,0.24287475645542145,0.25933870673179626,0.19708701968193054,0.22376243770122528,0.15391987562179565,0.10274796932935715
as,0.3923053741455078,0.43216490745544434,0.48381632566452026,0.24585270881652832,0.22577211260795593,0.44774648547172546,0.48381632566452026,0.24711208045482635,0.2641415596008301,0.3886612355709076,0.48381632566452026,0.18455035984516144,0.27043893933296204
bill,0.19545355439186096,0.16088230907917023,0.24155211448669434,0.20413362979888916,0.17014078795909882,0.1828024983406067,0.24155211448669434,0.19434888660907745,0.15863077342510223,0.17127205431461334,0.24155211448669434,0.08033464103937149,0.12855131924152374
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.36073189973831177,0.2139829695224762,0.4464869201183319,0.4933079481124878,0.26009640097618103,0.24060699343681335,0.4946078956127167,0.4933079481124878,0.2530691921710968,0.31091248989105225
the,0.3733934462070465,0.5823672413825989,1.0,0.3845241069793701,0.2540271282196045,0.4739971458911896,1.0,0.3098960816860199,0.31376904249191284,0.733189046382904,1.0,0.30452626943588257,0.22068053483963013
doctor,0.3504868149757385,0.19875872135162354,0.2820442318916321,0.12563565373420715,0.42781779170036316,0.1556548923254013,0.2820442318916321,0.32275664806365967,0.2712797522544861,0.16895952820777893,0.2820442318916321,0.13733609020709991,0.1462511420249939
's,0.05599616840481758,0.02396530658006668,-0.01540423184633255,-0.008355522528290749,-0.05183550715446472,-0.07241261005401611,-0.01540423184633255,0.11405115574598312,0.0006390819908119738,-0.03817026689648628,-0.01540423184633255,0.015062598511576653,-0.023395681753754616
newest,0.21858738362789154,0.2891984283924103,0.37123239040374756,0.3233802318572998,0.18656103312969208,0.23326364159584045,0.37123239040374756,0.20853184163570404,0.22912122309207916,0.31708672642707825,0.37123239040374756,0.21294575929641724,0.20957206189632416
traveling,0.2793048322200775,0.16917747259140015,0.2753162384033203,0.16713492572307587,0.3340437114238739,0.23135124146938324,0.2753162384033203,0.2386317402124405,0.15686027705669403,0.2297215312719345,0.2753162384033203,0.18741518259048462,0.09575265645980835
companion,0.28241121768951416,0.21143139898777008,0.2540271282196045,0.12030965834856033,1.0000001192092896,0.2176269292831421,0.2540271282196045,0.23084376752376556,0.2318148910999298,0.2278505116701126,0.2540271282196045,0.1847228854894638,0.14478090405464172
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.35031336545944214,0.1974223256111145,0.4726039469242096,0.5934505462646484,0.2944006323814392,0.3121925890445709,0.5352458953857422,0.5934505462646484,0.1816873699426651,0.4130953550338745
