,what,was,the,date,of,tesla,'s,death,?
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.21806180477142334,0.3966929316520691,0.16159376502037048,0.0026888418942689896,0.16915851831436157,0.2714994251728058
7,-0.1699475795030594,0.002381215337663889,-0.1142377033829689,-0.09097220748662949,-0.04983885586261749,-0.026343144476413727,0.09292176365852356,-0.13790561258792877,-0.15092156827449799
january,0.19257698953151703,0.3933098316192627,0.2467057853937149,0.17253874242305756,0.19923388957977295,0.13615937530994415,-0.08409902453422546,0.22563757002353668,0.28608936071395874
1943,-0.007620702963322401,0.12445774674415588,0.09359575062990189,-0.008076594211161137,0.13030758500099182,-0.028515523299574852,-0.013914006762206554,0.02566518820822239,-0.08025530725717545
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2279704213142395,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.2070959210395813,0.31091248989105225
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.24779295921325684,0.42558613419532776,0.16552478075027466,-0.08481216430664062,0.18045911192893982,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,1.0,0.25333094596862793,0.733189046382904,0.1324402391910553,-0.01540423184633255,0.21438048779964447,0.22068053483963013
age,0.1895245760679245,0.27072176337242126,0.24711290001869202,0.20479169487953186,0.2372717410326004,0.07816897332668304,0.004176773596554995,0.2655845880508423,0.16859300434589386
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.19568462669849396,1.0,0.18837453424930573,-0.03817026689648628,0.23778599500656128,0.1826142966747284
86,0.11274068057537079,0.09539933502674103,0.10089810192584991,0.191054105758667,0.17001870274543762,0.17388592660427094,-0.03938351199030876,0.015786485746502876,0.10934870690107346
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2279704213142395,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.2070959210395813,0.31091248989105225
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.08944534510374069,0.18837453424930573,0.9999999403953552,0.06449045985937119,0.11229380965232849,0.10250775516033173
died,0.11138711869716644,0.4570699632167816,0.18710990250110626,0.16299664974212646,0.25637882947921753,0.04018354043364525,-0.023391123861074448,0.49539607763290405,0.15254227817058563
alone,0.3431425094604492,0.17050841450691223,0.2769272029399872,0.16133710741996765,0.2295283079147339,0.07129799574613571,0.03210477530956268,0.15432794392108917,0.25589054822921753
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.21362407505512238,0.5696388483047485,0.17097744345664978,-0.037580832839012146,0.18743370473384857,0.20430970191955566
room,0.22132179141044617,0.18439160287380219,0.2031363844871521,0.09532030671834946,0.15195634961128235,0.19949762523174286,-0.019757287576794624,0.16175180673599243,0.1769251674413681
3327,0.13007882237434387,0.27114439010620117,0.27422818541526794,0.2601143419742584,0.2535433769226074,0.13183079659938812,-0.10138938575983047,0.16174159944057465,0.10917526483535767
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.19568462669849396,1.0,0.18837453424930573,-0.03817026689648628,0.23778599500656128,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.25333094596862793,0.733189046382904,0.1324402391910553,-0.01540423184633255,0.21438048779964447,0.22068053483963013
new,0.2130378633737564,0.2748313844203949,0.3845241069793701,0.18049058318138123,0.343457967042923,0.15999311208724976,-0.008355522528290749,0.14827294647693634,0.14782847464084625
yorker,0.19945427775382996,0.2750867009162903,0.2586967945098877,0.17786191403865814,0.2053903490304947,0.1643785536289215,-0.008092020638287067,0.2062736451625824,0.24605333805084229
hotel,0.12076243758201599,0.2647566497325897,0.22439035773277283,0.08929169923067093,0.1921118199825287,0.11258964985609055,-0.011970339342951775,0.11808138340711594,0.05846213921904564
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2508279085159302,0.5352458953857422,0.17949827015399933,-0.003708066651597619,0.24631039798259735,0.4130953550338745
