,vendobionta,lived,during,which,period,?
the,0.2823553681373596,0.2897515296936035,0.4838213622570038,0.6521818041801453,0.3125074505805969,0.22068053483963013
early,0.2915498912334442,0.36056917905807495,0.5124249458312988,0.29240089654922485,0.45666760206222534,0.15272949635982513
cambrian,0.3825007975101471,0.23364275693893433,0.2700192332267761,0.2521584630012512,0.36808332800865173,0.10118120908737183
sessile,0.3771281838417053,0.1292477697134018,0.13329806923866272,0.3339979946613312,0.151052787899971,0.15263627469539642
frond-like,0.41451457142829895,0.25064077973365784,0.2901534140110016,0.367762953042984,0.26089197397232056,0.2274358570575714
fossil,0.33708035945892334,0.18895664811134338,0.12550373375415802,0.2698579430580139,0.208723783493042,0.15712964534759521
stromatoveris,0.5313254594802856,0.20302174985408783,0.21547843515872955,0.3720264732837677,0.2544631063938141,0.18349947035312653
",",0.39037424325942993,0.32840919494628906,0.3225448727607727,0.3658004403114319,0.25030651688575745,0.31091248989105225
from,0.24511872231960297,0.23568588495254517,0.3186885714530945,0.38755592703819275,0.2558770775794983,0.19969791173934937
china,0.26166099309921265,0.21154749393463135,0.22539520263671875,0.2780199646949768,0.26020902395248413,0.18007943034172058
's,-0.009946389123797417,-0.020320259034633636,0.011294117197394371,0.03856118768453598,-0.05741342157125473,-0.023395681753754616
chengjiang,0.2895117700099945,0.20440779626369476,0.2000878006219864,0.22639970481395721,0.2572499215602875,0.2237432599067688
lagerstätte,0.3405757248401642,0.3170401155948639,0.23079809546470642,0.36526110768318176,0.2816799283027649,0.22385409474372864
and,0.29136335849761963,0.21143336594104767,0.36462149024009705,0.506277859210968,0.23878438770771027,0.20544172823429108
dated,0.13841795921325684,0.22301597893238068,0.12494326382875443,0.215279221534729,0.26204022765159607,0.215650275349617
to,0.22916287183761597,0.1957261860370636,0.2828781306743622,0.5345056653022766,0.24346192181110382,0.29463258385658264
about,0.1884048581123352,0.3297027349472046,0.2542499899864197,0.4059852957725525,0.24550940096378326,0.302409827709198
515,0.14975912868976593,0.12772095203399658,0.09982921183109283,0.3480222523212433,0.1051410660147667,0.06722166389226913
million,0.28996074199676514,0.2642839550971985,0.25557681918144226,0.30525195598602295,0.2544347047805786,0.23092924058437347
years,0.22628076374530792,0.36615729331970215,0.39110565185546875,0.23232990503311157,0.38214126229286194,0.1914375126361847
ago,0.202606201171875,0.3727011978626251,0.2538875341415405,0.2886715829372406,0.43160170316696167,0.2202194780111313
",",0.39037424325942993,0.32840919494628906,0.3225448727607727,0.3658004403114319,0.25030651688575745,0.31091248989105225
is,0.2432270646095276,0.25943079590797424,0.2240111529827118,0.4457404911518097,0.1838376820087433,0.22961433231830597
very,0.18891729414463043,0.20829863846302032,0.2775425314903259,0.46625974774360657,0.2422863394021988,0.20864155888557434
similar,0.2156803458929062,0.14544522762298584,0.18813791871070862,0.4783022403717041,0.20794083178043365,0.23309361934661865
to,0.22916287183761597,0.1957261860370636,0.2828781306743622,0.5345056653022766,0.24346192181110382,0.29463258385658264
vendobionta,0.9999998807907104,0.2526192367076874,0.23466505110263824,0.3090050518512726,0.1414925903081894,0.2536412179470062
of,0.2765115201473236,0.3103700876235962,0.3869180977344513,0.5011631846427917,0.2698146104812622,0.1826142966747284
the,0.2823553681373596,0.2897515296936035,0.4838213622570038,0.6521818041801453,0.3125074505805969,0.22068053483963013
preceding,0.14791882038116455,0.08351539075374603,0.27972161769866943,0.24573276937007904,0.304225355386734,0.18089358508586884
ediacaran,0.35253071784973145,0.2899084985256195,0.24592813849449158,0.3638371229171753,0.46356719732284546,0.2199965864419937
period,0.1414925903081894,0.31688356399536133,0.5020045042037964,0.31679004430770874,1.0,0.18706195056438446
.,0.35628005862236023,0.31328970193862915,0.3485563397407532,0.45942068099975586,0.2575049102306366,0.4130953550338745
