,who,had,worked,on,the,saturn,series,even,before,the,apollo,program,began,officially,?
before,0.31244513392448425,0.3737051784992218,0.229409322142601,0.3903424143791199,0.45900648832321167,0.1526126265525818,0.21948973834514618,0.38782286643981934,1.0,0.45900648832321167,0.19988717138767242,0.1958073377609253,0.41076338291168213,0.3503444790840149,0.2507109045982361
the,0.3733934462070465,0.3875846862792969,0.22615844011306763,0.5107308030128479,1.0,0.24189656972885132,0.31376904249191284,0.37996912002563477,0.45900648832321167,1.0,0.2169172167778015,0.22986935079097748,0.3059147596359253,0.36343514919281006,0.22068053483963013
apollo,0.19149452447891235,0.19647769629955292,0.1244148313999176,0.16069947183132172,0.2169172167778015,0.391809344291687,0.18675151467323303,0.1741388589143753,0.19988717138767242,0.2169172167778015,0.9999999403953552,0.3344622850418091,0.15099135041236877,0.06920044124126434,0.191528782248497
program,0.2097788155078888,0.1725565642118454,0.2180107682943344,0.23327119648456573,0.22986935079097748,0.21621471643447876,0.27202239632606506,0.24664244055747986,0.1958073377609253,0.22986935079097748,0.3344622850418091,1.0,0.21812832355499268,0.22779355943202972,0.1440187245607376
began,0.1646115779876709,0.3872743248939514,0.36744701862335205,0.29460400342941284,0.3059147596359253,0.14907284080982208,0.2237756997346878,0.18977108597755432,0.41076338291168213,0.3059147596359253,0.15099135041236877,0.21812832355499268,1.0,0.2932946979999542,0.1370266228914261
",",0.3365725874900818,0.35487717390060425,0.31017279624938965,0.49057599902153015,0.4933079481124878,0.22104106843471527,0.24060699343681335,0.34610581398010254,0.3156566619873047,0.4933079481124878,0.19808128476142883,0.17760658264160156,0.2705576717853546,0.27735915780067444,0.31091248989105225
wernher,0.32433751225471497,0.34035566449165344,0.309963196516037,0.25961700081825256,0.33223649859428406,0.27695438265800476,0.2214098572731018,0.24124526977539062,0.21332526206970215,0.33223649859428406,0.23795545101165771,0.21832875907421112,0.21583375334739685,0.1640337109565735,0.25120455026626587
von,0.1834137886762619,0.20912496745586395,0.18722473084926605,0.13431416451931,0.21817399561405182,0.16834835708141327,0.16965919733047485,0.11507570743560791,0.14146184921264648,0.21817399561405182,0.16662271320819855,0.13230536878108978,0.113494873046875,0.11650162190198898,0.13907472789287567
braun,0.25198039412498474,0.2467532455921173,0.24931368231773376,0.19758519530296326,0.18706366419792175,0.2721514105796814,0.17739449441432953,0.1777787208557129,0.24810227751731873,0.18706366419792175,0.17485997080802917,0.17811401188373566,0.15607957541942596,0.12399718910455704,0.2169470489025116
and,0.41279885172843933,0.3872550129890442,0.3093699514865875,0.4077630043029785,0.5171257257461548,0.18160289525985718,0.26972857117652893,0.4625037908554077,0.3518902659416199,0.5171257257461548,0.15251155197620392,0.24895258247852325,0.3021392226219177,0.18821144104003906,0.20544172823429108
his,0.44966956973075867,0.4401516616344452,0.3404390513896942,0.32064297795295715,0.4394008219242096,0.1780945211648941,0.23445890843868256,0.2842361330986023,0.358011394739151,0.4394008219242096,0.22865809500217438,0.13115361332893372,0.34144559502601624,0.1938343346118927,0.18075084686279297
team,0.22248858213424683,0.11808160692453384,0.14816822111606598,0.13870710134506226,0.22564226388931274,0.15382136404514313,0.19255612790584564,0.1446303427219391,0.19962456822395325,0.22564226388931274,0.1434536576271057,0.2466873824596405,0.10451414436101913,0.19295331835746765,0.11243411153554916
