,what,is,the,total,cost,of,attendance,in,2012-13,?
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.18924455344676971,0.2728281319141388,0.4185989499092102,0.23555876314640045,0.4322226941585541,0.01824849843978882,0.264628142118454
the,0.42745697498321533,0.5823672413825989,1.0,0.27068960666656494,0.23177006840705872,0.733189046382904,0.24430257081985474,0.6662389636039734,-0.028053246438503265,0.22068053483963013
2012–13,0.05813507363200188,0.0929717868566513,0.11089484393596649,0.06970120221376419,-0.019928796216845512,0.11376205831766129,0.0689690113067627,0.10316885262727737,0.12485658377408981,0.04792358726263046
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.07285668700933456,0.19186575710773468,0.2391800880432129,0.3367999494075775,0.26157811284065247,0.17712286114692688,0.15091250836849213
year,0.15184831619262695,0.2402215600013733,0.3609684407711029,0.19080977141857147,0.23495396971702576,0.2578314542770386,0.3373371362686157,0.3359307050704956,-0.03967979922890663,0.18315006792545319
annual,0.14798973500728607,0.20538382232189178,0.2958983778953552,0.22310800850391388,0.2190229594707489,0.29535046219825745,0.3422849774360657,0.2557781934738159,-0.0875059962272644,0.1083487942814827
tuition,0.2307644784450531,0.20473599433898926,0.22994613647460938,0.23267926275730133,0.4304608702659607,0.28940895199775696,0.36142757534980774,0.24434132874011993,0.11959981918334961,0.2023361474275589
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.14069223403930664,0.23827089369297028,0.4069072902202606,0.2547641396522522,0.45514053106307983,0.00189291313290596,0.18412111699581146
$,0.24858909845352173,0.14577937126159668,0.23367542028427124,0.3233705759048462,0.5133980512619019,0.11268499493598938,0.29526665806770325,0.21616753935813904,0.058676689863204956,0.2786129117012024
"38,000",0.0315820537507534,0.09497345983982086,0.1719413697719574,-0.04494675621390343,-0.040461465716362,0.23762427270412445,0.02175966091454029,0.146682009100914,0.13180330395698547,0.09688519686460495
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.25815486907958984,0.20970560610294342,0.4946078956127167,0.21375972032546997,0.5201468467712402,0.16629858314990997,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.1768326759338379,0.2314605861902237,0.41827285289764404,0.14975334703922272,0.4080928862094879,0.053166646510362625,0.2433311939239502
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.20922091603279114,0.21993719041347504,0.5052502155303955,0.2142871916294098,0.539380669593811,0.008951177820563316,0.23916715383529663
total,0.19850242137908936,0.18159881234169006,0.27068960666656494,0.9999999403953552,0.28297531604766846,0.29045331478118896,0.29226502776145935,0.27667245268821716,0.00585903087630868,0.14396025240421295
cost,0.210266575217247,0.21065181493759155,0.23177006840705872,0.28297531604766846,1.0000001192092896,0.23332229256629944,0.2772159278392792,0.25200018286705017,0.02482232265174389,0.17823095619678497
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.29045331478118896,0.23332229256629944,1.0,0.19119514524936676,0.5696388483047485,0.012305482290685177,0.1826142966747284
attendance,0.13257066905498505,0.15755556523799896,0.24430257081985474,0.29226502776145935,0.2772159278392792,0.19119514524936676,1.0,0.21457518637180328,-0.009281041100621223,0.16877901554107666
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.29045331478118896,0.23332229256629944,1.0,0.19119514524936676,0.5696388483047485,0.012305482290685177,0.1826142966747284
$,0.24858909845352173,0.14577937126159668,0.23367542028427124,0.3233705759048462,0.5133980512619019,0.11268499493598938,0.29526665806770325,0.21616753935813904,0.058676689863204956,0.2786129117012024
"57,000",0.043694108724594116,0.06631792336702347,0.06294745206832886,-0.008298243395984173,-0.020733840763568878,0.10632848739624023,-0.08410164713859558,-0.03907134011387825,-0.1913899928331375,0.14487920701503754
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2295650690793991,0.26134178042411804,0.5352458953857422,0.21528112888336182,0.5591574311256409,0.08756411820650101,0.4130953550338745
