,article,34,meant,states,could,be,responsible,for,what,?
it,0.40533560514450073,0.01046333834528923,0.3288165032863617,0.3072223365306854,0.329755574464798,0.5203388929367065,0.185812309384346,0.32171204686164856,0.45803478360176086,0.25732165575027466
also,0.28398406505584717,-0.02947545051574707,0.35138341784477234,0.2941293716430664,0.42194491624832153,0.48342031240463257,0.2941048741340637,0.5373267531394958,0.42747777700424194,0.21848613023757935
means,0.18343797326087952,0.13375261425971985,0.4938061237335205,0.15696607530117035,0.31422117352485657,0.33581557869911194,0.20766063034534454,0.3294552266597748,0.2553325295448303,0.21233566105365753
states,0.244107186794281,-0.02119952067732811,0.21811893582344055,1.0,0.2124703973531723,0.24637973308563232,0.23993539810180664,0.2496437132358551,0.21526020765304565,0.16272737085819244
can,0.3214142918586731,0.08795975893735886,0.3494539260864258,0.18360939621925354,0.6550644040107727,0.5791122913360596,0.164336159825325,0.35690054297447205,0.34502777457237244,0.3226337134838104
be,0.4253923296928406,0.04806789755821228,0.39838457107543945,0.24637973308563232,0.4791525900363922,1.0,0.22857405245304108,0.3801851272583008,0.3929833769798279,0.3324260413646698
responsible,0.12815281748771667,-0.10672636330127716,0.2786797285079956,0.23993539810180664,0.17091885209083557,0.22857405245304108,1.0,0.35061514377593994,0.26869386434555054,0.11367333680391312
for,0.31357312202453613,0.014557922258973122,0.375589519739151,0.2496437132358551,0.3405117690563202,0.3801851272583008,0.35061514377593994,0.9999999403953552,0.3017193675041199,0.264628142118454
private,0.11464355140924454,0.009430794045329094,0.15958178043365479,0.2793917953968048,0.18458375334739685,0.1834806501865387,0.24174104630947113,0.22242696583271027,0.16778090596199036,0.14389030635356903
actors,0.19006939232349396,0.08551648259162903,0.12089990079402924,0.22959227859973907,0.16222167015075684,0.21322345733642578,0.12409321218729019,0.25254231691360474,0.19468875229358673,0.16258424520492554
.,0.30669885873794556,0.013581615872681141,0.26877450942993164,0.33941102027893066,0.3200591504573822,0.4383580684661865,0.2309054434299469,0.4726039469242096,0.3567904531955719,0.4130953550338745
