,what,happened,to,his,lab,?
[,0.010752761736512184,0.15404391288757324,0.07649242132902145,0.07722601294517517,0.09035921841859818,0.011015460826456547
citation,0.26448965072631836,0.11941691488027573,0.2558228075504303,0.2327781468629837,0.056308116763830185,0.3382055461406708
needed,0.3631289601325989,0.22455766797065735,0.45002421736717224,0.1912635713815689,0.21957527101039886,0.2863257825374603
],-0.03775298595428467,0.024638747796416283,-0.04249158129096031,-0.008013250306248665,0.0282443817704916,-0.0022520492784678936
his,0.26976513862609863,0.21838653087615967,0.3715193271636963,0.9999998807907104,0.19110973179340363,0.18075084686279297
lab,0.20529143512248993,0.1185835525393486,0.22717534005641937,0.19110973179340363,1.0,0.15959888696670532
was,0.22111038863658905,0.36671528220176697,0.3636345863342285,0.4405253231525421,0.22224277257919312,0.18412111699581146
torn,0.21371328830718994,0.30257463455200195,0.18432354927062988,0.2515830099582672,0.12264777719974518,0.13564015924930573
down,0.26226112246513367,0.24978084862232208,0.33130598068237305,0.21882498264312744,0.13741980493068695,0.13836295902729034
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.3598145842552185,0.19344905018806458,0.20430970191955566
1904,0.09251865744590759,0.1596326231956482,0.0796782374382019,0.1009378507733345,0.03465966507792473,0.1387721598148346
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.3378419280052185,0.1915702074766159,0.31091248989105225
and,0.31309178471565247,0.22602374851703644,0.48971283435821533,0.4234102666378021,0.2452252358198166,0.20544172823429108
its,0.30393704771995544,0.2258307784795761,0.3691340684890747,0.37344956398010254,0.11606563627719879,0.15103481709957123
contents,0.33944907784461975,0.15754470229148865,0.2691158354282379,0.17085948586463928,0.15935184061527252,0.3202747702598572
were,0.22298263013362885,0.34330758452415466,0.31913647055625916,0.3142043352127075,0.12855634093284607,0.17890112102031708
sold,0.16570822894573212,0.17355355620384216,0.17380841076374054,0.21726791560649872,0.2136867642402649,0.14943712949752808
two,0.23363454639911652,0.3139728307723999,0.3343428373336792,0.3376699388027191,0.17766568064689636,0.19645625352859497
years,0.1981470286846161,0.3024853467941284,0.23891852796077728,0.3523389995098114,0.1648714691400528,0.1914375126361847
later,0.2517229914665222,0.3313152492046356,0.393297016620636,0.4538118839263916,0.2774299681186676,0.1417175978422165
to,0.455847829580307,0.2299996316432953,1.0,0.3715193271636963,0.22717534005641937,0.29463258385658264
satisfy,0.3083791434764862,0.1271442174911499,0.26903554797172546,0.17337074875831604,0.17966043949127197,0.29956161975860596
a,0.3320399522781372,0.2774496078491211,0.45503583550453186,0.3497250974178314,0.19764700531959534,0.23916715383529663
debt,0.2230634093284607,0.23212681710720062,0.2523629069328308,0.23592530190944672,0.08957814425230026,0.14442241191864014
.,0.3567904531955719,0.29012542963027954,0.4645031690597534,0.3119256794452667,0.2572387754917145,0.4130953550338745
