,what,does,the,w,and,z,boson,exchange,create,?
the,0.42745697498321533,0.35928019881248474,1.0,0.18130412697792053,0.5171257257461548,0.17444150149822235,0.2031402587890625,0.2543705105781555,0.25265660881996155,0.22068053483963013
weak,0.2838204503059387,0.3004400134086609,0.19635674357414246,0.15400397777557373,0.29467102885246277,0.13676747679710388,0.3147336542606354,0.18414010107517242,0.1972968876361847,0.1458035111427307
force,0.16915984451770782,0.21141281723976135,0.2800885736942291,0.16136422753334045,0.24372100830078125,0.2151256501674652,0.36097222566604614,0.17875386774539948,0.22906844317913055,0.1650998443365097
is,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.13304269313812256,0.3859752118587494,0.14599581062793732,0.21071606874465942,0.19539384543895721,0.2645336091518402,0.22961433231830597
due,0.15204688906669617,0.20878952741622925,0.22577603161334991,0.13370122015476227,0.3082410395145416,0.06772618740797043,0.1978803426027298,0.15948736667633057,0.17298345267772675,0.10954997688531876
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.16548937559127808,0.48971283435821533,0.14101378619670868,0.2203739881515503,0.20507046580314636,0.41124165058135986,0.29463258385658264
the,0.42745697498321533,0.35928019881248474,1.0,0.18130412697792053,0.5171257257461548,0.17444150149822235,0.2031402587890625,0.2543705105781555,0.25265660881996155,0.22068053483963013
exchange,0.11323627829551697,0.19261442124843597,0.2543705105781555,0.11781100183725357,0.23130671679973602,0.11057253926992416,0.21259519457817078,1.0000001192092896,0.1385089010000229,0.048212938010692596
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.18087176978588104,0.5116966962814331,0.15415705740451813,0.1936337798833847,0.23548997938632965,0.23675619065761566,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.18130412697792053,0.5171257257461548,0.17444150149822235,0.2031402587890625,0.2543705105781555,0.25265660881996155,0.22068053483963013
heavy,0.19175288081169128,0.19022753834724426,0.2532151937484741,0.19905105233192444,0.3313291370868683,0.20772768557071686,0.2606436014175415,0.08527717739343643,0.1353358030319214,0.16717074811458588
w,0.16348901391029358,0.13666754961013794,0.18130412697792053,0.9999999403953552,0.2305305004119873,0.3465586006641388,0.2822456359863281,0.11781100183725357,0.13209088146686554,0.1479405164718628
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.2305305004119873,1.0,0.16202889382839203,0.19991996884346008,0.23130671679973602,0.290901243686676,0.20544172823429108
z,0.17339621484279633,0.1529037207365036,0.17444150149822235,0.3465586006641388,0.16202889382839203,1.0,0.3199060559272766,0.11057253926992416,0.19573865830898285,0.26213106513023376
bosons,0.2764873802661896,0.24769136309623718,0.21860371530056,0.3261982202529907,0.23966842889785767,0.3833610713481903,0.9028756618499756,0.22748838365077972,0.21494926512241364,0.20861397683620453
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.2951887845993042,0.588965117931366,0.26772791147232056,0.20664599537849426,0.14290252327919006,0.2916513681411743,0.4130953550338745
