,which,group,has,young,that,are,born,with,no,tentacles,and,a,large,mouth,?
the,0.6521818041801453,0.30795547366142273,0.4177538752555847,0.2729646563529968,0.5473989248275757,0.40399202704429626,0.19202874600887299,0.4223487675189972,0.3461136817932129,0.24109509587287903,0.5171257257461548,0.5829201340675354,0.3828733265399933,0.3073960244655609,0.22068053483963013
exceptions,0.3444182276725769,0.17006805539131165,0.2670474648475647,0.22623221576213837,0.385265976190567,0.486182302236557,0.08951016515493393,0.31604060530662537,0.28026536107063293,0.28343847393989563,0.32422664761543274,0.2269548624753952,0.20863665640354156,0.17700617015361786,0.17539265751838684
are,0.42922598123550415,0.35980498790740967,0.4313911199569702,0.21606162190437317,0.45265161991119385,1.0,0.06945689767599106,0.38996943831443787,0.2432553917169571,0.3209848701953888,0.48576638102531433,0.265255331993103,0.3467932939529419,0.20501531660556793,0.24591213464736938
the,0.6521818041801453,0.30795547366142273,0.4177538752555847,0.2729646563529968,0.5473989248275757,0.40399202704429626,0.19202874600887299,0.4223487675189972,0.3461136817932129,0.24109509587287903,0.5171257257461548,0.5829201340675354,0.3828733265399933,0.3073960244655609,0.22068053483963013
beroids,0.25427964329719543,0.30248191952705383,0.15019048750400543,0.14087003469467163,0.2788164019584656,0.35556328296661377,0.05797679349780083,0.24284963309764862,0.1848316490650177,0.3984718322753906,0.2475491464138031,0.23724429309368134,0.201179638504982,0.22253993153572083,0.2394029200077057
",",0.3658004403114319,0.2809832692146301,0.3734780251979828,0.2606840431690216,0.4137537479400635,0.4062570035457611,0.37898433208465576,0.4120737314224243,0.29972612857818604,0.2031479775905609,0.6633074283599854,0.427140474319458,0.2263888567686081,0.24378812313079834,0.31091248989105225
whose,0.37205496430397034,0.2421058714389801,0.2824438214302063,0.31300821900367737,0.3740115463733673,0.2854825556278229,0.15693461894989014,0.3480498492717743,0.19352777302265167,0.26132941246032715,0.3339773118495941,0.3225097060203552,0.2222863733768463,0.17183472216129303,0.16990536451339722
young,0.19934482872486115,0.2389698475599289,0.11355983465909958,1.0,0.244308739900589,0.21606162190437317,0.2880907952785492,0.17333492636680603,0.166573166847229,0.22985906898975372,0.30018550157546997,0.2628135085105896,0.21496035158634186,0.19878607988357544,0.14931946992874146
are,0.42922598123550415,0.35980498790740967,0.4313911199569702,0.21606162190437317,0.45265161991119385,1.0,0.06945689767599106,0.38996943831443787,0.2432553917169571,0.3209848701953888,0.48576638102531433,0.265255331993103,0.3467932939529419,0.20501531660556793,0.24591213464736938
miniature,0.28215423226356506,0.1107347384095192,0.1879633069038391,0.29701995849609375,0.2248244285583496,0.2800735831260681,0.061177320778369904,0.20383818447589874,0.13278992474079132,0.2573879361152649,0.23420128226280212,0.2812286615371704,0.3177366554737091,0.13202941417694092,0.19538070261478424
beroids,0.25427964329719543,0.30248191952705383,0.15019048750400543,0.14087003469467163,0.2788164019584656,0.35556328296661377,0.05797679349780083,0.24284963309764862,0.1848316490650177,0.3984718322753906,0.2475491464138031,0.23724429309368134,0.201179638504982,0.22253993153572083,0.2394029200077057
with,0.46403205394744873,0.23998425900936127,0.44092974066734314,0.17333492636680603,0.4154358208179474,0.38996943831443787,0.11715008318424225,0.9999999403953552,0.24678650498390198,0.22586162388324738,0.5477725267410278,0.3783375024795532,0.26124298572540283,0.19102531671524048,0.2433311939239502
large,0.46308431029319763,0.23502057790756226,0.2609269917011261,0.21496035158634186,0.34200385212898254,0.3467932939529419,0.10047917813062668,0.26124298572540283,0.18730458617210388,0.32552456855773926,0.3404269814491272,0.3740714490413666,1.0000001192092896,0.18777331709861755,0.1355665624141693
mouths,0.32399681210517883,0.08521196991205215,0.16161471605300903,0.30533820390701294,0.276650607585907,0.32796818017959595,0.09058137983083725,0.19259434938430786,0.1794586181640625,0.5232188701629639,0.26721879839897156,0.2166033387184143,0.3102795481681824,0.779332160949707,0.23623421788215637
and,0.506277859210968,0.3510662019252777,0.43716782331466675,0.30018550157546997,0.4731321930885315,0.48576638102531433,0.25002726912498474,0.5477725267410278,0.25880882143974304,0.24069741368293762,1.0,0.3739250600337982,0.3404269814491272,0.2073371261358261,0.20544172823429108
no,0.32479003071784973,0.17740367352962494,0.2747333347797394,0.166573166847229,0.41830796003341675,0.2432553917169571,0.1063811257481575,0.24678650498390198,1.0,0.14498473703861237,0.25880882143974304,0.26280897855758667,0.18730458617210388,0.17725268006324768,0.32165053486824036
tentacles,0.3532736003398895,0.214401513338089,0.22341179847717285,0.22985906898975372,0.2598695456981659,0.3209848701953888,0.05997433885931969,0.22586162388324738,0.14498473703861237,0.9999999403953552,0.24069741368293762,0.22963744401931763,0.32552456855773926,0.43605345487594604,0.15145425498485565
",",0.3658004403114319,0.2809832692146301,0.3734780251979828,0.2606840431690216,0.4137537479400635,0.4062570035457611,0.37898433208465576,0.4120737314224243,0.29972612857818604,0.2031479775905609,0.6633074283599854,0.427140474319458,0.2263888567686081,0.24378812313079834,0.31091248989105225
and,0.506277859210968,0.3510662019252777,0.43716782331466675,0.30018550157546997,0.4731321930885315,0.48576638102531433,0.25002726912498474,0.5477725267410278,0.25880882143974304,0.24069741368293762,1.0,0.3739250600337982,0.3404269814491272,0.2073371261358261,0.20544172823429108
the,0.6521818041801453,0.30795547366142273,0.4177538752555847,0.2729646563529968,0.5473989248275757,0.40399202704429626,0.19202874600887299,0.4223487675189972,0.3461136817932129,0.24109509587287903,0.5171257257461548,0.5829201340675354,0.3828733265399933,0.3073960244655609,0.22068053483963013
platyctenids,0.33349373936653137,0.26683470606803894,0.1657487154006958,0.28712698817253113,0.2573326826095581,0.3534345328807831,0.1561841070652008,0.1969480812549591,0.21276900172233582,0.5134090185165405,0.26407063007354736,0.23604422807693481,0.3236618638038635,0.32288533449172974,0.1917940229177475
",",0.3658004403114319,0.2809832692146301,0.3734780251979828,0.2606840431690216,0.4137537479400635,0.4062570035457611,0.37898433208465576,0.4120737314224243,0.29972612857818604,0.2031479775905609,0.6633074283599854,0.427140474319458,0.2263888567686081,0.24378812313079834,0.31091248989105225
whose,0.37205496430397034,0.2421058714389801,0.2824438214302063,0.31300821900367737,0.3740115463733673,0.2854825556278229,0.15693461894989014,0.3480498492717743,0.19352777302265167,0.26132941246032715,0.3339773118495941,0.3225097060203552,0.2222863733768463,0.17183472216129303,0.16990536451339722
young,0.19934482872486115,0.2389698475599289,0.11355983465909958,1.0,0.244308739900589,0.21606162190437317,0.2880907952785492,0.17333492636680603,0.166573166847229,0.22985906898975372,0.30018550157546997,0.2628135085105896,0.21496035158634186,0.19878607988357544,0.14931946992874146
