,what,was,the,white,population,of,jacksonville,as,of,2010,?
the,0.42745697498321533,0.48711544275283813,1.0,0.25492873787879944,0.32044094800949097,0.733189046382904,0.2176690250635147,0.48381632566452026,0.733189046382904,0.31722962856292725,0.22068053483963013
city,0.17493832111358643,0.3188765048980713,0.35769423842430115,0.1163313239812851,0.4607829749584198,0.32503411173820496,0.3285287022590637,0.21195319294929504,0.32503411173820496,0.20585815608501434,0.13423943519592285
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.024444883689284325,0.012951160781085491,-0.03817026689648628,0.02280956320464611,-0.05775856226682663,-0.03817026689648628,0.05135534703731537,-0.023395681753754616
most,0.3219912350177765,0.29933857917785645,0.47635307908058167,0.18841826915740967,0.21684317290782928,0.4178851246833801,0.17340192198753357,0.3548237979412079,0.4178851246833801,0.25009140372276306,0.2107497900724411
populous,0.18190032243728638,0.2991420030593872,0.3307441174983978,0.10301875323057175,0.6115639805793762,0.3670322299003601,0.18346840143203735,0.18443138897418976,0.3670322299003601,0.2763439416885376,0.1949436515569687
ethnic,0.23053161799907684,0.14180785417556763,0.2494550496339798,0.2082437127828598,0.4035727381706238,0.2623131573200226,0.1758783906698227,0.20154036581516266,0.2623131573200226,0.37852799892425537,0.1578492373228073
group,0.2114069163799286,0.1789962202310562,0.30795547366142273,0.22607484459877014,0.20475351810455322,0.25542253255844116,0.17437711358070374,0.2519444227218628,0.25542253255844116,0.256666362285614,0.13827809691429138
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.27337658405303955,0.2967977225780487,0.4946078956127167,0.2837527096271515,0.48816442489624023,0.4946078956127167,0.24006164073944092,0.31091248989105225
non-hispanic,0.21761424839496613,0.23092463612556458,0.282532662153244,0.3420690596103668,0.28485289216041565,0.2628316283226013,0.2493886500597,0.24969157576560974,0.2628316283226013,0.23898153007030487,0.29196813702583313
white,0.1410645991563797,0.17150278389453888,0.25492873787879944,1.0,0.14588037133216858,0.23826628923416138,0.18492674827575684,0.22857752442359924,0.23826628923416138,0.16832806169986725,0.124679796397686
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.27337658405303955,0.2967977225780487,0.4946078956127167,0.2837527096271515,0.48816442489624023,0.4946078956127167,0.24006164073944092,0.31091248989105225
declined,0.21339869499206543,0.26983681321144104,0.2764727771282196,0.14078640937805176,0.2452540546655655,0.205408975481987,0.12681648135185242,0.2829371988773346,0.205408975481987,0.17569954693317413,0.17974776029586792
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.17180411517620087,0.22323650121688843,0.4249346852302551,0.20407649874687195,0.3251767158508301,0.4249346852302551,0.21823202073574066,0.19969791173934937
75.8,0.0329553596675396,0.08215828239917755,0.07336217164993286,-0.09002869576215744,0.04564042016863823,0.05966702848672867,0.0760115310549736,0.04952596127986908,0.05966702848672867,0.13537637889385223,-0.00024720843066461384
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.2641136050224304,0.4585210084915161,0.19953428208827972,0.14513275027275085,0.11994056403636932,0.19953428208827972,0.26349833607673645,0.21441808342933655
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.1821274310350418,0.3268454372882843,0.5696388483047485,0.22147351503372192,0.3887844979763031,0.5696388483047485,0.2692960798740387,0.20430970191955566
1970,-0.04533620923757553,0.08790356665849686,0.013761552982032299,0.053118910640478134,0.056061290204524994,0.12830553948879242,0.09801042824983597,0.012811446562409401,0.12830553948879242,0.09833626449108124,-0.007446378003805876
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.23700939118862152,0.19776633381843567,0.41548454761505127,0.1994343250989914,0.42092081904411316,0.41548454761505127,0.3413967490196228,0.29463258385658264
55.1,-0.26216045022010803,-0.003150586737319827,-0.13924835622310638,0.04505250230431557,-0.1743176281452179,-0.1988164484500885,0.16525503993034363,-0.10943053662776947,-0.1988164484500885,-0.24458318948745728,-0.20781205594539642
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.2641136050224304,0.4585210084915161,0.19953428208827972,0.14513275027275085,0.11994056403636932,0.19953428208827972,0.26349833607673645,0.21441808342933655
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.2015680968761444,0.17143253982067108,0.3646814823150635,0.15927588939666748,0.3815547823905945,0.3646814823150635,0.20458245277404785,0.17966607213020325
2010,0.2741409242153168,0.23825319111347198,0.31722962856292725,0.16832806169986725,0.27324092388153076,0.26419875025749207,0.09565681219100952,0.27911683917045593,0.26419875025749207,1.0000001192092896,0.21232788264751434
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2806001901626587,0.26950228214263916,0.5352458953857422,0.2843366861343384,0.515582263469696,0.5352458953857422,0.26320725679397583,0.4130953550338745
