,aside,from,oxides,",",what,other,compounds,comprise,a,large,portion,of,the,earth,'s,crust,?
the,0.3075125813484192,0.40150508284568787,0.15098689496517181,0.4933079481124878,0.42745697498321533,0.44152235984802246,0.18294313549995422,0.30294761061668396,0.5829201340675354,0.3828733265399933,0.42017096281051636,0.733189046382904,1.0,0.2801888585090637,-0.01540423184633255,0.22538691759109497,0.22068053483963013
rest,0.3129348158836365,0.25913378596305847,0.14039301872253418,0.3065745532512665,0.35225364565849304,0.3808116614818573,0.154058039188385,0.23984040319919586,0.2692912518978119,0.23692086338996887,0.4326570928096771,0.33621829748153687,0.41330549120903015,0.17760814726352692,0.04253825545310974,0.12902164459228516,0.1725541204214096
of,0.257830947637558,0.4249346852302551,0.19486629962921143,0.4946078956127167,0.33290785551071167,0.38583824038505554,0.232599675655365,0.37900012731552124,0.5052502155303955,0.3569655418395996,0.31845465302467346,1.0,0.733189046382904,0.2329314798116684,-0.03817026689648628,0.21774794161319733,0.1826142966747284
the,0.3075125813484192,0.40150508284568787,0.15098689496517181,0.4933079481124878,0.42745697498321533,0.44152235984802246,0.18294313549995422,0.30294761061668396,0.5829201340675354,0.3828733265399933,0.42017096281051636,0.733189046382904,1.0,0.2801888585090637,-0.01540423184633255,0.22538691759109497,0.22068053483963013
earth,0.13713699579238892,0.1997482180595398,0.3308538794517517,0.23186853528022766,0.25883176922798157,0.2531087100505829,0.28153911232948303,0.08078092336654663,0.21121151745319366,0.1998281329870224,0.1612396389245987,0.2329314798116684,0.2801888585090637,1.0,0.0661235973238945,0.52252197265625,0.17717236280441284
's,-0.01703127659857273,-0.01936490088701248,-0.002461931901052594,-0.0016132977325469255,0.02692362666130066,0.04445967823266983,-0.04443596675992012,0.014575175009667873,0.04866964742541313,0.06319566071033478,-0.014645480550825596,-0.03817026689648628,-0.01540423184633255,0.0661235973238945,0.9999999403953552,-0.01568504609167576,-0.023395681753754616
crust,0.14385882019996643,0.20697827637195587,0.4417768120765686,0.2004449963569641,0.22092486917972565,0.20568226277828217,0.3115813136100769,0.21931257843971252,0.17277196049690247,0.25298574566841125,0.26369547843933105,0.21774794161319733,0.22538691759109497,0.52252197265625,-0.01568504609167576,1.0000001192092896,0.1887258142232895
is,0.28022003173828125,0.27355384826660156,0.2404932975769043,0.4691906273365021,0.28837618231773376,0.25895947217941284,0.2659003734588623,0.3045743703842163,0.658733606338501,0.2971126437187195,0.317487508058548,0.4854315221309662,0.5823672413825989,0.26888176798820496,0.02396530658006668,0.2493407428264618,0.22961433231830597
also,0.37326154112815857,0.33783096075057983,0.2881026268005371,0.4717654287815094,0.42747777700424194,0.5326101183891296,0.34328946471214294,0.20495596528053284,0.5149940252304077,0.3829352557659149,0.2719815671443939,0.4924938678741455,0.6021018624305725,0.21414029598236084,-0.0014726108638569713,0.1908596307039261,0.21848613023757935
made,0.1604662388563156,0.23003742098808289,0.2796964943408966,0.32507219910621643,0.23419176042079926,0.2986699640750885,0.27201929688453674,0.19509050250053406,0.3180864453315735,0.19187776744365692,0.14484000205993652,0.33167365193367004,0.3885267674922943,0.17133480310440063,0.08483956009149551,0.178139328956604,0.17218779027462006
