,warsaw,'s,sidewalks,and,sanitation,facilities,are,some,examples,of,things,which,have,what,?
in,0.22642600536346436,-0.037580832839012146,0.24644526839256287,0.4954058527946472,0.29375481605529785,0.2149869203567505,0.3841303884983063,0.4010399878025055,0.25567561388015747,0.5696388483047485,0.2694495618343353,0.4840516746044159,0.36843645572662354,0.30808621644973755,0.20430970191955566
particular,0.13922783732414246,0.004080382641404867,0.2511610984802246,0.29526737332344055,0.20756416022777557,0.1961909681558609,0.3587656319141388,0.49067193269729614,0.3863024115562439,0.3490585684776306,0.34579020738601685,0.5626340508460999,0.42146068811416626,0.4548671245574951,0.2741454839706421
",",0.25300899147987366,-0.0016132977325469255,0.1945955902338028,0.6633074283599854,0.3074692487716675,0.21444764733314514,0.4062570035457611,0.42400437593460083,0.2687304615974426,0.4946078956127167,0.3149048686027527,0.3658004403114319,0.3541618287563324,0.3087472915649414,0.31091248989105225
the,0.23137180507183075,-0.01540423184633255,0.27511999011039734,0.5171257257461548,0.2349284142255783,0.19172798097133636,0.40399202704429626,0.4566698372364044,0.30092597007751465,0.733189046382904,0.30825191736221313,0.6521818041801453,0.40389683842658997,0.42745697498321533,0.22068053483963013
city,0.25006377696990967,0.004406440537422895,0.20829561352729797,0.2827445864677429,0.19217176735401154,0.21593722701072693,0.19493703544139862,0.1744091510772705,0.13658078014850616,0.32503411173820496,0.12922915816307068,0.22264601290225983,0.154191792011261,0.17493832111358643,0.13423943519592285
's,0.02839025668799877,0.9999999403953552,-0.013479630462825298,0.06895173341035843,0.02910071797668934,0.023276466876268387,-0.008927806280553341,0.056411296129226685,-0.04718343913555145,-0.03817026689648628,0.05455666407942772,0.03856118768453598,-0.02807004563510418,0.02692362666130066,-0.023395681753754616
metro,0.25835585594177246,0.0579783171415329,0.1672159880399704,0.20572388172149658,0.2086407095193863,0.2509065568447113,0.1307276040315628,0.10558877140283585,0.061814479529857635,0.1791107952594757,0.08261722326278687,0.17972806096076965,0.11049845069646835,0.11200546473264694,0.15922676026821136
",",0.25300899147987366,-0.0016132977325469255,0.1945955902338028,0.6633074283599854,0.3074692487716675,0.21444764733314514,0.4062570035457611,0.42400437593460083,0.2687304615974426,0.4946078956127167,0.3149048686027527,0.3658004403114319,0.3541618287563324,0.3087472915649414,0.31091248989105225
roads,0.18955664336681366,0.030087830498814583,0.34863343834877014,0.2631852924823761,0.37009602785110474,0.3337510824203491,0.27876123785972595,0.2203613817691803,0.2146490216255188,0.25521090626716614,0.2809196412563324,0.2279554009437561,0.23639728128910065,0.19353218376636505,0.17565645277500153
",",0.25300899147987366,-0.0016132977325469255,0.1945955902338028,0.6633074283599854,0.3074692487716675,0.21444764733314514,0.4062570035457611,0.42400437593460083,0.2687304615974426,0.4946078956127167,0.3149048686027527,0.3658004403114319,0.3541618287563324,0.3087472915649414,0.31091248989105225
