,from,whom,were,the,movement,that,eliot,followed,derived,?
derived,0.315938800573349,0.13964101672172546,0.20440877974033356,0.26961472630500793,0.17425961792469025,0.28356388211250305,0.12719272077083588,0.22243483364582062,0.9999998807907104,0.1241099163889885
from,1.0,0.19855497777462006,0.29991888999938965,0.40150508284568787,0.23928771913051605,0.3477667272090912,0.17449171841144562,0.212905153632164,0.315938800573349,0.19969791173934937
william,0.1190270259976387,0.20771704614162445,0.18914814293384552,0.21537061035633087,0.13046805560588837,0.20143915712833405,0.38746848702430725,0.20305171608924866,0.0719018280506134,0.14462219178676605
ellery,0.13111995160579681,0.1927213966846466,0.1914256364107132,0.169147789478302,0.13473792374134064,0.11772121489048004,0.27302438020706177,0.10948009788990021,0.05231544002890587,0.14014579355716705
channing,0.17235451936721802,0.24284914135932922,0.17962245643138885,0.2628783583641052,0.15900830924510956,0.1754540354013443,0.2945622503757477,0.19164268672466278,0.08489855378866196,0.1668885201215744
and,0.3601827025413513,0.3148667514324188,0.42175528407096863,0.5171257257461548,0.2837696671485901,0.4731321930885315,0.22553721070289612,0.31943854689598083,0.15480998158454895,0.20544172823429108
ralph,0.1495542973279953,0.19025090336799622,0.17529067397117615,0.1921381652355194,0.16677486896514893,0.1749430149793625,0.2621672749519348,0.18908719718456268,0.12320872396230698,0.0765800029039383
waldo,0.1776452362537384,0.16168507933616638,0.17091044783592224,0.21176496148109436,0.24852806329727173,0.1988256573677063,0.23621562123298645,0.13558316230773926,0.08353918045759201,0.17885999381542206
emerson,0.19956350326538086,0.21621116995811462,0.16941696405410767,0.2135593593120575,0.1838502436876297,0.218364417552948,0.30426889657974243,0.19049395620822906,0.0388304740190506,0.20183783769607544
",",0.39760664105415344,0.25587570667266846,0.36755475401878357,0.4933079481124878,0.1862073689699173,0.4137537479400635,0.3127504289150238,0.3097211718559265,0.19508518278598785,0.31091248989105225
these,0.2928802967071533,0.19724830985069275,0.587685227394104,0.49086877703666687,0.2758388817310333,0.5512621402740479,0.11239653825759888,0.2715834081172943,0.261572927236557,0.2571668326854706
convictions,0.16806945204734802,0.31179818511009216,0.3040526211261749,0.19633075594902039,0.15469741821289062,0.2727423906326294,0.22307610511779785,0.23880459368228912,0.12614856660366058,0.22946873307228088
were,0.29991888999938965,0.27088287472724915,1.0000001192092896,0.3906462490558624,0.14767701923847198,0.35517072677612305,0.14756102859973907,0.2812596261501312,0.20440877974033356,0.17890112102031708
focused,0.20396113395690918,0.1276106834411621,0.25090715289115906,0.2969476580619812,0.2611416280269623,0.2924242615699768,0.14696413278579712,0.19938135147094727,0.09734822064638138,0.1578395515680313
on,0.36926645040512085,0.14539912343025208,0.2774328887462616,0.5107308030128479,0.15348097681999207,0.42569106817245483,0.08601988106966019,0.28835389018058777,0.12176051735877991,0.2714994251728058
the,0.40150508284568787,0.23752936720848083,0.3906462490558624,1.0,0.339571475982666,0.5473989248275757,0.15140269696712494,0.3567860722541809,0.26961472630500793,0.22068053483963013
dignity,0.13786789774894714,0.2572841942310333,0.17283810675144196,0.26360175013542175,0.26493868231773376,0.22622112929821014,0.06322623044252396,0.17330417037010193,0.1783280372619629,0.2379169464111328
and,0.3601827025413513,0.3148667514324188,0.42175528407096863,0.5171257257461548,0.2837696671485901,0.4731321930885315,0.22553721070289612,0.31943854689598083,0.15480998158454895,0.20544172823429108
worth,0.18324993550777435,0.13771383464336395,0.1643751710653305,0.2137632668018341,0.026538578793406487,0.2833269536495209,0.14980919659137726,0.07491923123598099,0.07352346926927567,0.3282513916492462
of,0.4249346852302551,0.2070929855108261,0.34038281440734863,0.733189046382904,0.2662941515445709,0.41498205065727234,0.16987493634223938,0.3060508966445923,0.28474852442741394,0.1826142966747284
human,0.1504075527191162,0.18669702112674713,0.15361809730529785,0.3103327453136444,0.24433661997318268,0.3200635015964508,0.14167574048042297,0.09950026869773865,0.13239894807338715,0.19748784601688385
nature,0.10150755941867828,0.19210901856422424,0.14674411714076996,0.19596898555755615,0.19639112055301666,0.3041963577270508,0.19717848300933838,0.1581631600856781,0.13330049812793732,0.17397694289684296
",",0.39760664105415344,0.25587570667266846,0.36755475401878357,0.4933079481124878,0.1862073689699173,0.4137537479400635,0.3127504289150238,0.3097211718559265,0.19508518278598785,0.31091248989105225
