,what,suffered,considerably,for,warsaw,when,it,had,an,eastern,bloc,economy,?
like,0.4320242702960968,0.11806290596723557,0.24420642852783203,0.35140180587768555,0.12495487928390503,0.4158523678779602,0.4056043326854706,0.3092091679573059,0.2679307162761688,0.1550445556640625,0.23598843812942505,0.16987790167331696,0.3268813192844391
many,0.36131182312965393,0.22810456156730652,0.3566856384277344,0.40972793102264404,0.1653265357017517,0.36563900113105774,0.39615920186042786,0.40130746364593506,0.2465583086013794,0.2480354905128479,0.23250888288021088,0.27302396297454834,0.2124512493610382
cities,0.161918506026268,0.13725464046001434,0.1967754065990448,0.21254107356071472,0.19702404737472534,0.14582785964012146,0.2412966936826706,0.17618517577648163,0.14263588190078735,0.2827165722846985,0.15260933339595795,0.3210694193840027,0.13339310884475708
in,0.30808621644973755,0.277639776468277,0.2595204710960388,0.4322226941585541,0.22642600536346436,0.4431333839893341,0.5130809545516968,0.385026752948761,0.2605783939361572,0.3306356370449066,0.24785549938678741,0.2588731348514557,0.20430970191955566
central,0.17723965644836426,0.12386836856603622,0.14497637748718262,0.20646226406097412,0.19905970990657806,0.16662165522575378,0.28471311926841736,0.15807373821735382,0.18265970051288605,0.5123634338378906,0.193741574883461,0.19521751999855042,0.14787602424621582
and,0.31309178471565247,0.17773643136024475,0.3651396930217743,0.5064792633056641,0.2083624005317688,0.4716290831565857,0.40957894921302795,0.3872550129890442,0.2838519215583801,0.22891712188720703,0.248067244887352,0.26484790444374084,0.20544172823429108
eastern,0.2263268083333969,0.24571003019809723,0.2123732715845108,0.14339342713356018,0.20966091752052307,0.22923262417316437,0.2745799422264099,0.2215176820755005,0.13974453508853912,1.0,0.25480684638023376,0.2131250500679016,0.20060817897319794
europe,0.17179538309574127,0.19209976494312286,0.244741290807724,0.26120877265930176,0.2790890336036682,0.18744638562202454,0.2849960923194885,0.23722730576992035,0.11497823894023895,0.3554437458515167,0.2797416150569916,0.24878080189228058,0.18278923630714417
",",0.3087472915649414,0.24693666398525238,0.2864159643650055,0.4464869201183319,0.25300899147987366,0.36674630641937256,0.48329564929008484,0.35487717390060425,0.3581022024154663,0.3081906735897064,0.25832995772361755,0.2521176040172577,0.31091248989105225
infrastructure,0.23299327492713928,0.24063393473625183,0.29167768359184265,0.24489670991897583,0.17965956032276154,0.12918224930763245,0.2598090171813965,0.1789296418428421,0.1579384058713913,0.2078390121459961,0.13329307734966278,0.5144665241241455,0.15828795731067657
in,0.30808621644973755,0.277639776468277,0.2595204710960388,0.4322226941585541,0.22642600536346436,0.4431333839893341,0.5130809545516968,0.385026752948761,0.2605783939361572,0.3306356370449066,0.24785549938678741,0.2588731348514557,0.20430970191955566
warsaw,0.10373849421739578,0.2365902215242386,0.14628249406814575,0.1427849680185318,1.0,0.1615014374256134,0.1582006961107254,0.2310895472764969,0.15493714809417725,0.20966091752052307,0.2905861735343933,0.267183393239975,0.09769917279481888
suffered,0.13741295039653778,1.0000001192092896,0.25991249084472656,0.17500363290309906,0.2365902215242386,0.20446106791496277,0.15823760628700256,0.536039412021637,0.1359340250492096,0.24571003019809723,0.13874822854995728,0.2575671970844269,0.08963493257761002
considerably,0.25564712285995483,0.25991249084472656,1.0000001192092896,0.27143824100494385,0.14628249406814575,0.26480305194854736,0.33974316716194153,0.3265960216522217,0.2629421055316925,0.2123732715845108,0.1937830001115799,0.3072068393230438,0.17679016292095184
during,0.24137552082538605,0.36370640993118286,0.24340420961380005,0.3448435664176941,0.19431914389133453,0.46721696853637695,0.26678937673568726,0.39748913049697876,0.21076080203056335,0.2630176842212677,0.23230093717575073,0.23872721195220947,0.1325719803571701
its,0.30393704771995544,0.17327049374580383,0.40209928154945374,0.2992613911628723,0.19152112305164337,0.34032323956489563,0.5786119699478149,0.32081788778305054,0.28139030933380127,0.29670053720474243,0.20839935541152954,0.3030180335044861,0.15103481709957123
time,0.36319252848625183,0.21300041675567627,0.25605809688568115,0.3992156386375427,0.1637357622385025,0.4363728165626526,0.3375589847564697,0.34488338232040405,0.17594800889492035,0.23731456696987152,0.19522303342819214,0.18056780099868774,0.27391523122787476
as,0.31749409437179565,0.2071637213230133,0.30323708057403564,0.44774648547172546,0.14492812752723694,0.4437963366508484,0.4461488723754883,0.3393979072570801,0.37218472361564636,0.21607916057109833,0.1964864283800125,0.2277245819568634,0.27043893933296204
