,what,happens,secondly,if,a,directive,'s,deadline,is,not,met,?
second,0.19948028028011322,0.1512032151222229,0.3386284112930298,0.260090172290802,0.3655064105987549,0.17049063742160797,-0.060212843120098114,0.25693562626838684,0.3161451518535614,0.22539767622947693,0.19214344024658203,0.17239587008953094
",",0.3087472915649414,0.24968470633029938,0.22322766482830048,0.257730096578598,0.427140474319458,0.23691628873348236,-0.0016132977325469255,0.2596479058265686,0.4691906273365021,0.3769696354866028,0.2948285937309265,0.31091248989105225
a,0.3320399522781372,0.3780156075954437,0.2542741000652313,0.41272827982902527,1.0,0.2245989441871643,0.04866964742541313,0.19801391661167145,0.658733606338501,0.3791346549987793,0.15796485543251038,0.23916715383529663
citizen,0.20342512428760529,0.08471079915761948,0.18781885504722595,0.16080205142498016,0.24434110522270203,0.20363667607307434,0.0021561807952821255,0.13754625618457794,0.20740796625614166,0.23211289942264557,0.2688157558441162,0.1601516604423523
or,0.33867141604423523,0.4824371039867401,0.28086379170417786,0.508355975151062,0.48853766918182373,0.27032849192619324,0.06871571391820908,0.16695484519004822,0.41870999336242676,0.5119067430496216,0.11099779605865479,0.32389625906944275
company,0.2333769053220749,0.091688372194767,0.12896420061588287,0.1588779091835022,0.22037413716316223,0.19359633326530457,0.003266559913754463,0.1792464256286621,0.18005689978599548,0.16777940094470978,0.17358283698558807,0.12195809185504913
can,0.34502777457237244,0.4516991674900055,0.3415694236755371,0.5903681516647339,0.3915780484676361,0.29657742381095886,-0.02075597457587719,0.25003400444984436,0.44256699085235596,0.49270012974739075,0.07013259083032608,0.3226337134838104
invoke,0.297290176153183,0.2327965497970581,0.26068565249443054,0.41509491205215454,0.2323300689458847,0.26996713876724243,-0.12058188021183014,0.344075083732605,0.16021692752838135,0.36959636211395264,0.14499647915363312,0.306070476770401
a,0.3320399522781372,0.3780156075954437,0.2542741000652313,0.41272827982902527,1.0,0.2245989441871643,0.04866964742541313,0.19801391661167145,0.658733606338501,0.3791346549987793,0.15796485543251038,0.23916715383529663
directive,0.28384625911712646,0.20350496470928192,0.3011132478713989,0.3068831264972687,0.2245989441871643,0.9999999403953552,-0.0203066635876894,0.20709672570228577,0.2284500002861023,0.26853126287460327,0.13749785721302032,0.15005457401275635
",",0.3087472915649414,0.24968470633029938,0.22322766482830048,0.257730096578598,0.427140474319458,0.23691628873348236,-0.0016132977325469255,0.2596479058265686,0.4691906273365021,0.3769696354866028,0.2948285937309265,0.31091248989105225
