,what,criticism,in,ny,times,article,that,impacts,the,quality,of,education,at,harvard,?
the,0.42745697498321533,0.2245102971792221,0.6662389636039734,0.17415226995944977,0.29093852639198303,0.3329811692237854,0.5473989248275757,0.23250022530555725,1.0,0.21949779987335205,0.733189046382904,0.23982903361320496,0.457212895154953,0.24496200680732727,0.22068053483963013
carnegie,0.1992025077342987,0.2346264123916626,0.25780022144317627,0.27114465832710266,0.1603713482618332,0.216830313205719,0.2513066232204437,0.2257436215877533,0.2542034089565277,0.22919027507305145,0.26828065514564514,0.31485217809677124,0.2900506258010864,0.3188006281852722,0.16629517078399658
foundation,0.19225969910621643,0.23890915513038635,0.2082953006029129,0.17714740335941315,0.13443946838378906,0.2230181246995926,0.23472844064235687,0.19691334664821625,0.23942872881889343,0.11371909826993942,0.26611822843551636,0.3213188350200653,0.1583106517791748,0.2157345712184906,0.1791457086801529
for,0.3017193675041199,0.2707096040248871,0.4322226941585541,0.19484472274780273,0.2999500632286072,0.31357312202453613,0.4137635827064514,0.2198987901210785,0.4739971458911896,0.3288601338863373,0.4185989499092102,0.27265021204948425,0.34237727522850037,0.14800849556922913,0.264628142118454
the,0.42745697498321533,0.2245102971792221,0.6662389636039734,0.17415226995944977,0.29093852639198303,0.3329811692237854,0.5473989248275757,0.23250022530555725,1.0,0.21949779987335205,0.733189046382904,0.23982903361320496,0.457212895154953,0.24496200680732727,0.22068053483963013
advancement,0.20665037631988525,0.3670245409011841,0.26989293098449707,0.15736369788646698,0.19598156213760376,0.2190416306257248,0.27251943945884705,0.32119202613830566,0.34029486775398254,0.3903390169143677,0.33058440685272217,0.4964040517807007,0.20056457817554474,0.32632750272750854,0.14061902463436127
of,0.33290785551071167,0.18326933681964874,0.5696388483047485,0.11117860674858093,0.24352745711803436,0.25720444321632385,0.41498205065727234,0.2371099293231964,0.733189046382904,0.24742498993873596,1.0,0.3015166223049164,0.42558613419532776,0.25842633843421936,0.1826142966747284
teaching,0.27416905760765076,0.3488576114177704,0.2659059166908264,0.16745242476463318,0.12231699377298355,0.21477575600147247,0.28482577204704285,0.17539484798908234,0.2182690054178238,0.24968263506889343,0.2911611497402191,0.5356936454772949,0.2309790551662445,0.36483034491539,0.20424684882164001
",",0.3087472915649414,0.28347697854042053,0.5201468467712402,0.21824334561824799,0.2897866368293762,0.28605279326438904,0.4137537479400635,0.23162336647510529,0.4933079481124878,0.23283851146697998,0.4946078956127167,0.2718683183193207,0.38314947485923767,0.2719281017780304,0.31091248989105225
the,0.42745697498321533,0.2245102971792221,0.6662389636039734,0.17415226995944977,0.29093852639198303,0.3329811692237854,0.5473989248275757,0.23250022530555725,1.0,0.21949779987335205,0.733189046382904,0.23982903361320496,0.457212895154953,0.24496200680732727,0.22068053483963013
new,0.2130378633737564,0.2216268628835678,0.3758552670478821,0.46039798855781555,0.2618185877799988,0.24096214771270752,0.29177987575531006,0.15298977494239807,0.3845241069793701,0.1304887980222702,0.343457967042923,0.1733161062002182,0.1898733228445053,0.2566078007221222,0.14782847464084625
york,0.15652963519096375,0.20182780921459198,0.2961827218532562,0.5879480838775635,0.28876203298568726,0.21279115974903107,0.21309296786785126,0.12547177076339722,0.3034006953239441,0.10955201834440231,0.23040355741977692,0.21529220044612885,0.2137436866760254,0.34388086199760437,0.15262620151042938
times,0.21414996683597565,0.24189798533916473,0.2427823841571808,0.3124675750732422,1.0,0.272950142621994,0.2866678833961487,0.28512442111968994,0.29093852639198303,0.18499495089054108,0.24352745711803436,0.09512459486722946,0.26909148693084717,0.1272076666355133,0.18880689144134521
