,when,was,the,fcc,'s,sixth,report,and,order,released,?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.134840726852417,-0.037580832839012146,0.2580831050872803,0.204250767827034,0.4954058527946472,0.24184700846672058,0.2659924626350403,0.20430970191955566
1952,0.015484105795621872,0.025524726137518883,0.12244576215744019,-0.060520101338624954,0.07119292765855789,0.04781768471002579,-0.016788111999630928,0.08156291395425797,0.065802201628685,0.07326993346214294,-0.04863175377249718
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.12939687073230743,-0.0016132977325469255,0.24747976660728455,0.250803142786026,0.6633074283599854,0.22478096187114716,0.2775750756263733,0.31091248989105225
when,0.9999999403953552,0.37326499819755554,0.5091903209686279,0.21491053700447083,-0.03368149697780609,0.23466074466705322,0.1918206363916397,0.4716290831565857,0.2338472604751587,0.2439855933189392,0.22841128706932068
the,0.5091903209686279,0.48711544275283813,1.0,0.24932202696800232,-0.01540423184633255,0.36289259791374207,0.2556745111942291,0.5171257257461548,0.3284194767475128,0.24578391015529633,0.22068053483963013
release,0.2603164315223694,0.21360014379024506,0.2814774513244629,0.16094420850276947,-0.17818281054496765,0.14355818927288055,0.1782504916191101,0.23335815966129303,0.1757177710533142,0.7354269623756409,0.14489315450191498
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.16839106380939484,-0.03817026689648628,0.2562638819217682,0.22992923855781555,0.5116966962814331,0.31287699937820435,0.17721395194530487,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.24932202696800232,-0.01540423184633255,0.36289259791374207,0.2556745111942291,0.5171257257461548,0.3284194767475128,0.24578391015529633,0.22068053483963013
fcc,0.21491053700447083,0.15802820026874542,0.24932202696800232,1.0000001192092896,0.05599381774663925,0.15657107532024384,0.32434773445129395,0.22326773405075073,0.16083572804927826,0.13543285429477692,0.1708466112613678
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,0.05599381774663925,0.9999999403953552,0.09895630925893784,-0.0383719876408577,0.06895173341035843,-0.07080218195915222,-0.03765496984124184,-0.023395681753754616
sixth,0.23466074466705322,0.36271199584007263,0.36289259791374207,0.15657107532024384,0.09895630925893784,0.9999998807907104,0.14653493463993073,0.26247137784957886,0.15838772058486938,0.2614895701408386,0.11620894819498062
report,0.1918206363916397,0.19926786422729492,0.2556745111942291,0.32434773445129395,-0.0383719876408577,0.14653493463993073,0.9999998807907104,0.20391902327537537,0.14579232037067413,0.14222055673599243,0.3138936758041382
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.22326773405075073,0.06895173341035843,0.26247137784957886,0.20391902327537537,1.0,0.2671266496181488,0.2706851661205292,0.20544172823429108
order,0.2338472604751587,0.16897162795066833,0.3284194767475128,0.16083572804927826,-0.07080218195915222,0.15838772058486938,0.14579232037067413,0.2671266496181488,1.0000001192092896,0.13408046960830688,0.13725648820400238
announced,0.15404565632343292,0.34205326437950134,0.2277132272720337,0.2891659736633301,-0.056355372071266174,0.22742699086666107,0.2506876289844513,0.16773687303066254,0.13214853405952454,0.3711651861667633,0.17416009306907654
the,0.5091903209686279,0.48711544275283813,1.0,0.24932202696800232,-0.01540423184633255,0.36289259791374207,0.2556745111942291,0.5171257257461548,0.3284194767475128,0.24578391015529633,0.22068053483963013
