,who,fought,in,the,great,northern,war,?
in,0.2792111933231354,0.27511686086654663,1.0,0.6662389636039734,0.23348836600780487,0.3545122444629669,0.29904094338417053,0.20430970191955566
1709–13,0.10835975408554077,0.5467976927757263,0.1644168198108673,0.1809830218553543,0.08369563519954681,0.1959424763917923,0.31588122248649597,0.197431743144989
",",0.3365725874900818,0.2973159849643707,0.5201468467712402,0.4933079481124878,0.29579275846481323,0.29473260045051575,0.2671184241771698,0.31091248989105225
a,0.36608949303627014,0.15341457724571228,0.539380669593811,0.5829201340675354,0.21836373209953308,0.22329643368721008,0.2368277609348297,0.23916715383529663
plague,0.22886906564235687,0.21509923040866852,0.2488756626844406,0.2537761330604553,0.2758181691169739,0.17610512673854828,0.27265962958335876,0.11872942000627518
epidemic,0.23076128959655762,0.2558411955833435,0.28030508756637573,0.23666009306907654,0.17886613309383392,0.09181272983551025,0.32307183742523193,0.1562352478504181
that,0.45444270968437195,0.17489901185035706,0.435920387506485,0.5473989248275757,0.2783016562461853,0.19812585413455963,0.22443464398384094,0.32716336846351624
followed,0.19133411347866058,0.23252291977405548,0.3307904005050659,0.3567860722541809,0.20622055232524872,0.14364951848983765,0.15909534692764282,0.20567169785499573
the,0.3733934462070465,0.30367159843444824,0.6662389636039734,1.0,0.2822027802467346,0.3422943353652954,0.366199791431427,0.22068053483963013
great,0.24061277508735657,0.26658371090888977,0.23348836600780487,0.2822027802467346,1.0,0.27189189195632935,0.2144670933485031,0.13135133683681488
northern,0.21377815306186676,0.2824156582355499,0.3545122444629669,0.3422943353652954,0.27189189195632935,0.9999998807907104,0.24388620257377625,0.13149388134479523
war,0.24286115169525146,0.5800250768661499,0.29904094338417053,0.366199791431427,0.2144670933485031,0.24388620257377625,1.0000001192092896,0.15510529279708862
(,0.2443375140428543,0.19004155695438385,0.3087427020072937,0.33289089798927307,0.20725277066230774,0.21831387281417847,0.17743611335754395,0.40561532974243164
1700–21,0.0035061880480498075,0.16347096860408783,0.044525958597660065,0.016879506409168243,0.006189799401909113,0.1464657485485077,0.16123691201210022,0.17187008261680603
",",0.3365725874900818,0.2973159849643707,0.5201468467712402,0.4933079481124878,0.29579275846481323,0.29473260045051575,0.2671184241771698,0.31091248989105225
sweden,0.18126650154590607,0.12552510201931,0.2946893274784088,0.20170342922210693,0.18045949935913086,0.25610408186912537,0.164180189371109,0.1268482208251953
v.,-0.018512072041630745,0.02780391462147236,-0.03806581720709801,-0.028345759958028793,0.00939803197979927,-0.08355998992919922,0.0020992050413042307,0.13179227709770203
russia,0.16800177097320557,0.1732368916273117,0.2859639823436737,0.2746676802635193,0.23910900950431824,0.21892930567264557,0.23956188559532166,0.13907001912593842
and,0.41279885172843933,0.26526638865470886,0.4954058527946472,0.5171257257461548,0.2591964602470398,0.2852024435997009,0.29695844650268555,0.20544172823429108
allies,0.22218574583530426,0.5183415412902832,0.22134138643741608,0.2923043370246887,0.17591150104999542,0.23728369176387787,0.5094273686408997,0.16798950731754303
),0.2457384318113327,0.2003912776708603,0.3326910734176636,0.3456730246543884,0.21160492300987244,0.19624486565589905,0.183685764670372,0.42300865054130554
killed,0.3541788160800934,0.43064725399017334,0.1957504004240036,0.23115427792072296,0.16127361357212067,0.2259637415409088,0.3156256675720215,0.17928971350193024
about,0.3477841317653656,0.1569231003522873,0.39797019958496094,0.37995871901512146,0.2101561576128006,0.1577479988336563,0.19373086094856262,0.302409827709198
"100,000",0.09969303011894226,-0.15500091016292572,0.05864831805229187,0.12082944065332413,0.028634652495384216,-0.11035889387130737,-0.1275540292263031,0.035472359508275986
in,0.2792111933231354,0.27511686086654663,1.0,0.6662389636039734,0.23348836600780487,0.3545122444629669,0.29904094338417053,0.20430970191955566
sweden,0.18126650154590607,0.12552510201931,0.2946893274784088,0.20170342922210693,0.18045949935913086,0.25610408186912537,0.164180189371109,0.1268482208251953
",",0.3365725874900818,0.2973159849643707,0.5201468467712402,0.4933079481124878,0.29579275846481323,0.29473260045051575,0.2671184241771698,0.31091248989105225
and,0.41279885172843933,0.26526638865470886,0.4954058527946472,0.5171257257461548,0.2591964602470398,0.2852024435997009,0.29695844650268555,0.20544172823429108
"300,000",0.12540924549102783,-0.03298378735780716,0.1701154112815857,0.22540529072284698,0.03742751106619835,0.01188631635159254,0.016299623996019363,0.05797545239329338
in,0.2792111933231354,0.27511686086654663,1.0,0.6662389636039734,0.23348836600780487,0.3545122444629669,0.29904094338417053,0.20430970191955566
prussia,0.16186262667179108,0.3097209632396698,0.25057199597358704,0.26054897904396057,0.24274392426013947,0.20342877507209778,0.34112775325775146,0.09988865256309509
.,0.3541337847709656,0.22964482009410858,0.5591574311256409,0.5934505462646484,0.2178412526845932,0.2815330922603607,0.3000848889350891,0.4130953550338745
