,what,is,seeing,the,holy,bible,as,the,primary,authority,in,the,church,?
the,0.42745697498321533,0.5823672413825989,0.2316836714744568,1.0,0.2778179347515106,0.27647915482521057,0.48381632566452026,1.0,0.25688621401786804,0.2645063102245331,0.6662389636039734,1.0,0.23846197128295898,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.11168882250785828,0.34367692470550537,0.19265316426753998,0.1686740666627884,0.27979812026023865,0.34367692470550537,0.20348690450191498,0.23876377940177917,0.3938477039337158,0.34367692470550537,0.19284281134605408,0.17266890406608582
methodist,0.17637217044830322,0.14683330059051514,0.11339713633060455,0.21922016143798828,0.334758460521698,0.3452286422252655,0.22391098737716675,0.21922016143798828,0.21697306632995605,0.22781431674957275,0.24702993035316467,0.21922016143798828,0.6119816899299622,0.1436992734670639
church,0.1944202184677124,0.203276589512825,0.12490975856781006,0.23846197128295898,0.4132955074310303,0.3814816176891327,0.211966410279274,0.23846197128295898,0.1342131495475769,0.24663107097148895,0.2493300437927246,0.23846197128295898,0.9999999403953552,0.18081501126289368
believes,0.35397860407829285,0.30990490317344666,0.2615230083465576,0.2598399519920349,0.18899062275886536,0.32661089301109314,0.2485833615064621,0.2598399519920349,0.13154654204845428,0.2616521120071411,0.18350256979465485,0.2598399519920349,0.2682642936706543,0.21439975500106812
in,0.30808621644973755,0.5394441485404968,0.21363092958927155,0.6662389636039734,0.2163282334804535,0.17902518808841705,0.3887844979763031,0.6662389636039734,0.21150650084018707,0.214982271194458,1.0,0.6662389636039734,0.2493300437927246,0.20430970191955566
prima,0.1798548698425293,0.18019098043441772,0.10412517935037613,0.19442515075206757,0.14594683051109314,0.18694111704826355,0.14179657399654388,0.19442515075206757,0.4316176772117615,0.15901124477386475,0.15203121304512024,0.19442515075206757,0.2404182106256485,0.15534961223602295
scriptura,0.28657129406929016,0.16223634779453278,0.20848071575164795,0.23085838556289673,0.385908842086792,0.554851770401001,0.21039316058158875,0.23085838556289673,0.17516283690929413,0.2571464776992798,0.17612387239933014,0.23085838556289673,0.40277957916259766,0.30086973309516907
",",0.3087472915649414,0.4691906273365021,0.26320701837539673,0.4933079481124878,0.2074567973613739,0.18640878796577454,0.48816442489624023,0.4933079481124878,0.2565748989582062,0.22133024036884308,0.5201468467712402,0.4933079481124878,0.2707274258136749,0.31091248989105225
seeing,0.4082770347595215,0.17335188388824463,0.9999999403953552,0.2316836714744568,0.13027721643447876,0.20297056436538696,0.2744239866733551,0.2316836714744568,0.1962013989686966,0.04006974771618843,0.21363092958927155,0.2316836714744568,0.12490975856781006,0.3295612037181854
the,0.42745697498321533,0.5823672413825989,0.2316836714744568,1.0,0.2778179347515106,0.27647915482521057,0.48381632566452026,1.0,0.25688621401786804,0.2645063102245331,0.6662389636039734,1.0,0.23846197128295898,0.22068053483963013
holy,0.21269184350967407,0.1708448827266693,0.13027721643447876,0.2778179347515106,1.0,0.34416964650154114,0.18535472452640533,0.2778179347515106,0.07189575582742691,0.19409851729869843,0.2163282334804535,0.2778179347515106,0.4132955074310303,0.18148104846477509
bible,0.33710888028144836,0.22857646644115448,0.20297056436538696,0.27647915482521057,0.34416964650154114,1.0000001192092896,0.19238992035388947,0.27647915482521057,0.1338808834552765,0.2393602430820465,0.17902518808841705,0.27647915482521057,0.3814816176891327,0.22667601704597473
as,0.31749409437179565,0.43216490745544434,0.2744239866733551,0.48381632566452026,0.18535472452640533,0.19238992035388947,1.0,0.48381632566452026,0.2169201374053955,0.25263646245002747,0.3887844979763031,0.48381632566452026,0.211966410279274,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,0.2316836714744568,1.0,0.2778179347515106,0.27647915482521057,0.48381632566452026,1.0,0.25688621401786804,0.2645063102245331,0.6662389636039734,1.0,0.23846197128295898,0.22068053483963013
primary,0.2113915979862213,0.23824772238731384,0.1962013989686966,0.25688621401786804,0.07189575582742691,0.1338808834552765,0.2169201374053955,0.25688621401786804,1.0,0.2447943240404129,0.21150650084018707,0.25688621401786804,0.1342131495475769,0.16286636888980865
authority,0.23046736419200897,0.20664075016975403,0.04006974771618843,0.2645063102245331,0.19409851729869843,0.2393602430820465,0.25263646245002747,0.2645063102245331,0.2447943240404129,1.0000001192092896,0.214982271194458,0.2645063102245331,0.24663107097148895,0.18404170870780945
in,0.30808621644973755,0.5394441485404968,0.21363092958927155,0.6662389636039734,0.2163282334804535,0.17902518808841705,0.3887844979763031,0.6662389636039734,0.21150650084018707,0.214982271194458,1.0,0.6662389636039734,0.2493300437927246,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.2316836714744568,1.0,0.2778179347515106,0.27647915482521057,0.48381632566452026,1.0,0.25688621401786804,0.2645063102245331,0.6662389636039734,1.0,0.23846197128295898,0.22068053483963013
church,0.1944202184677124,0.203276589512825,0.12490975856781006,0.23846197128295898,0.4132955074310303,0.3814816176891327,0.211966410279274,0.23846197128295898,0.1342131495475769,0.24663107097148895,0.2493300437927246,0.23846197128295898,0.9999999403953552,0.18081501126289368
and,0.31309178471565247,0.3859752118587494,0.2607729732990265,0.5171257257461548,0.1533736139535904,0.1976928561925888,0.49487000703811646,0.5171257257461548,0.2539214491844177,0.22905389964580536,0.4954058527946472,0.5171257257461548,0.1976170688867569,0.20544172823429108
