,what,position,does,von,miller,play,for,the,denver,broncos,?
denver,0.1275133192539215,0.12461010366678238,0.14473900198936462,0.1650388240814209,0.2895999550819397,0.22126924991607666,0.22017966210842133,0.2052404284477234,1.0,0.5774994492530823,0.1520889848470688
linebacker,0.15475627779960632,0.273834228515625,0.1636766493320465,0.07443031668663025,0.30272817611694336,0.309945672750473,0.27424296736717224,0.19719967246055603,0.48220956325531006,0.5541716814041138,0.15540370345115662
von,0.18003655970096588,0.12436593323945999,0.13313022255897522,1.0,0.21985934674739838,0.10530675947666168,0.10186543315649033,0.21817399561405182,0.1650388240814209,0.13884557783603668,0.13907472789287567
miller,0.11267764866352081,0.06722284853458405,0.11542541533708572,0.21985934674739838,0.9999998807907104,0.25456202030181885,0.21116214990615845,0.21601076424121857,0.2895999550819397,0.2454533576965332,0.1295081228017807
was,0.22111038863658905,0.23203803598880768,0.19302551448345184,0.2042967826128006,0.23326176404953003,0.23784595727920532,0.3863949179649353,0.48711544275283813,0.2766761779785156,0.23574475944042206,0.18412111699581146
named,0.1525408923625946,0.14169488847255707,0.187957301735878,0.18845419585704803,0.09032490104436874,0.19433702528476715,0.22057102620601654,0.3521348536014557,0.2420138418674469,0.17957261204719543,0.1297498345375061
super,0.13651713728904724,0.10645568370819092,0.10955630242824554,0.09019782394170761,0.1263037472963333,0.17709366977214813,0.22938419878482819,0.21959073841571808,0.24589714407920837,0.36141330003738403,0.166326642036438
bowl,0.15942467749118805,0.15528114140033722,0.11175493150949478,0.05615047365427017,0.12768206000328064,0.19427603483200073,0.24430087208747864,0.21576224267482758,0.2861449718475342,0.4351775348186493,0.21118052303791046
mvp,0.0985465794801712,0.2129400670528412,0.11600523442029953,0.17494645714759827,0.17567558586597443,0.24584709107875824,0.27104631066322327,0.19830666482448578,0.31021052598953247,0.43668341636657715,0.19954749941825867
",",0.3087472915649414,0.1771278828382492,0.28617382049560547,0.1878369003534317,0.32534530758857727,0.2231253683567047,0.4464869201183319,0.4933079481124878,0.25173696875572205,0.2558487057685852,0.31091248989105225
recording,0.19233113527297974,0.14838537573814392,0.14743034541606903,0.18543459475040436,0.292163610458374,0.23618727922439575,0.28583967685699463,0.2685704827308655,0.20506905019283295,0.22239409387111664,0.18037092685699463
five,0.18688078224658966,0.18336988985538483,0.14718510210514069,0.11452800780534744,0.14455710351467133,0.24797487258911133,0.30701300501823425,0.41977158188819885,0.22033226490020752,0.22463972866535187,0.18342848122119904
solo,0.13319581747055054,0.0749700590968132,0.1543104499578476,0.11115751415491104,0.24319517612457275,0.2069341242313385,0.2451012283563614,0.1489274650812149,0.16159214079380035,0.23199978470802307,0.1560981124639511
tackles,0.17651943862438202,0.3027566075325012,0.14808839559555054,0.09629620611667633,0.36091622710227966,0.1880728304386139,0.27664637565612793,0.19076409935951233,0.4180256724357605,0.4817456007003784,0.20188532769680023
",",0.3087472915649414,0.1771278828382492,0.28617382049560547,0.1878369003534317,0.32534530758857727,0.2231253683567047,0.4464869201183319,0.4933079481124878,0.25173696875572205,0.2558487057685852,0.31091248989105225
2½,0.015523189678788185,0.07992415875196457,0.05675606429576874,-0.03199057653546333,-0.09513317793607712,0.014566044323146343,-0.01783602125942707,0.028328148648142815,-0.05116941034793854,0.030491439625620842,-0.02855924889445305
sacks,0.0888017937541008,0.16444434225559235,0.09027056396007538,0.1289111226797104,0.23011738061904907,0.17728741466999054,0.2247573584318161,0.23296904563903809,0.27507340908050537,0.3775857388973236,0.0761517658829689
",",0.3087472915649414,0.1771278828382492,0.28617382049560547,0.1878369003534317,0.32534530758857727,0.2231253683567047,0.4464869201183319,0.4933079481124878,0.25173696875572205,0.2558487057685852,0.31091248989105225
and,0.31309178471565247,0.22603030502796173,0.3461615741252899,0.2179601788520813,0.2989555597305298,0.25634777545928955,0.5064792633056641,0.5171257257461548,0.20625516772270203,0.20959050953388214,0.20544172823429108
two,0.23363454639911652,0.18115483224391937,0.2100418359041214,0.1465245485305786,0.19982647895812988,0.2587577700614929,0.34734001755714417,0.43858039379119873,0.14121489226818085,0.23115254938602448,0.19645625352859497
forced,0.2257918417453766,0.2000003457069397,0.2517431676387787,0.12442227452993393,0.16247615218162537,0.11229157447814941,0.19555193185806274,0.2571122944355011,0.17544646561145782,0.2065102458000183,0.17547516524791718
fumbles,0.16688087582588196,0.2518150210380554,0.18650475144386292,0.13662727177143097,0.28203272819519043,0.2667146921157837,0.2659422755241394,0.21007823944091797,0.34164100885391235,0.48720020055770874,0.1826416552066803
.,0.3567904531955719,0.24342353641986847,0.3022993505001068,0.20990465581417084,0.26640716195106506,0.25552695989608765,0.4726039469242096,0.5934505462646484,0.2573630213737488,0.2612393796443939,0.4130953550338745
