,what,is,one,of,the,largest,and,most,modern,oncological,institutions,in,europe,?
while,0.35511791706085205,0.2713196575641632,0.3461143672466278,0.3366928696632385,0.39804592728614807,0.11632198095321655,0.45699796080589294,0.3330796957015991,0.1641404926776886,0.15078650414943695,0.17889946699142456,0.3399278521537781,0.18951831758022308,0.21076419949531555
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.3757036626338959,0.5171257257461548,0.47635307908058167,0.3283970355987549,0.2776150107383728,0.2776423394680023,0.6662389636039734,0.34463706612586975,0.22068053483963013
maria,0.157850980758667,0.12217415869235992,0.10247346013784409,0.2167290449142456,0.15531538426876068,0.12947624921798706,0.19233694672584534,0.10189182311296463,0.10498689115047455,0.16197560727596283,0.07337698340415955,0.20570816099643707,0.16764378547668457,0.16458186507225037
skłodowska-curie,0.1830628216266632,0.22861455380916595,0.1802564412355423,0.31845957040786743,0.2656698524951935,0.19024229049682617,0.2962084710597992,0.1454557180404663,0.1851673573255539,0.3242085874080658,0.26670873165130615,0.3447987735271454,0.25084802508354187,0.23305024206638336
institute,0.17608846724033356,0.1914694458246231,0.12537775933742523,0.2977932393550873,0.24399729073047638,0.2347772717475891,0.24076776206493378,0.1454678326845169,0.254222571849823,0.42282775044441223,0.5991113185882568,0.2517135441303253,0.10888398438692093,0.115291528403759
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,1.0,0.733189046382904,0.36650770902633667,0.5116966962814331,0.4178851246833801,0.3482828736305237,0.36218446493148804,0.3371490240097046,0.5696388483047485,0.29299741983413696,0.1826142966747284
oncology,0.27540963888168335,0.1547977179288864,0.1443452090024948,0.2845402657985687,0.19617639482021332,0.11302443593740463,0.21116258203983307,0.15169654786586761,0.20179463922977448,0.708902895450592,0.36099743843078613,0.2236938625574112,0.16782328486442566,0.19859854876995087
it,0.45803478360176086,0.6328473687171936,0.4284902811050415,0.38761502504348755,0.6251175999641418,0.30890756845474243,0.40957894921302795,0.4001435935497284,0.2550320625305176,0.19371595978736877,0.19739089906215668,0.5130809545516968,0.2849960923194885,0.25732165575027466
is,0.28837618231773376,1.0,0.4544198513031006,0.4854315221309662,0.5823672413825989,0.3413417339324951,0.3859752118587494,0.41165053844451904,0.24170172214508057,0.23015707731246948,0.14988303184509277,0.5394441485404968,0.20961034297943115,0.22961433231830597
one,0.376489520072937,0.4544198513031006,1.0000001192092896,0.4999135136604309,0.5514441132545471,0.3001094460487366,0.42438167333602905,0.5404669642448425,0.3286316394805908,0.19896186888217926,0.2598598599433899,0.4129433035850525,0.2713710069656372,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,1.0,0.733189046382904,0.36650770902633667,0.5116966962814331,0.4178851246833801,0.3482828736305237,0.36218446493148804,0.3371490240097046,0.5696388483047485,0.29299741983413696,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.3757036626338959,0.5171257257461548,0.47635307908058167,0.3283970355987549,0.2776150107383728,0.2776423394680023,0.6662389636039734,0.34463706612586975,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3001094460487366,0.36650770902633667,0.3757036626338959,0.9999999403953552,0.24602696299552917,0.3954915702342987,0.20878612995147705,0.21824444830417633,0.28758591413497925,0.3017216920852661,0.2597532272338867,0.12401245534420013
and,0.31309178471565247,0.3859752118587494,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.24602696299552917,1.0,0.4309377074241638,0.3277876079082489,0.27025920152664185,0.2943127751350403,0.4954058527946472,0.3463572859764099,0.20544172823429108
most,0.3219912350177765,0.41165053844451904,0.5404669642448425,0.4178851246833801,0.47635307908058167,0.3954915702342987,0.4309377074241638,1.0,0.3127482533454895,0.1876838505268097,0.24415665864944458,0.41416558623313904,0.33005326986312866,0.2107497900724411
modern,0.2655639946460724,0.24170172214508057,0.3286316394805908,0.3482828736305237,0.3283970355987549,0.20878612995147705,0.3277876079082489,0.3127482533454895,0.9999999403953552,0.2554205358028412,0.31324490904808044,0.29808807373046875,0.24837137758731842,0.12475407868623734
oncological,0.30158767104148865,0.23015707731246948,0.19896186888217926,0.36218446493148804,0.2776150107383728,0.21824444830417633,0.27025920152664185,0.1876838505268097,0.2554205358028412,1.0000001192092896,0.37641891837120056,0.2464320808649063,0.20508001744747162,0.21088577806949615
institutions,0.22018329799175262,0.14988303184509277,0.2598598599433899,0.3371490240097046,0.2776423394680023,0.28758591413497925,0.2943127751350403,0.24415665864944458,0.31324490904808044,0.37641891837120056,0.9999998807907104,0.2592448890209198,0.20401906967163086,0.19119486212730408
in,0.30808621644973755,0.5394441485404968,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.3017216920852661,0.4954058527946472,0.41416558623313904,0.29808807373046875,0.2464320808649063,0.2592448890209198,1.0,0.33061710000038147,0.20430970191955566
europe,0.17179538309574127,0.20961034297943115,0.2713710069656372,0.29299741983413696,0.34463706612586975,0.2597532272338867,0.3463572859764099,0.33005326986312866,0.24837137758731842,0.20508001744747162,0.20401906967163086,0.33061710000038147,1.0000001192092896,0.18278923630714417
.,0.3567904531955719,0.4569662809371948,0.4123194217681885,0.5352458953857422,0.5934505462646484,0.18871670961380005,0.588965117931366,0.35404038429260254,0.22790057957172394,0.2507461607456207,0.22790031135082245,0.5591574311256409,0.31984585523605347,0.4130953550338745
