,if,a,and,q,are,coprime,",",which,theorem,holds,that,an,arithmetic,progression,has,an,infinite,number,of,primes,?
if,1.0,0.41272827982902527,0.3498523235321045,0.25291842222213745,0.32547882199287415,0.38513481616973877,0.257730096578598,0.46344661712646484,0.2543347477912903,0.22658714652061462,0.5634250640869141,0.26347705721855164,0.3205273449420929,0.19585326313972473,0.2886769473552704,0.26347705721855164,0.3337545096874237,0.3394574522972107,0.2557544410228729,0.23967710137367249,0.4441644251346588
this,0.48231831192970276,0.5422310829162598,0.42353692650794983,0.18159200251102448,0.35762670636177063,0.3359360992908478,0.4316047728061676,0.6719430088996887,0.2033214271068573,0.21305599808692932,0.6909449696540833,0.41881775856018066,0.21923823654651642,0.34505710005760193,0.4198763072490692,0.41881775856018066,0.2279696762561798,0.3291929066181183,0.45148900151252747,0.26863330602645874,0.3155723512172699
necessary,0.48980724811553955,0.2920435667037964,0.28037229180336,0.14658546447753906,0.3163343071937561,0.39390259981155396,0.2641502320766449,0.39128804206848145,0.19522015750408173,0.18657410144805908,0.430902898311615,0.2998107671737671,0.34470704197883606,0.2971835434436798,0.19843889772891998,0.2998107671737671,0.3193703293800354,0.27798667550086975,0.26879626512527466,0.2418442815542221,0.3430270850658417
condition,0.38890427350997925,0.28835010528564453,0.21314062178134918,0.17125071585178375,0.24499687552452087,0.3348122537136078,0.16265787184238434,0.35998469591140747,0.2214164435863495,0.1079464852809906,0.3550138473510742,0.20676080882549286,0.2653663456439972,0.3305377960205078,0.1683909296989441,0.20676080882549286,0.1905984878540039,0.2709353566169739,0.20755170285701752,0.208021879196167,0.19857749342918396
is,0.30927813053131104,0.658733606338501,0.3859752118587494,0.1645382046699524,0.5330929756164551,0.2375452220439911,0.4691906273365021,0.4457404911518097,0.23679251968860626,0.3216874897480011,0.3995479643344879,0.4654068350791931,0.21616439521312714,0.20638582110404968,0.5668748617172241,0.4654068350791931,0.179602712392807,0.22390379011631012,0.4854315221309662,0.2382466346025467,0.22961433231830597
satisfied,0.37801942229270935,0.18294073641300201,0.2021792083978653,0.212487131357193,0.16301262378692627,0.2507564127445221,0.16955915093421936,0.20003283023834229,0.2856913208961487,0.15461981296539307,0.323088675737381,0.19227784872055054,0.3198312222957611,0.1750383824110031,0.1654607206583023,0.19227784872055054,0.3704383969306946,0.23430827260017395,0.20465414226055145,0.26842695474624634,0.26618003845214844
",",0.257730096578598,0.427140474319458,0.6633074283599854,0.23311607539653778,0.4062570035457611,0.2340814620256424,1.0000001192092896,0.3658004403114319,0.16003508865833282,0.2214498221874237,0.4137537479400635,0.3581022024154663,0.22632817924022675,0.18310736119747162,0.3734780251979828,0.3581022024154663,0.1824384480714798,0.2535701394081116,0.4946078956127167,0.29003697633743286,0.31091248989105225
dirichlet,0.14019131660461426,0.33215048909187317,0.24952298402786255,0.1006307303905487,0.11940150707960129,0.22592835128307343,0.3134511709213257,0.24822019040584564,0.3369560241699219,0.10412897914648056,0.14790791273117065,0.18638084828853607,0.2768879234790802,0.20674102008342743,0.1374759078025818,0.18638084828853607,0.2510184049606323,0.10005735605955124,0.2788431644439697,0.2881326675415039,0.13148801028728485
's,-0.0015437148977071047,0.04866964742541313,0.06895173341035843,0.07204610109329224,-0.008927806280553341,-0.023393629118800163,-0.0016132977325469255,0.03856118768453598,0.006648248061537743,0.016165124252438545,0.04397977516055107,0.025255560874938965,-0.008707642555236816,0.06957944482564926,-0.040683966130018234,0.025255560874938965,-0.08345475047826767,0.033178191632032394,-0.03817026689648628,0.011744771152734756,-0.023395681753754616
theorem,0.2543347477912903,0.2234962433576584,0.10136619955301285,0.18047884106636047,0.16171972453594208,0.42192962765693665,0.16003508865833282,0.2076059877872467,1.0,0.15267568826675415,0.28924983739852905,0.16890296339988708,0.4907774031162262,0.2942589223384857,0.14065028727054596,0.16890296339988708,0.4900101125240326,0.2737624943256378,0.18068012595176697,0.5341587662696838,0.18729111552238464
