,where,were,non-condensing,direct-drive,locomotives,notably,used,for,fast,passenger,trains,?
some,0.39480453729629517,0.4592604339122772,0.32386332750320435,0.2580833435058594,0.11830040067434311,0.3791472613811493,0.43712347745895386,0.4257155656814575,0.27649784088134766,0.14903055131435394,0.22009778022766113,0.2562315762042999
non-condensing,0.2541978657245636,0.15533538162708282,1.0,0.35823604464530945,0.1999862641096115,0.21331077814102173,0.2996686100959778,0.2422025501728058,0.21129962801933289,0.22407498955726624,0.18621790409088135,0.24415509402751923
direct-drive,0.3056953251361847,0.19874335825443268,0.35823604464530945,1.0,0.28123822808265686,0.2720501720905304,0.28926634788513184,0.35305142402648926,0.26551634073257446,0.28874993324279785,0.295769065618515,0.19481858611106873
locomotives,0.1206577718257904,0.24266749620437622,0.1999862641096115,0.28123822808265686,1.0,0.1765923649072647,0.22892537713050842,0.21600443124771118,0.13241200149059296,0.43416276574134827,0.5172048211097717,0.13195066154003143
did,0.24159270524978638,0.4162326455116272,0.19788718223571777,0.2823413908481598,0.10748276859521866,0.18044020235538483,0.30443844199180603,0.318512886762619,0.23039688169956207,0.12283455580472946,0.1750691831111908,0.3023456633090973
meet,0.3075947165489197,0.2156168669462204,0.20505617558956146,0.2746637463569641,0.10646402090787888,0.1842970848083496,0.0795646458864212,0.25528255105018616,0.15652573108673096,0.18586236238479614,0.15212687849998474,0.1658235788345337
with,0.4142743945121765,0.3179011940956116,0.23672641813755035,0.2514735460281372,0.17084451019763947,0.2748572528362274,0.3047430217266083,0.39140474796295166,0.21978332102298737,0.20213325321674347,0.13365305960178375,0.2433311939239502
some,0.39480453729629517,0.4592604339122772,0.32386332750320435,0.2580833435058594,0.11830040067434311,0.3791472613811493,0.43712347745895386,0.4257155656814575,0.27649784088134766,0.14903055131435394,0.22009778022766113,0.2562315762042999
success,0.18995720148086548,0.2159206122159958,0.12525330483913422,0.26705798506736755,0.18344709277153015,0.2677519619464874,0.1346660554409027,0.25930920243263245,0.22804540395736694,0.17650993168354034,0.17923524975776672,0.1216118186712265
for,0.38599511981010437,0.33592689037323,0.2422025501728058,0.35305142402648926,0.21600443124771118,0.2568889260292053,0.4236139953136444,0.9999999403953552,0.27282997965812683,0.16170966625213623,0.23317353427410126,0.264628142118454
long,0.22579649090766907,0.18442559242248535,0.1939462125301361,0.2263253778219223,0.15730054676532745,0.13795703649520874,0.2851113975048065,0.2547193765640259,0.338022381067276,0.21471096575260162,0.21575649082660675,0.19699987769126892
haul,0.24450407922267914,0.2648443281650543,0.1419418603181839,0.3351537585258484,0.36092910170555115,0.20522375404834747,0.3195638656616211,0.27287882566452026,0.27798429131507874,0.42133456468582153,0.443632036447525,0.21752338111400604
freight,0.20373578369617462,0.20174159109592438,0.2805204391479492,0.27591344714164734,0.5152403712272644,0.18988119065761566,0.25569865107536316,0.2071700543165207,0.20486998558044434,0.6847602725028992,0.6023622751235962,0.16984380781650543
operations,0.2293137013912201,0.19154588878154755,0.25245532393455505,0.2526465058326721,0.2912975251674652,0.1853240579366684,0.2581196129322052,0.27237167954444885,0.17083588242530823,0.3243102729320526,0.33298298716545105,0.13622350990772247
in,0.5344807505607605,0.3815755248069763,0.2366962879896164,0.218866229057312,0.17941859364509583,0.395790159702301,0.3090210556983948,0.4322226941585541,0.19134536385536194,0.22410228848457336,0.23470787703990936,0.20430970191955566
sweden,0.16838324069976807,0.18926891684532166,0.17857860028743744,0.07956286519765854,0.08869460225105286,0.1787913739681244,0.1542150229215622,0.15663805603981018,0.09351588785648346,0.16943572461605072,0.09775228053331375,0.1268482208251953
and,0.43859338760375977,0.42175528407096863,0.2727349102497101,0.32957348227500916,0.1988791525363922,0.3233007490634918,0.3150506615638733,0.5064792633056641,0.3021989166736603,0.25112658739089966,0.2541063725948334,0.20544172823429108
for,0.38599511981010437,0.33592689037323,0.2422025501728058,0.35305142402648926,0.21600443124771118,0.2568889260292053,0.4236139953136444,0.9999999403953552,0.27282997965812683,0.16170966625213623,0.23317353427410126,0.264628142118454
express,0.16469284892082214,0.12113688886165619,0.143800750374794,0.23569416999816895,0.2719666063785553,0.10868731141090393,0.18565982580184937,0.2597910463809967,0.22446349263191223,0.39794403314590454,0.43968522548675537,0.13246142864227295
passenger,0.12246131896972656,0.18978020548820496,0.22407498955726624,0.28874993324279785,0.43416276574134827,0.15715980529785156,0.12461341172456741,0.16170966625213623,0.20397967100143433,1.0,0.5760725140571594,0.13056927919387817
work,0.2737104296684265,0.23814889788627625,0.28387778997421265,0.35620826482772827,0.21425597369670868,0.21650885045528412,0.2676831781864166,0.4087657630443573,0.1733107566833496,0.12788350880146027,0.25055667757987976,0.2621155381202698
in,0.5344807505607605,0.3815755248069763,0.2366962879896164,0.218866229057312,0.17941859364509583,0.395790159702301,0.3090210556983948,0.4322226941585541,0.19134536385536194,0.22410228848457336,0.23470787703990936,0.20430970191955566
britain,0.17394061386585236,0.2944076955318451,0.08606763929128647,0.18966160714626312,0.31737828254699707,0.23386316001415253,0.28008559346199036,0.22167551517486572,0.15144126117229462,0.21860088407993317,0.28079327940940857,0.1268460750579834
",",0.3149496018886566,0.36755475401878357,0.28531259298324585,0.29184800386428833,0.19764263927936554,0.28631699085235596,0.3120402991771698,0.4464869201183319,0.25842827558517456,0.2499629110097885,0.20530615746974945,0.31091248989105225
but,0.49101024866104126,0.38291117548942566,0.23931413888931274,0.30490365624427795,0.21212513744831085,0.24139876663684845,0.3391169309616089,0.45162561535835266,0.30164834856987,0.21390996873378754,0.24346506595611572,0.27921953797340393
were,0.2363632768392563,1.0000001192092896,0.15533538162708282,0.19874335825443268,0.24266749620437622,0.24113395810127258,0.27636459469795227,0.33592689037323,0.13231118023395538,0.18978020548820496,0.21256476640701294,0.17890112102031708
not,0.3820744752883911,0.33318549394607544,0.3211921155452728,0.28373992443084717,0.15859046578407288,0.17759519815444946,0.358921617269516,0.39280617237091064,0.28256189823150635,0.17930351197719574,0.19832530617713928,0.41942933201789856
repeated,0.23631490767002106,0.22730186581611633,0.2249210923910141,0.21887588500976562,0.12098121643066406,0.20160669088363647,0.3793031871318817,0.2660323977470398,0.28419145941734314,0.10392307490110397,0.16085490584373474,0.17785342037677765
.,0.41390106081962585,0.3378238379955292,0.2808447480201721,0.2957209348678589,0.23627279698848724,0.21139730513095856,0.33111312985420227,0.4726039469242096,0.25414758920669556,0.19574396312236786,0.19430097937583923,0.4130953550338745
