,the,perceived,british,policy,of,being,hands,off,of,its,muslim,population,has,resulted,in,what,derogatory,term,for,london,?
their,0.516537070274353,0.24225445091724396,0.19777938723564148,0.18500499427318573,0.4329940676689148,0.33179932832717896,0.35990285873413086,0.2395165115594864,0.4329940676689148,0.5367968082427979,0.21655887365341187,0.17490148544311523,0.2814009487628937,0.27446117997169495,0.34976133704185486,0.35142919421195984,0.21709834039211273,0.18210019171237946,0.3406745493412018,0.19304054975509644,0.1898253709077835
presence,0.34114351868629456,0.31799134612083435,0.128088116645813,0.16715505719184875,0.2917717397212982,0.31102660298347473,0.16268087923526764,0.15084831416606903,0.2917717397212982,0.2905205488204956,0.16913534700870514,0.1772036999464035,0.24195559322834015,0.318858802318573,0.24880747497081757,0.24428647756576538,0.2898774743080139,0.17191845178604126,0.2598138153553009,0.12647020816802979,0.08592845499515533
",",0.4933079481124878,0.21034355461597443,0.25734075903892517,0.2903050184249878,0.4946078956127167,0.34499165415763855,0.2761915624141693,0.26180344820022583,0.4946078956127167,0.33157986402511597,0.21974200010299683,0.2967977225780487,0.3734780251979828,0.21903154253959656,0.5201468467712402,0.3087472915649414,0.22373436391353607,0.21599270403385162,0.4464869201183319,0.2571207880973816,0.31091248989105225
combined,0.3713363707065582,0.21203535795211792,0.20263494551181793,0.12046938389539719,0.399336040019989,0.2159397304058075,0.1890256255865097,0.17515838146209717,0.399336040019989,0.22235684096813202,0.17668578028678894,0.24468180537223816,0.2526237964630127,0.27642521262168884,0.3370276689529419,0.21267308294773102,0.10678346455097198,0.20986872911453247,0.2505188286304474,0.07379329949617386,0.17985320091247559
with,0.4223487675189972,0.22974033653736115,0.1637800633907318,0.14287953078746796,0.41827285289764404,0.36860430240631104,0.33416956663131714,0.21378347277641296,0.41827285289764404,0.3087116777896881,0.170431450009346,0.15404780209064484,0.44092974066734314,0.33347630500793457,0.4080928862094879,0.2464839518070221,0.14677779376506805,0.18053050339221954,0.39140474796295166,0.17428526282310486,0.2433311939239502
a,0.5829201340675354,0.1737430989742279,0.1984395682811737,0.17720282077789307,0.5052502155303955,0.3727131485939026,0.22827254235744476,0.2788178026676178,0.5052502155303955,0.4424409866333008,0.21089844405651093,0.2345738559961319,0.4670248031616211,0.2727489173412323,0.539380669593811,0.3320399522781372,0.3053508400917053,0.3080509603023529,0.44038116931915283,0.1934366375207901,0.23916715383529663
perceived,0.2552545368671417,1.0,0.1807044893503189,0.36883872747421265,0.27688950300216675,0.3063981235027313,0.18402791023254395,0.08534865826368332,0.27688950300216675,0.24719175696372986,0.27327510714530945,0.19262541830539703,0.1909893900156021,0.3368074595928192,0.1872926652431488,0.35275155305862427,0.3432038426399231,0.23423491418361664,0.19987857341766357,0.1258324831724167,0.20685844123363495
british,0.28973397612571716,0.1807044893503189,1.0,0.12726347148418427,0.23701532185077667,0.2751213014125824,0.1522182822227478,0.19461147487163544,0.23701532185077667,0.17957141995429993,0.25629109144210815,0.13639649748802185,0.15839195251464844,0.21482524275779724,0.23084034025669098,0.19255435466766357,0.2087286412715912,0.15532805025577545,0.1970057189464569,0.3800630271434784,0.09711728990077972
policy,0.2358427494764328,0.36883872747421265,0.12726347148418427,0.9999998807907104,0.24393197894096375,0.24744142591953278,0.19190819561481476,0.09044598788022995,0.24393197894096375,0.17607158422470093,0.21804141998291016,0.20141227543354034,0.20540334284305573,0.22358128428459167,0.1459147185087204,0.3869883120059967,0.3306979238986969,0.30991584062576294,0.2759707272052765,0.18696561455726624,0.30462446808815
of,0.733189046382904,0.27688950300216675,0.23701532185077667,0.24393197894096375,1.0,0.34885138273239136,0.24988210201263428,0.20023372769355774,1.0,0.48690423369407654,0.267849862575531,0.3060894012451172,0.3909035325050354,0.3479447662830353,0.5696388483047485,0.33290785551071167,0.19642187654972076,0.26047757267951965,0.4185989499092102,0.2159106284379959,0.1826142966747284
allowing,0.3440283536911011,0.30241134762763977,0.11614217609167099,0.28678104281425476,0.29282480478286743,0.3764972686767578,0.3282211422920227,0.24309933185577393,0.29282480478286743,0.2854810059070587,0.19724102318286896,0.1303030103445053,0.22938764095306396,0.353661447763443,0.22594089806079865,0.21854478120803833,0.12194003909826279,0.2156718522310257,0.32889822125434875,0.1310364305973053,0.1434045135974884
them,0.4788833558559418,0.23212723433971405,0.20075301826000214,0.27221229672431946,0.34503093361854553,0.4559023976325989,0.40424981713294983,0.33031392097473145,0.34503093361854553,0.30336952209472656,0.24260294437408447,0.19129662215709686,0.22823691368103027,0.2162349373102188,0.29119014739990234,0.4994642734527588,0.23230765759944916,0.17945481836795807,0.41447147727012634,0.2053365409374237,0.35435691475868225
free,0.22231732308864594,0.1310928910970688,0.16312195360660553,0.27256467938423157,0.2430545836687088,0.24761490523815155,0.2034609019756317,0.16413214802742004,0.2430545836687088,0.15832874178886414,0.13522514700889587,0.13381102681159973,0.13351182639598846,0.13092069327831268,0.25575435161590576,0.22754132747650146,0.18180830776691437,0.12230805307626724,0.2585347890853882,0.16055159270763397,0.1278279572725296
rein,0.23112499713897705,0.13158901035785675,0.1717214584350586,0.12624861299991608,0.22973020374774933,0.23014944791793823,0.13888855278491974,0.08312693983316422,0.22973020374774933,0.1475149244070053,0.16165155172348022,0.12151685357093811,0.10836848616600037,0.163293719291687,0.24191059172153473,0.1812353879213333,0.1617037057876587,0.16215693950653076,0.19094157218933105,0.1433837115764618,0.19597680866718292
