,what,side,effect,of,these,type,of,protests,is,unfortunate,?
brownlee,0.1723894327878952,0.1474059820175171,0.09236940741539001,0.2697301208972931,0.11650215834379196,0.16927926242351532,0.2697301208972931,0.2129906415939331,0.2225184291601181,0.13862600922584534,0.27307888865470886
notes,0.19507816433906555,0.16655674576759338,0.18054702877998352,0.13280174136161804,0.22551970183849335,0.08449841290712357,0.13280174136161804,0.13113270699977875,0.18739700317382812,0.16125887632369995,0.23920853435993195
that,0.6297725439071655,0.27619752287864685,0.3663281202316284,0.41498205065727234,0.5512621402740479,0.25817251205444336,0.41498205065727234,0.24995765089988708,0.3995479643344879,0.39334556460380554,0.32716336846351624
``,0.008517155423760414,0.02200741320848465,0.09088348597288132,0.06780257821083069,0.09766163676977158,0.03534303233027458,0.06780257821083069,0.06288579106330872,0.058766357600688934,0.0003275966737419367,0.0685480609536171
although,0.24844598770141602,0.19755104184150696,0.25860533118247986,0.3024747669696808,0.3692365884780884,0.1240415871143341,0.3024747669696808,0.1833588033914566,0.301360160112381,0.28165218234062195,0.15541206300258636
civil,0.15091551840305328,0.1248936578631401,0.14037711918354034,0.24698495864868164,0.17604097723960876,0.05067194625735283,0.24698495864868164,0.31896910071372986,0.16941262781620026,0.102256640791893,0.1494513899087906
disobedients,0.3241478204727173,0.20035600662231445,0.28681713342666626,0.32510921359062195,0.4058000147342682,0.20870141685009003,0.32510921359062195,0.4629605710506439,0.22793690860271454,0.24141378700733185,0.18925230205059052
are,0.29724663496017456,0.2605273127555847,0.20265594124794006,0.39081433415412903,0.7107698917388916,0.24155041575431824,0.39081433415412903,0.18422359228134155,0.5330929756164551,0.1796560436487198,0.24591213464736938
constrained,0.2909078001976013,0.17016513645648956,0.32591667771339417,0.27477842569351196,0.37990257143974304,0.26074454188346863,0.27477842569351196,0.2842068374156952,0.23350852727890015,0.26197943091392517,0.2213311493396759
in,0.30808621644973755,0.2626299262046814,0.25150683522224426,0.5696388483047485,0.3791837692260742,0.20604541897773743,0.5696388483047485,0.30384960770606995,0.5394441485404968,0.19609667360782623,0.20430970191955566
their,0.35142919421195984,0.2550533711910248,0.2470109611749649,0.4329940676689148,0.555290937423706,0.14413684606552124,0.4329940676689148,0.20692797005176544,0.2101074606180191,0.24288858473300934,0.1898253709077835
use,0.3453877568244934,0.22388899326324463,0.3472614288330078,0.2750902473926544,0.43580424785614014,0.32010024785995483,0.2750902473926544,0.14873038232326508,0.3357410430908203,0.19400255382061005,0.32795652747154236
